Date,Last Price,SMAVG (6) (USCRWTIC),SMAVG (48) (USCRWTIC),SMAVG (336) (USCRWTIC)
2020-01-13 8:30,59.07,59.22,61.34,57.29
2020-01-10 15:00,59.04,59.32,61.37,57.28
2020-01-10 14:00,59.3,59.39,61.4,57.27
2020-01-10 11:30,59.29,59.39,61.43,57.26
2020-01-10 9:00,59.07,59.44,61.45,57.24
2020-01-09 15:00,59.56,59.49,61.48,57.23
2020-01-09 14:00,59.67,59.54,61.5,57.22
2020-01-09 12:00,59.43,59.62,61.51,57.2
2020-01-09 9:00,59.31,60.04,61.53,57.19
2020-01-08 15:30,59.61,60.6,61.57,57.19
2020-01-08 14:00,59.36,61.13,61.6,57.18
2020-01-08 12:30,59.84,61.67,61.64,57.17
2020-01-08 12:00,60.15,62.17,61.67,57.17
2020-01-08 9:00,61.96,62.69,61.69,57.16
2020-01-07 15:00,62.7,62.91,61.67,57.15
2020-01-07 13:30,62.74,62.99,61.64,57.14
2020-01-07 12:00,62.64,63.18,61.6,57.12
2020-01-07 8:30,62.83,63.25,61.57,57.11
2020-01-06 15:00,63.27,63.27,61.52,57.09
2020-01-06 14:00,63.27,63.15,61.47,57.07
2020-01-06 11:30,63.21,63.17,61.42,57.05
2020-01-06 9:00,63.86,63.19,61.37,57.03
2020-01-03 15:00,63.05,62.74,61.31,57.01
2020-01-03 14:00,62.97,62.4,61.25,56.99
2020-01-03 11:30,62.57,62.03,61.19,56.97
2020-01-03 9:00,63.35,61.81,61.14,56.95
2020-01-03 8:30,63.31,61.42,61.08,56.93
2020-01-02 15:00,61.18,61.13,61.01,56.91
2020-01-02 14:00,61.01,61.21,60.99,56.9
2020-01-02 12:00,60.79,61.18,60.97,56.88
2020-01-02 9:00,61.2,61.33,60.95,56.87
2019-12-31 14:30,61.06,61.42,60.92,56.85
2019-12-31 13:30,61.52,61.51,60.88,56.82
2019-12-31 11:30,61.65,61.6,60.84,56.8
2019-12-31 9:00,60.85,61.61,60.79,56.77
2019-12-30 15:00,61.68,61.77,60.76,56.76
2019-12-30 14:00,61.76,61.78,60.7,56.74
2019-12-30 11:30,61.58,61.77,60.64,56.72
2019-12-30 9:00,62.09,61.78,60.58,56.7
2019-12-27 15:30,61.72,61.71,60.51,56.69
2019-12-27 11:30,61.77,61.61,60.45,56.67
2019-12-27 9:00,61.78,61.49,60.4,56.65
