2019/01/01;19:00:00;Singapore                       ;Low Volatility Expected         ;GDP                                                                                                             ;Worse Than Expected             ;% ;1.6;2.90;evised From 3.0
2019/01/01;19:00:00;Singapore                       ;Low Volatility Expected         ;GDP                                                                                                             ;Worse Than Expected             ;% ;2.2;2.70;evised From 2.2
2019/01/01;19:30:00;South Korea                     ;Low Volatility Expected         ;Nikkei Manufacturing PMI                                                                                        ;;;49.8;;48.60
2019/01/01;19:30:00;Singapore                       ;Low Volatility Expected         ;URA Property Index                                                                                              ;;% ;-0.1;;-0.10
2019/01/01;20:45:00;China                           ;High Volatility Expected        ;Caixin Manufacturing PMI                                                                                        ;Worse Than Expected             ;;49.7;50.30;50.20
2019/01/02;0:00:00;India                           ;Low Volatility Expected         ;Nikkei Markit Manufacturing PMI                                                                                 ;;;53.2;;54.00
2019/01/02;0:30:00;Australia                       ;Low Volatility Expected         ;Commodity Prices                                                                                                ;;% ;10.5;;evised From 14.9
2019/01/02;3:15:00;Spain                           ;Moderate Volatility Expected    ;Spanish Manufacturing PMI                                                                                       ;Worse Than Expected             ;;51.1;52.40;52.60
2019/01/02;3:45:00;Italy                           ;Moderate Volatility Expected    ;Italian Manufacturing PMI                                                                                       ;Better Than Expected            ;;49.2;48.40;48.60
2019/01/02;3:50:00;France                          ;Moderate Volatility Expected    ;French Manufacturing PMI                                                                                        ;In Line with Expectation        ;;49.7;49.70;49.70
2019/01/02;3:55:00;Germany                         ;High Volatility Expected        ;German Manufacturing PMI                                                                                        ;In Line with Expectation        ;;51.5;51.50;51.50
2019/01/02;4:00:00;Euro Zone                       ;Moderate Volatility Expected    ;Manufacturing PMI                                                                                               ;In Line with Expectation        ;;51.4;51.40;51.40
2019/01/02;4:30:00;United Kingdom                  ;High Volatility Expected        ;Manufacturing PMI                                                                                               ;Better Than Expected            ;;54.2;52.60;"evised From 53.1>53.6                             """
2019/01/02;6:30:00;India                           ;Low Volatility Expected         ;M3 Money Supply                                                                                                 ;;% ;10.2;;10.50
2019/01/02;7:00:00;Brazil                          ;Low Volatility Expected         ;Markit Manufacturing PMI                                                                                        ;;;52.6;;52.70
2019/01/02;8:55:00;United States                   ;Low Volatility Expected         ;Redbook                                                                                                         ;;% ;0.6;;0.10
2019/01/02;8:55:00;United States                   ;Low Volatility Expected         ;Redbook                                                                                                         ;;% ;9.3;;7.80
2019/01/02;9:30:00;Canada                          ;Low Volatility Expected         ;RBC Manufacturing PMI                                                                                           ;;;53.6;;54.90
2019/01/02;9:30:00;France                          ;Low Volatility Expected         ;French 12-Month BTF Auction                                                                                     ;;% ;-0.566;;-0.58
2019/01/02;9:30:00;France                          ;Low Volatility Expected         ;French 3-Month BTF Auction                                                                                      ;;% ;-0.57;;-0.70
2019/01/02;9:30:00;France                          ;Low Volatility Expected         ;French 6-Month BTF Auction                                                                                      ;;% ;-0.569;;-0.65
2019/01/02;9:30:00;Brazil                          ;Low Volatility Expected         ;Foreign Exchange Flows                                                                                          ;;B  ;-12.756;;-0.24
2019/01/02;9:30:00;New Zealand                     ;Moderate Volatility Expected    ;GlobalDairyTrade Price Index                                                                                    ;;% ;2.8;;1.70
2019/01/02;9:45:00;United States                   ;Moderate Volatility Expected    ;Manufacturing PMI                                                                                               ;Worse Than Expected             ;;53.8;53.90;53.90
2019/01/02;10:30:00;United States                   ;Low Volatility Expected         ;Dallas Fed Services Revenues                                                                                    ;;;10.1;;21.40
2019/01/02;10:30:00;United States                   ;Low Volatility Expected         ;Texas Services Sector Outlook                                                                                   ;;;-5;;11.40
2019/01/02;13:00:00;Brazil                          ;Low Volatility Expected         ;Trade Balance                                                                                                   ;;B  ;6.64;;4.06
2019/01/03;3:00:00;Spain                           ;Moderate Volatility Expected    ;Spanish Unemployment Change                                                                                     ;;K  ;-50.6;;-1.80
2019/01/03;3:30:00;Switzerland                     ;Moderate Volatility Expected    ;SVME PMI                                                                                                        ;Better Than Expected            ;;57.8;57.00;57.70
2019/01/03;3:30:00;Hong Kong                       ;Low Volatility Expected         ;Retail Sales                                                                                                    ;;% ;1.4;;5.90
