DATE	FEDFUNDS	FEDFUNDS_CHG	FEDFUNDS_PCH	INDPRO	INDPRO_CHG	INDPRO_PCH	PCE	PCE_CHG	PCE_PCH	PCEPILFE	PCEPILFE_CHG	PCEPILFE_PCH	RECPROUSM156N	UNRATE	UNRATE_CHG	UNRATE_PCH
1999-01-01	4.63	-0.05	-1.06838	89.8594	0.4187	0.46813	6072.9	2.4	0.03954	78.998	0.151	0.19151	0.08	4.3	-0.1	-2.27273
1999-02-01	4.76	0.13	2.80778	90.3386	0.4792	0.53328	6101.8	28.9	0.47588	78.999	0.001	0.00127	0.06	4.4	0.1	2.32558
1999-03-01	4.81	0.05	1.05042	90.4819	0.1433	0.15863	6132.9	31.1	0.50969	79.026	0.027	0.03418	0.18	4.2	-0.2	-4.54545
1999-04-01	4.74	-0.07	-1.45530	90.7274	0.2455	0.27132	6196.2	63.3	1.03214	79.210	0.184	0.23283	0.06	4.3	0.1	2.38095
1999-05-01	4.74	0.00	0.00000	91.3520	0.6246	0.68844	6225.7	29.5	0.47610	79.272	0.062	0.07827	0.02	4.2	-0.1	-2.32558
1999-06-01	4.76	0.02	0.42194	91.1994	-0.1526	-0.16705	6254.0	28.3	0.45457	79.306	0.034	0.04289	0.08	4.3	0.1	2.38095
1999-07-01	4.99	0.23	4.83193	91.7766	0.5772	0.63290	6281.5	27.5	0.43972	79.446	0.140	0.17653	0.04	4.3	0.0	0.00000
1999-08-01	5.07	0.08	1.60321	92.1629	0.3863	0.42091	6326.5	45.0	0.71639	79.480	0.034	0.04280	0.14	4.2	-0.1	-2.32558
1999-09-01	5.22	0.15	2.95858	91.7740	-0.3889	-0.42197	6378.8	52.3	0.82668	79.683	0.203	0.25541	0.26	4.2	0.0	0.00000
1999-10-01	5.20	-0.02	-0.38314	92.9979	1.2239	1.33360	6402.1	23.3	0.36527	79.809	0.126	0.15813	0.00	4.1	-0.1	-2.38095
1999-11-01	5.42	0.22	4.23077	93.4371	0.4392	0.47227	6437.9	35.8	0.55919	79.884	0.075	0.09397	0.04	4.1	0.0	0.00000
1999-12-01	5.30	-0.12	-2.21402	94.1593	0.7222	0.77293	6538.7	100.8	1.56573	79.992	0.108	0.13520	0.00	4.0	-0.1	-2.43902
2000-01-01	5.45	0.15	2.83019	94.1758	0.0165	0.01752	6535.3	-3.4	-0.05200	80.196	0.204	0.25503	0.10	4.0	0.0	0.00000
2000-02-01	5.73	0.28	5.13761	94.4557	0.2799	0.29721	6619.7	84.4	1.29145	80.321	0.125	0.15587	0.12	4.1	0.1	2.50000
