DATE	BPCCRO1Q156NBEA	BPCCRO1Q156NBEA_CHG	BPCCRO1Q156NBEA_PCH	GDPC1	GDPC1_CH1	GDPC1_CHG	GDPC1_PC1	GDPC1_PCH	M2V
2000-01-01	1.7	0.2	13.33333	12924.179	520.886	46.586	4.19958	0.36176	2.139
2000-04-01	1.7	0.0	0.00000	13160.842	662.148	236.663	5.29774	1.83116	2.156
2000-07-01	1.8	0.1	5.88235	13178.419	516.034	17.577	4.07533	0.13356	2.146
2000-10-01	1.8	0.0	0.00000	13260.506	382.913	82.087	2.97348	0.62289	2.139
2001-01-01	1.8	0.0	0.00000	13222.690	298.511	-37.816	2.30971	-0.28518	2.090
2001-04-01	1.9	0.1	5.55556	13299.984	139.142	77.294	1.05724	0.58456	2.063
2001-07-01	1.7	-0.2	-10.52632	13244.784	66.365	-55.200	0.50359	-0.41504	2.018
2001-10-01	1.7	0.0	0.00000	13280.859	20.353	36.075	0.15349	0.27237	1.984
2002-01-01	1.5	-0.2	-11.76471	13397.002	174.312	116.143	1.31828	0.87451	1.974
2002-04-01	1.6	0.1	6.66667	13478.152	178.168	81.150	1.33961	0.60573	1.977
2002-07-01	1.9	0.3	18.75000	13538.072	293.288	59.920	2.21437	0.44457	1.958
2002-10-01	1.7	-0.2	-10.52632	13559.032	278.173	20.960	2.09454	0.15482	1.932
2003-01-01	1.7	0.0	0.00000	13634.253	237.251	75.221	1.77093	0.55477	1.920
2003-04-01	1.4	-0.3	-17.64706	13751.543	273.391	117.290	2.02840	0.86026	1.905
2003-07-01	1.3	-0.1	-7.14286	13985.073	447.001	233.530	3.30181	1.69821	1.909
2003-10-01	1.4	0.1	7.69231	14145.645	586.613	160.572	4.32636	1.14817	1.944
2004-01-01	1.7	0.3	21.42857	14221.147	586.894	75.502	4.30456	0.53375	1.954
2004-04-01	2.0	0.3	17.64706	14329.523	577.980	108.376	4.20302	0.76208	1.943
2004-07-01	2.0	0.0	0.00000	14464.984	479.911	135.461	3.43159	0.94533	1.953
2004-10-01	2.1	0.1	5.00000	14609.876	464.231	144.892	3.28179	1.00167	1.961
2005-01-01	2.2	0.1	4.76190	14771.602	550.455	161.726	3.87068	1.10696	1.988
2005-04-01	2.1	-0.1	-4.54545	14839.782	510.259	68.180	3.56089	0.46156	1.997
2005-07-01	2.1	0.0	0.00000	14972.054	507.070	132.272	3.50550	0.89133	2.004
2005-10-01	2.2	0.1	4.76190	15066.597	456.721	94.543	3.12611	0.63146	2.006
2006-01-01	2.1	-0.1	-4.54545	15267.026	495.424	200.429	3.35389	1.33029	2.021
2006-04-01	2.3	0.2	9.52381	15302.705	462.923	35.679	3.11947	0.23370	2.021
2006-07-01	2.5	0.2	8.69565	15326.368	354.314	23.663	2.36650	0.15463	2.009
2006-10-01	2.3	-0.2	-8.00000	15456.928	390.331	130.560	2.59070	0.85187	2.000
2007-01-01	2.4	0.1	4.34783	15493.328	226.302	36.400	1.48229	0.23549	1.996
2007-04-01	2.1	-0.3	-12.50000	15582.085	279.380	88.757	1.82569	0.57287	1.987
2007-07-01	2.0	-0.1	-4.76190	15666.738	340.370	84.653	2.22081	0.54327	1.977
2007-10-01	2.3	0.3	15.00000	15761.967	305.039	95.229	1.97348	0.60784	1.976
2008-01-01	2.1	-0.2	-8.69565	15671.383	178.055	-90.584	1.14924	-0.57470	1.935
2008-04-01	2.2	0.1	4.76190	15752.308	170.223	80.925	1.09243	0.51639	1.923
2008-07-01	2.2	0.0	0.00000	15667.032	0.294	-85.276	0.00188	-0.54136	1.903
2008-10-01	1.6	-0.6	-27.27273	15328.027	-433.940	-339.005	-2.75308	-2.16381	1.809
2009-01-01	1.1	-0.5	-31.25000	15155.940	-515.443	-172.087	-3.28907	-1.12270	1.733
2009-04-01	1.1	0.0	0.00000	15134.117	-618.191	-21.823	-3.92445	-0.14399	1.708
2009-07-01	0.9	-0.2	-18.18182	15189.222	-477.810	55.105	-3.04978	0.36411	1.710
2009-10-01	1.5	0.6	66.66667	15356.058	28.031	166.836	0.18287	1.09838	1.726
2010-01-01	1.7	0.2	13.33333	15415.145	259.205	59.087	1.71025	0.38478	1.736
2010-04-01	1.5	-0.2	-11.76471	15557.277	423.160	142.132	2.79607	0.92203	1.742
2010-07-01	1.3	-0.2	-13.33333	15671.967	482.745	114.690	3.17821	0.73721	1.743
2010-10-01	0.9	-0.4	-30.76923	15750.625	394.567	78.658	2.56945	0.50190	1.740
2011-01-01	1.1	0.2	22.22222	15712.754	297.609	-37.871	1.93063	-0.24044	1.723
2011-04-01	1.5	0.4	36.36364	15825.096	267.819	112.342	1.72150	0.71497	1.714
2011-07-01	1.8	0.3	20.00000	15820.700	148.733	-4.396	0.94904	-0.02778	1.650
2011-10-01	1.9	0.1	5.55556	16004.107	253.482	183.407	1.60935	1.15928	1.643
2012-01-01	2.1	0.2	10.52632	16129.418	416.664	125.311	2.65176	0.78299	1.639
2012-04-01	1.9	-0.2	-9.52381	16198.807	373.711	69.389	2.36151	0.43020	1.629
2012-07-01	1.7	-0.2	-10.52632	16220.667	399.967	21.860	2.52812	0.13495	1.606
2012-10-01	1.8	0.1	5.88235	16239.138	235.031	18.471	1.46857	0.11387	1.582
2013-01-01	1.5	-0.3	-16.66667	16382.964	253.546	143.826	1.57195	0.88568	1.579
2013-04-01	1.4	-0.1	-6.66667	16403.180	204.373	20.216	1.26165	0.12340	1.567
2013-07-01	1.5	0.1	7.14286	16531.685	311.018	128.505	1.91742	0.78342	1.563
2013-10-01	1.6	0.1	6.66667	16663.649	424.511	131.964	2.61412	0.79825	1.557
2014-01-01	1.5	-0.1	-6.25000	16616.540	233.576	-47.109	1.42572	-0.28271	1.536
2014-04-01	1.7	0.2	13.33333	16841.475	438.295	224.935	2.67201	1.35368	1.541
2014-07-01	1.7	0.0	0.00000	17047.098	515.413	205.623	3.11773	1.22093	1.547
2014-10-01	1.5	-0.2	-11.76471	17143.038	479.389	95.940	2.87685	0.56279	1.538
2015-01-01	1.3	-0.2	-13.33333	17277.580	661.040	134.542	3.97820	0.78482	1.522
2015-04-01	1.3	0.0	0.00000	17405.669	564.194	128.089	3.35003	0.74136	1.524
2015-07-01	1.2	-0.1	-7.69231	17463.222	416.124	57.553	2.44103	0.33066	1.516
2015-10-01	1.2	0.0	0.00000	17468.902	325.864	5.680	1.90085	0.03253	1.496
2016-01-01	1.4	0.2	16.66667	17556.839	279.259	87.937	1.61631	0.50339	1.470
2016-04-01	1.5	0.1	7.14286	17639.417	233.748	82.578	1.34294	0.47035	1.462
2016-07-01	1.7	0.2	13.33333	17735.074	271.852	95.657	1.55671	0.54229	1.451
2016-10-01	1.8	0.1	5.88235	17824.231	355.329	89.157	2.03407	0.50272	1.443
2017-01-01	1.8	0.0	0.00000	17925.256	368.417	101.025	2.09842	0.56678	1.438
2017-04-01	1.6	-0.2	-11.11111	18021.048	381.631	95.792	2.16351	0.53440	1.432
2017-07-01	1.5	-0.1	-6.25000	18163.558	428.484	142.510	2.41603	0.79080	1.435
2017-10-01	1.7	0.2	13.33333	18322.464	498.233	158.906	2.79526	0.87486	1.442
2018-01-01	1.8	0.1	5.88235	18438.254	512.998	115.790	2.86187	0.63196	1.451
2018-04-01	2.0	0.2	11.11111	18598.135	577.087	159.881	3.20229	0.86712	1.461
2018-07-01	2.0	0.0	0.00000	18732.720	569.162	134.585	3.13354	0.72365	1.462
2018-10-01	1.9	-0.1	-5.00000	18783.548	461.084	50.828	2.51650	0.27133	1.462
2019-01-01	1.6	-0.3	-15.78947	18927.281	489.027	143.733	2.65224	0.76521	1.458
2019-04-01	1.6	0.0	0.00000	19021.860	423.725	94.579	2.27832	0.49970	1.457
2019-07-01	1.7	0.1	6.25000	19121.112	388.392	99.252	2.07333	0.52178	1.442
