DATE	M2	M2_CHG	M2_PCH
1999-01-04	4384.8	14.3	0.32719
1999-01-11	4389.1	4.3	0.09807
1999-01-18	4392.9	3.8	0.08658
1999-01-25	4389.5	-3.4	-0.07740
1999-02-01	4407.8	18.3	0.41690
1999-02-08	4410.5	2.7	0.06126
1999-02-15	4416.0	5.5	0.12470
1999-02-22	4419.5	3.5	0.07926
1999-03-01	4419.0	-0.5	-0.01131
1999-03-08	4421.6	2.6	0.05884
1999-03-15	4417.8	-3.8	-0.08594
1999-03-22	4420.4	2.6	0.05885
1999-03-29	4425.9	5.5	0.12442
1999-04-05	4441.6	15.7	0.35473
1999-04-12	4445.1	3.5	0.07880
1999-04-19	4453.7	8.6	0.19347
1999-04-26	4459.6	5.9	0.13247
1999-05-03	4455.2	-4.4	-0.09866
1999-05-10	4472.4	17.2	0.38607
1999-05-17	4472.3	-0.1	-0.00224
1999-05-24	4477.5	5.2	0.11627
1999-05-31	4488.6	11.1	0.24791
1999-06-07	4493.1	4.5	0.10025
1999-06-14	4494.7	1.6	0.03561
1999-06-21	4500.0	5.3	0.11792
1999-06-28	4499.0	-1.0	-0.02222
1999-07-05	4506.2	7.2	0.16004
1999-07-12	4524.3	18.1	0.40167
1999-07-19	4523.9	-0.4	-0.00884
1999-07-26	4532.6	8.7	0.19231
1999-08-02	4533.0	0.4	0.00882
1999-08-09	4541.5	8.5	0.18751
1999-08-16	4545.4	3.9	0.08587
1999-08-23	4541.4	-4.0	-0.08800
1999-08-30	4540.3	-1.1	-0.02422
1999-09-06	4550.8	10.5	0.23126
1999-09-13	4554.4	3.6	0.07911
1999-09-20	4562.0	7.6	0.16687
1999-09-27	4558.4	-3.6	-0.07891
1999-10-04	4569.1	10.7	0.23473
1999-10-11	4575.5	6.4	0.14007
1999-10-18	4578.1	2.6	0.05682
1999-10-25	4585.0	6.9	0.15072
1999-11-01	4597.3	12.3	0.26827
1999-11-08	4594.4	-2.9	-0.06308
1999-11-15	4600.2	5.8	0.12624
1999-11-22	4604.6	4.4	0.09565
1999-11-29	4601.8	-2.8	-0.06081
1999-12-06	4613.8	12.0	0.26077
1999-12-13	4618.5	4.7	0.10187
1999-12-20	4628.7	10.2	0.22085
1999-12-27	4638.7	10.0	0.21604
2000-01-03	4653.7	15.0	0.32337
2000-01-10	4658.2	4.5	0.09670
2000-01-17	4660.4	2.2	0.04723
2000-01-24	4667.7	7.3	0.15664
2000-01-31	4668.3	0.6	0.01285
2000-02-07	4674.8	6.5	0.13924
2000-02-14	4668.0	-6.8	-0.14546
2000-02-21	4667.4	-0.6	-0.01285
2000-02-28	4667.0	-0.4	-0.00857
2000-03-06	4678.9	11.9	0.25498
2000-03-13	4686.5	7.6	0.16243
2000-03-20	4704.7	18.2	0.38835
2000-03-27	4712.2	7.5	0.15942
2000-04-03	4728.6	16.4	0.34803
2000-04-10	4752.4	23.8	0.50332
2000-04-17	4761.3	8.9	0.18727
2000-04-24	4767.6	6.3	0.13232
2000-05-01	4755.3	-12.3	-0.25799
2000-05-08	4734.8	-20.5	-0.43110
2000-05-15	4740.5	5.7	0.12039
2000-05-22	4745.3	4.8	0.10126
2000-05-29	4747.9	2.6	0.05479
2000-06-05	4759.7	11.8	0.24853
2000-06-12	4762.6	2.9	0.06093
2000-06-19	4758.9	-3.7	-0.07769
2000-06-26	4761.3	2.4	0.05043
2000-07-03	4767.2	5.9	0.12392
2000-07-10	4777.4	10.2	0.21396
2000-07-17	4774.2	-3.2	-0.06698
2000-07-24	4783.0	8.8	0.18432
2000-07-31	4786.8	3.8	0.07945
2000-08-07	4794.9	8.1	0.16922
2000-08-14	4795.4	0.5	0.01043
2000-08-21	4811.7	16.3	0.33991
2000-08-28	4817.5	5.8	0.12054
2000-09-04	4828.7	11.2	0.23249
2000-09-11	4839.3	10.6	0.21952
2000-09-18	4844.2	4.9	0.10125
2000-09-25	4844.8	0.6	0.01239
2000-10-02	4854.8	10.0	0.20641
2000-10-09	4859.6	4.8	0.09887
2000-10-16	4860.2	0.6	0.01235
2000-10-23	4859.4	-0.8	-0.01646
2000-10-30	4857.0	-2.4	-0.04939
2000-11-06	4860.0	3.0	0.06177
2000-11-13	4861.5	1.5	0.03086
2000-11-20	4866.2	4.7	0.09668
2000-11-27	4881.2	15.0	0.30825
2000-12-04	4888.9	7.7	0.15775
2000-12-11	4895.7	6.8	0.13909
2000-12-18	4908.9	13.2	0.26962
2000-12-25	4924.3	15.4	0.31372
2001-01-01	4948.2	23.9	0.48535
2001-01-08	4954.1	5.9	0.11924
2001-01-15	4965.5	11.4	0.23011
2001-01-22	4972.2	6.7	0.13493
2001-01-29	4964.8	-7.4	-0.14883
2001-02-05	4984.6	19.8	0.39881
2001-02-12	4992.8	8.2	0.16451
2001-02-19	5000.9	8.1	0.16223
2001-02-26	5018.4	17.5	0.34994
2001-03-05	5041.4	23.0	0.45831
2001-03-12	5047.4	6.0	0.11901
2001-03-19	5052.9	5.5	0.10897
2001-03-26	5073.1	20.2	0.39977
2001-04-02	5094.8	21.7	0.42775
2001-04-09	5116.5	21.7	0.42592
2001-04-16	5132.8	16.3	0.31858
2001-04-23	5138.0	5.2	0.10131
2001-04-30	5121.7	-16.3	-0.31724
2001-05-07	5115.0	-6.7	-0.13082
2001-05-14	5113.9	-1.1	-0.02151
2001-05-21	5124.9	11.0	0.21510
2001-05-28	5120.4	-4.5	-0.08781
2001-06-04	5150.9	30.5	0.59566
2001-06-11	5155.2	4.3	0.08348
2001-06-18	5165.4	10.2	0.19786
2001-06-25	5162.2	-3.2	-0.06195
2001-07-02	5176.0	13.8	0.26733
2001-07-09	5180.2	4.2	0.08114
2001-07-16	5193.4	13.2	0.25482
2001-07-23	5194.4	1.0	0.01926
2001-07-30	5201.9	7.5	0.14439
2001-08-06	5211.6	9.7	0.18647
2001-08-13	5220.7	9.1	0.17461
2001-08-20	5226.7	6.0	0.11493
2001-08-27	5232.1	5.4	0.10332
2001-09-03	5244.2	12.1	0.23126
2001-09-10	5266.3	22.1	0.42142
2001-09-17	5436.9	170.6	3.23947
2001-09-24	5355.1	-81.8	-1.50453
2001-10-01	5330.2	-24.9	-0.46498
2001-10-08	5321.1	-9.1	-0.17073
2001-10-15	5320.5	-0.6	-0.01128
2001-10-22	5322.8	2.3	0.04323
2001-10-29	5330.2	7.4	0.13902
2001-11-05	5351.1	20.9	0.39211
2001-11-12	5358.2	7.1	0.13268
2001-11-19	5367.1	8.9	0.16610
2001-11-26	5384.1	17.0	0.31674
2001-12-03	5389.4	5.3	0.09844
2001-12-10	5414.0	24.6	0.45645
2001-12-17	5431.4	17.4	0.32139
2001-12-24	5419.7	-11.7	-0.21541
2001-12-31	5438.8	19.1	0.35242
2002-01-07	5437.0	-1.8	-0.03310
2002-01-14	5438.7	1.7	0.03127
2002-01-21	5439.3	0.6	0.01103
2002-01-28	5447.9	8.6	0.15811
2002-02-04	5461.9	14.0	0.25698
2002-02-11	5467.6	5.7	0.10436
2002-02-18	5470.5	2.9	0.05304
2002-02-25	5479.1	8.6	0.15721
2002-03-04	5484.8	5.7	0.10403
2002-03-11	5485.2	0.4	0.00729
2002-03-18	5483.6	-1.6	-0.02917
2002-03-25	5477.9	-5.7	-0.10395
2002-04-01	5490.5	12.6	0.23002
2002-04-08	5476.7	-13.8	-0.25134
2002-04-15	5488.7	12.0	0.21911
2002-04-22	5483.9	-4.8	-0.08745
2002-04-29	5484.9	1.0	0.01824
2002-05-06	5496.9	12.0	0.21878
2002-05-13	5505.8	8.9	0.16191
2002-05-20	5515.8	10.0	0.18163
2002-05-27	5520.1	4.3	0.07796
2002-06-03	5510.6	-9.5	-0.17210
2002-06-10	5524.2	13.6	0.24680
2002-06-17	5534.7	10.5	0.19007
2002-06-24	5540.2	5.5	0.09937
2002-07-01	5555.0	14.8	0.26714
2002-07-08	5549.5	-5.5	-0.09901
2002-07-15	5569.3	19.8	0.35679
2002-07-22	5583.1	13.8	0.24779
2002-07-29	5602.8	19.7	0.35285
2002-08-05	5611.0	8.2	0.14636
2002-08-12	5617.2	6.2	0.11050
2002-08-19	5619.0	1.8	0.03204
2002-08-26	5623.9	4.9	0.08720
2002-09-02	5630.0	6.1	0.10847
2002-09-09	5639.4	9.4	0.16696
2002-09-16	5645.2	5.8	0.10285
2002-09-23	5641.9	-3.3	-0.05846
2002-09-30	5656.0	14.1	0.24992
2002-10-07	5662.9	6.9	0.12199
2002-10-14	5677.6	14.7	0.25958
2002-10-21	5693.7	16.1	0.28357
2002-10-28	5707.0	13.3	0.23359
2002-11-04	5724.5	17.5	0.30664
2002-11-11	5732.8	8.3	0.14499
2002-11-18	5744.1	11.3	0.19711
2002-11-25	5735.8	-8.3	-0.14450
2002-12-02	5757.7	21.9	0.38181
2002-12-09	5751.9	-5.8	-0.10073
2002-12-16	5764.9	13.0	0.22601
2002-12-23	5761.0	-3.9	-0.06765
2002-12-30	5763.0	2.0	0.03472
2003-01-06	5773.8	10.8	0.18740
2003-01-13	5784.0	10.2	0.17666
2003-01-20	5798.1	14.1	0.24378
2003-01-27	5807.1	9.0	0.15522
2003-02-03	5804.3	-2.8	-0.04822
2003-02-10	5826.6	22.3	0.38420
2003-02-17	5847.7	21.1	0.36213
2003-02-24	5823.7	-24.0	-0.41042
2003-03-03	5829.4	5.7	0.09788
2003-03-10	5845.1	15.7	0.26932
2003-03-17	5856.4	11.3	0.19332
2003-03-24	5848.2	-8.2	-0.14002
2003-03-31	5858.7	10.5	0.17954
2003-04-07	5868.3	9.6	0.16386
2003-04-14	5875.1	6.8	0.11588
2003-04-21	5874.1	-1.0	-0.01702
2003-04-28	5913.5	39.4	0.67074
2003-05-05	5947.9	34.4	0.58172
2003-05-12	5946.9	-1.0	-0.01681
2003-05-19	5939.4	-7.5	-0.12612
2003-05-26	5947.9	8.5	0.14311
2003-06-02	5957.2	9.3	0.15636
2003-06-09	5964.4	7.2	0.12086
2003-06-16	5985.9	21.5	0.36047
2003-06-23	5989.3	3.4	0.05680
2003-06-30	6004.0	14.7	0.24544
2003-07-07	6023.1	19.1	0.31812
2003-07-14	6018.5	-4.6	-0.07637
2003-07-21	6025.2	6.7	0.11132
2003-07-28	6036.1	10.9	0.18091
2003-08-04	6076.5	40.4	0.66931
2003-08-11	6084.1	7.6	0.12507
2003-08-18	6119.3	35.2	0.57856
2003-08-25	6071.9	-47.4	-0.77460
2003-09-01	6086.2	14.3	0.23551
2003-09-08	6071.9	-14.3	-0.23496
2003-09-15	6066.6	-5.3	-0.08729
2003-09-22	6053.7	-12.9	-0.21264
2003-09-29	6049.4	-4.3	-0.07103
2003-10-06	6045.4	-4.0	-0.06612
2003-10-13	6051.6	6.2	0.10256
2003-10-20	6055.5	3.9	0.06445
2003-10-27	6056.3	0.8	0.01321
2003-11-03	6045.0	-11.3	-0.18658
2003-11-10	6058.1	13.1	0.21671
2003-11-17	6062.4	4.3	0.07098
2003-11-24	6050.1	-12.3	-0.20289
2003-12-01	6061.6	11.5	0.19008
2003-12-08	6053.0	-8.6	-0.14188
2003-12-15	6054.6	1.6	0.02643
2003-12-22	6057.0	2.4	0.03964
2003-12-29	6053.7	-3.3	-0.05448
2004-01-05	6053.6	-0.1	-0.00165
2004-01-12	6052.2	-1.4	-0.02313
2004-01-19	6057.1	4.9	0.08096
2004-01-26	6071.5	14.4	0.23774
2004-02-02	6085.3	13.8	0.22729
2004-02-09	6085.1	-0.2	-0.00329
2004-02-16	6103.9	18.8	0.30895
2004-02-23	6108.3	4.4	0.07209
2004-03-01	6118.0	9.7	0.15880
2004-03-08	6112.9	-5.1	-0.08336
2004-03-15	6128.7	15.8	0.25847
2004-03-22	6149.1	20.4	0.33286
2004-03-29	6156.5	7.4	0.12034
2004-04-05	6162.2	5.7	0.09259
2004-04-12	6160.6	-1.6	-0.02596
2004-04-19	6164.1	3.5	0.05681
2004-04-26	6196.2	32.1	0.52076
2004-05-03	6226.8	30.6	0.49385
2004-05-10	6247.9	21.1	0.33886
2004-05-17	6269.6	21.7	0.34732
2004-05-24	6256.6	-13.0	-0.20735
2004-05-31	6259.8	3.2	0.05115
2004-06-07	6250.5	-9.3	-0.14857
2004-06-14	6259.8	9.3	0.14879
2004-06-21	6261.0	1.2	0.01917
2004-06-28	6259.7	-1.3	-0.02076
2004-07-05	6256.9	-2.8	-0.04473
2004-07-12	6269.8	12.9	0.20617
2004-07-19	6268.4	-1.4	-0.02233
