DATE,RETURN,WESS_MEAN,WESS_TOTAL,NUM_EVENTS,NUM_POSITIVE_WESS,NUM_NEGATIVE_WESS,NUM_NEUTRAL_WESS
2000-01-03,,18.0,18.0,1.0,1.0,0.0,0.0
2000-01-04,,4.975714,34.83,7.0,4.0,2.0,1.0
2000-01-05,-3.6251729,-6.0,-12.0,2.0,0.0,1.0,1.0
2000-01-06,0.56634456,-26.5,-53.0,2.0,0.0,2.0,0.0
2000-01-07,0.0,-10.7625,-43.05,4.0,0.0,4.0,0.0
2000-01-10,-0.1077442,0.375,1.5,4.0,2.0,2.0,0.0
2000-01-11,3.889379,-4.429,-44.29,10.0,5.0,5.0,0.0
2000-01-12,2.3467128,-5.71,-22.84,4.0,2.0,2.0,0.0
2000-01-13,1.2469461,7.357143,51.5,7.0,4.0,1.0,2.0
2000-01-14,5.052319,8.232,41.16,5.0,5.0,0.0,0.0
2000-01-17,,-12.083333,-36.25,3.0,1.0,2.0,0.0
2000-01-18,0.8511087,-1.575,-9.45,6.0,2.0,4.0,0.0
2000-01-19,0.4475821,-3.682857,-25.78,7.0,3.0,3.0,1.0
2000-01-20,1.9054676,-5.0554547,-55.61,11.0,4.0,7.0,0.0
2000-01-21,0.13472551,7.56,7.56,1.0,1.0,0.0,0.0
2000-01-24,-0.5201372,4.98125,39.85,8.0,4.0,3.0,1.0
2000-01-25,3.4607854,11.07,132.84,12.0,9.0,3.0,0.0
2000-01-26,-9.050011,-3.2592309,-42.37,13.0,7.0,6.0,0.0
2000-01-27,-1.6035329,0.75,5.25,7.0,2.0,5.0,0.0
2000-01-28,0.18351996,0.42571428,2.98,7.0,3.0,4.0,0.0
2000-01-31,0.46128437,18.12857,126.9,7.0,7.0,0.0,0.0
2000-02-01,2.2529113,5.91375,94.62,16.0,6.0,1.0,9.0
2000-02-02,-2.7241828,-0.0375,-0.6,16.0,6.0,7.0,3.0
2000-02-03,2.6534364,2.3,18.4,8.0,7.0,1.0,0.0
2000-02-04,1.4403902,2.1,8.4,4.0,3.0,1.0,0.0
2000-02-07,-0.3154045,-1.0083333,-24.2,24.0,7.0,9.0,8.0
2000-02-08,-1.2400513,-3.3964286,-47.55,14.0,3.0,4.0,7.0
2000-02-09,2.3256862,-1.95,-1.95,1.0,0.0,0.0,1.0
2000-02-10,2.680573,2.0266666,18.24,9.0,4.0,3.0,2.0
2000-02-11,0.06779661,0.15555556,1.4,9.0,4.0,2.0,3.0
2000-02-14,0.88061744,6.7733335,101.6,15.0,13.0,2.0,0.0
2000-02-15,-0.42996594,4.598889,41.39,9.0,7.0,2.0,0.0
2000-02-16,-0.53173935,-5.31,-79.65,15.0,5.0,10.0,0.0
2000-02-17,-2.1556914,-4.0078573,-56.11,14.0,2.0,7.0,5.0
2000-02-18,0.47554436,3.942,19.71,5.0,4.0,1.0,0.0
2000-02-21,,-4.1916666,-25.15,6.0,2.0,4.0,0.0
2000-02-22,0.10145432,3.4481819,37.93,11.0,5.0,6.0,0.0
2000-02-23,1.8723382,-0.86,-8.6,10.0,6.0,4.0,0.0
2000-02-24,0.1324065,2.2892857,32.05,14.0,9.0,4.0,1.0
2000-02-25,0.36321652,-4.4425,-35.54,8.0,3.0,5.0,0.0
2000-02-28,-0.2536544,-3.58125,-57.3,16.0,3.0,9.0,4.0
2000-02-29,1.5161793,8.1285715,56.9,7.0,6.0,1.0,0.0
2000-03-01,3.6612952,-0.325,-2.6,8.0,4.0,2.0,2.0
2000-03-02,-0.63271326,10.017143,70.12,7.0,7.0,0.0,0.0
2000-03-03,-0.15880582,-4.0,-12.0,3.0,1.0,2.0,0.0
2000-03-06,0.76463157,13.9,69.5,5.0,4.0,1.0,0.0
2000-03-07,5.1759167,-3.1746666,-47.62,15.0,8.0,5.0,2.0
2000-03-08,-8.23561,-8.732857,-122.26,14.0,1.0,8.0,5.0
2000-03-09,1.2414612,-0.83666664,-7.53,9.0,3.0,6.0,0.0
2000-03-10,0.47341102,-4.2,-8.4,2.0,0.0,2.0,0.0
2000-03-13,0.36532906,-4.1625,-16.65,4.0,1.0,3.0,0.0
2000-03-14,-0.5621501,9.428572,66.0,7.0,5.0,2.0,0.0
2000-03-15,-4.6803412,-4.1277776,-37.15,9.0,2.0,7.0,0.0
2000-03-16,2.0465226,7.8375,31.35,4.0,2.0,0.0,2.0
2000-03-17,-0.77469724,0.1875,0.75,4.0,2.0,2.0,0.0
2000-03-20,-1.6949987,-9.805555,-88.25,9.0,2.0,7.0,0.0
2000-03-21,-4.6049294,0.12222222,1.1,9.0,4.0,5.0,0.0
2000-03-22,-2.6407757,-7.60875,-60.87,8.0,1.0,6.0,1.0
2000-03-23,0.6940667,5.60625,44.85,8.0,3.0,4.0,1.0
2000-03-24,1.4097468,1.1711111,10.54,9.0,5.0,4.0,0.0
2000-03-27,-0.32461932,2.765,27.65,10.0,4.0,6.0,0.0
2000-03-28,-1.7919661,1.7,17.0,10.0,3.0,5.0,2.0
2000-03-29,-2.768602,8.233334,74.1,9.0,3.0,2.0,4.0
2000-03-30,1.1691629,7.2,14.4,2.0,1.0,1.0,0.0
2000-03-31,0.7098853,5.875,23.5,4.0,2.0,2.0,0.0
2000-04-03,-0.72766656,9.0,27.0,3.0,2.0,1.0,0.0
2000-04-04,-3.16996,-14.608334,-87.65,6.0,0.0,5.0,1.0
2000-04-05,1.1714308,2.7333333,16.4,6.0,3.0,3.0,0.0
2000-04-06,-0.9752369,-8.105,-32.42,4.0,2.0,2.0,0.0
2000-04-07,-2.1395428,-10.2375,-40.95,4.0,0.0,4.0,0.0
2000-04-10,-1.4459441,-13.4,-67.0,5.0,1.0,4.0,0.0
2000-04-11,1.0815413,-16.083334,-48.25,3.0,0.0,3.0,0.0
2000-04-12,5.3174024,2.0233333,12.14,6.0,4.0,2.0,0.0
2000-04-13,-0.7877158,-5.8333335,-17.5,3.0,1.0,2.0,0.0
2000-04-14,0.748477,0.0,0.0,1.0,0.0,0.0,1.0
2000-04-17,0.750258,-23.0,-46.0,2.0,0.0,2.0,0.0
2000-04-18,-0.53867,1.3625,10.9,8.0,5.0,2.0,1.0
2000-04-19,5.479795,-20.893333,-62.68,3.0,1.0,2.0,0.0
2000-04-20,-0.32924852,-10.0,-20.0,2.0,1.0,1.0,0.0
2000-04-21,,5.0,5.0,1.0,1.0,0.0,0.0
2000-04-24,0.10968939,-15.0,-75.0,5.0,2.0,3.0,0.0
2000-04-25,-3.7165184,-11.535714,-80.75,7.0,1.0,6.0,0.0
2000-04-26,-6.734442,-4.561111,-41.05,9.0,2.0,6.0,1.0
2000-04-27,3.3455927,13.86,41.58,3.0,3.0,0.0,0.0
2000-04-28,0.702579,1.3333334,4.0,3.0,2.0,1.0,0.0
2000-05-01,0.16812192,-2.5,-5.0,2.0,0.0,1.0,1.0
2000-05-02,3.8714511,-2.411,-24.11,10.0,5.0,3.0,2.0
2000-05-03,-0.97269756,4.028,40.28,10.0,8.0,2.0,0.0
2000-05-04,1.7884232,0.38555557,3.47,9.0,4.0,3.0,2.0
2000-05-05,1.0652075,6.7625,54.1,8.0,5.0,2.0,1.0
2000-05-08,0.818037,1.119,11.19,10.0,5.0,5.0,0.0
2000-05-09,1.451096,-1.549,-15.49,10.0,4.0,6.0,0.0
2000-05-10,-1.2730017,-5.457143,-38.2,7.0,1.0,6.0,0.0
2000-05-11,4.0109997,-4.134,-41.34,10.0,5.0,5.0,0.0
2000-05-12,1.3245227,0.38470587,6.54,17.0,8.0,4.0,5.0
2000-05-15,0.34681746,0.426,6.39,15.0,6.0,7.0,2.0
2000-05-16,-0.6364115,5.8841667,70.61,12.0,9.0,2.0,1.0
2000-05-17,-1.2851039,-2.5823076,-33.57,13.0,4.0,7.0,2.0
2000-05-18,3.0173259,2.4622223,22.16,9.0,7.0,2.0,0.0
2000-05-19,-0.86236024,-3.687,-36.87,10.0,4.0,5.0,1.0
2000-05-22,-1.591935,-4.3875,-70.2,16.0,2.0,8.0,6.0
2000-05-23,-0.034946706,11.82,130.02,11.0,9.0,0.0,2.0
2000-05-24,4.376767,-7.346,-36.73,5.0,2.0,3.0,0.0
2000-05-25,1.7904987,9.665714,67.66,7.0,5.0,1.0,1.0
2000-05-26,-2.2263753,5.2266665,62.72,12.0,5.0,2.0,5.0
2000-05-29,,-15.0,-15.0,1.0,0.0,1.0,0.0
2000-05-30,0.49901855,-11.38125,-91.05,8.0,1.0,7.0,0.0
2000-05-31,-4.4796176,7.122,71.22,10.0,8.0,2.0,0.0
2000-06-01,3.9180965,0.9405263,17.87,19.0,9.0,4.0,6.0
2000-06-02,0.49562302,-15.7925,-63.17,4.0,0.0,3.0,1.0
2000-06-05,-0.5204114,-6.307778,-56.77,9.0,2.0,7.0,0.0
2000-06-06,-0.3017605,4.02,60.3,15.0,9.0,3.0,3.0
2000-06-07,-1.6590866,5.187619,108.94,21.0,13.0,5.0,3.0
2000-06-08,1.6590866,-1.184,-17.76,15.0,0.0,3.0,12.0
2000-06-09,1.4666929,2.95,26.55,9.0,4.0,1.0,4.0
2000-06-12,1.6567893,5.575,89.2,16.0,9.0,2.0,5.0
2000-06-13,3.0084453,2.95,38.35,13.0,3.0,2.0,8.0
2000-06-14,-0.030557677,0.91875,7.35,8.0,4.0,4.0,0.0
2000-06-15,-0.061143383,0.83181816,9.15,11.0,5.0,5.0,1.0
2000-06-16,-1.0761057,-0.306,-6.12,20.0,4.0,5.0,11.0
2000-06-19,-0.81355727,-1.3957143,-29.31,21.0,4.0,9.0,8.0
2000-06-20,4.6419225,0.3967647,13.49,34.0,19.0,10.0,5.0
2000-06-21,1.7089309,1.844375,59.02,32.0,8.0,5.0,19.0
2000-06-22,3.1600056,3.705,66.69,18.0,9.0,1.0,8.0
2000-06-23,0.115141064,-4.405625,-70.49,16.0,1.0,8.0,7.0
2000-06-26,-3.2192268,-9.4,-112.8,12.0,1.0,10.0,1.0
2000-06-27,1.4157858,3.585294,60.95,17.0,5.0,4.0,8.0
2000-06-28,-0.46970496,-2.0507693,-26.66,13.0,5.0,8.0,0.0
2000-06-29,2.6940784,-0.03785714,-0.53,14.0,7.0,2.0,5.0
2000-06-30,-0.8899859,-1.72,-18.92,11.0,1.0,6.0,4.0
2000-07-03,,4.49625,35.97,8.0,6.0,1.0,1.0
2000-07-04,,1.9,28.5,15.0,5.0,6.0,4.0
2000-07-05,-1.0635417,3.8211539,99.35,26.0,7.0,1.0,18.0
2000-07-06,-1.8704401,5.312424,175.31,33.0,14.0,1.0,18.0
2000-07-07,0.23159647,-7.45625,-59.65,8.0,0.0,2.0,6.0
2000-07-10,-0.836584,0.10357143,1.45,14.0,2.0,5.0,7.0
2000-07-11,0.3382953,-1.4825,-29.65,20.0,8.0,10.0,2.0
2000-07-12,2.4354832,1.43,21.45,15.0,10.0,5.0,0.0
2000-07-13,3.465934,-1.5566666,-28.02,18.0,6.0,6.0,6.0
2000-07-14,-0.31887782,-3.289375,-52.63,16.0,2.0,4.0,10.0
2000-07-17,-0.64497334,-7.813125,-125.01,16.0,2.0,14.0,0.0
2000-07-18,3.9270809,4.1072726,135.54,33.0,18.0,3.0,12.0
2000-07-19,-2.6651323,0.441,4.41,10.0,3.0,5.0,2.0
2000-07-20,-0.5157974,-11.467059,-194.94,17.0,2.0,15.0,0.0
2000-07-21,-8.004271,-0.6818182,-7.5,11.0,2.0,8.0,1.0
2000-07-24,-0.695821,2.295,22.95,10.0,2.0,6.0,2.0
2000-07-25,-0.28643057,0.288,5.76,20.0,10.0,8.0,2.0
2000-07-26,-0.28725335,-0.28851852,-7.79,27.0,10.0,9.0,8.0
