DATE,RETURN,ESS_MEAN,ESS_TOTAL,WESS_MEAN,WESS_TOTAL,NUM_EVENTS,NUM_POSITIVE_ESS,NUM_NEGATIVE_ESS,NUM_NEUTRAL_ESS,NUM_POSITIVE_WESS,NUM_NEGATIVE_WESS,NUM_NEUTRAL_WESS
2000-01-03,,18.0,18.0,18.0,18.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2000-01-04,,6.857143,48.0,4.975714,34.83,7.0,4.0,2.0,1.0,4.0,2.0,1.0
2000-01-05,-3.6251729,-6.0,-12.0,-6.0,-12.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
2000-01-06,0.56634456,-26.5,-53.0,-26.5,-53.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0
2000-01-07,0.0,-15.0,-60.0,-10.7625,-43.05,4.0,0.0,4.0,0.0,0.0,4.0,0.0
2000-01-10,-0.1077442,1.5,6.0,0.375,1.5,4.0,2.0,2.0,0.0,2.0,2.0,0.0
2000-01-11,3.889379,1.1,11.0,-4.429,-44.29,10.0,5.0,5.0,0.0,5.0,5.0,0.0
2000-01-12,2.3467128,-0.25,-1.0,-5.71,-22.84,4.0,2.0,2.0,0.0,2.0,2.0,0.0
2000-01-13,1.2469461,8.0,56.0,7.357143,51.5,7.0,4.0,1.0,2.0,4.0,1.0,2.0
2000-01-14,5.052319,16.8,84.0,8.232,41.16,5.0,5.0,0.0,0.0,5.0,0.0,0.0
2000-01-17,,-14.666667,-44.0,-12.083333,-36.25,3.0,1.0,2.0,0.0,1.0,2.0,0.0
2000-01-18,0.8511087,-4.0,-24.0,-1.575,-9.45,6.0,2.0,4.0,0.0,2.0,4.0,0.0
2000-01-19,0.4475821,-0.71428573,-5.0,-3.682857,-25.78,7.0,3.0,3.0,1.0,3.0,3.0,1.0
2000-01-20,1.9054676,-5.6363635,-62.0,-5.0554547,-55.61,11.0,4.0,7.0,0.0,4.0,7.0,0.0
2000-01-21,0.13472551,18.0,18.0,7.56,7.56,1.0,1.0,0.0,0.0,1.0,0.0,0.0
