,r_lag_31,r_lag_30,r_lag_29,r_lag_28,r_lag_27,r_lag_26,r_lag_25,r_lag_24,r_lag_23,r_lag_22,r_lag_21,r_lag_20,r_lag_19,r_lag_18,r_lag_17,r_lag_16,r_lag_15,r_lag_14,r_lag_13,r_lag_12,r_lag_11,r_lag_10,r_lag_9,r_lag_8,r_lag_7,r_lag_6,r_lag_5,r_lag_4,r_lag_3,r_lag_2,r_lag_1,TARGET
2000-02-04,,-3.6251729,0.56634456,0.0,0.0,0.0,-0.1077442,3.889379,2.3467128,1.2469461,5.052319,5.052319,5.052319,5.052319,0.8511087,0.4475821,1.9054676,0.13472551,0.13472551,0.13472551,-0.5201372,3.4607854,-9.050011,-1.6035329,0.18351996,0.18351996,0.18351996,0.46128437,2.2529113,-2.7241828,2.6534364,1.4403902
2000-02-07,0.0,0.0,0.0,-0.1077442,3.889379,2.3467128,1.2469461,5.052319,5.052319,5.052319,5.052319,0.8511087,0.4475821,1.9054676,0.13472551,0.13472551,0.13472551,-0.5201372,3.4607854,-9.050011,-1.6035329,0.18351996,0.18351996,0.18351996,0.46128437,2.2529113,-2.7241828,2.6534364,1.4403902,1.4403902,1.4403902,-0.3154045
2000-02-08,0.0,0.0,-0.1077442,3.889379,2.3467128,1.2469461,5.052319,5.052319,5.052319,5.052319,0.8511087,0.4475821,1.9054676,0.13472551,0.13472551,0.13472551,-0.5201372,3.4607854,-9.050011,-1.6035329,0.18351996,0.18351996,0.18351996,0.46128437,2.2529113,-2.7241828,2.6534364,1.4403902,1.4403902,1.4403902,-0.3154045,-1.2400513
2000-02-09,0.0,-0.1077442,3.889379,2.3467128,1.2469461,5.052319,5.052319,5.052319,5.052319,0.8511087,0.4475821,1.9054676,0.13472551,0.13472551,0.13472551,-0.5201372,3.4607854,-9.050011,-1.6035329,0.18351996,0.18351996,0.18351996,0.46128437,2.2529113,-2.7241828,2.6534364,1.4403902,1.4403902,1.4403902,-0.3154045,-1.2400513,2.3256862
2000-02-10,-0.1077442,3.889379,2.3467128,1.2469461,5.052319,5.052319,5.052319,5.052319,0.8511087,0.4475821,1.9054676,0.13472551,0.13472551,0.13472551,-0.5201372,3.4607854,-9.050011,-1.6035329,0.18351996,0.18351996,0.18351996,0.46128437,2.2529113,-2.7241828,2.6534364,1.4403902,1.4403902,1.4403902,-0.3154045,-1.2400513,2.3256862,2.680573
2000-02-11,3.889379,2.3467128,1.2469461,5.052319,5.052319,5.052319,5.052319,0.8511087,0.4475821,1.9054676,0.13472551,0.13472551,0.13472551,-0.5201372,3.4607854,-9.050011,-1.6035329,0.18351996,0.18351996,0.18351996,0.46128437,2.2529113,-2.7241828,2.6534364,1.4403902,1.4403902,1.4403902,-0.3154045,-1.2400513,2.3256862,2.680573,0.06779661
2000-02-14,5.052319,5.052319,5.052319,5.052319,0.8511087,0.4475821,1.9054676,0.13472551,0.13472551,0.13472551,-0.5201372,3.4607854,-9.050011,-1.6035329,0.18351996,0.18351996,0.18351996,0.46128437,2.2529113,-2.7241828,2.6534364,1.4403902,1.4403902,1.4403902,-0.3154045,-1.2400513,2.3256862,2.680573,0.06779661,0.06779661,0.06779661,0.88061744
2000-02-15,5.052319,5.052319,5.052319,0.8511087,0.4475821,1.9054676,0.13472551,0.13472551,0.13472551,-0.5201372,3.4607854,-9.050011,-1.6035329,0.18351996,0.18351996,0.18351996,0.46128437,2.2529113,-2.7241828,2.6534364,1.4403902,1.4403902,1.4403902,-0.3154045,-1.2400513,2.3256862,2.680573,0.06779661,0.06779661,0.06779661,0.88061744,-0.42996594
2000-02-16,5.052319,5.052319,0.8511087,0.4475821,1.9054676,0.13472551,0.13472551,0.13472551,-0.5201372,3.4607854,-9.050011,-1.6035329,0.18351996,0.18351996,0.18351996,0.46128437,2.2529113,-2.7241828,2.6534364,1.4403902,1.4403902,1.4403902,-0.3154045,-1.2400513,2.3256862,2.680573,0.06779661,0.06779661,0.06779661,0.88061744,-0.42996594,-0.53173935
2000-02-17,5.052319,0.8511087,0.4475821,1.9054676,0.13472551,0.13472551,0.13472551,-0.5201372,3.4607854,-9.050011,-1.6035329,0.18351996,0.18351996,0.18351996,0.46128437,2.2529113,-2.7241828,2.6534364,1.4403902,1.4403902,1.4403902,-0.3154045,-1.2400513,2.3256862,2.680573,0.06779661,0.06779661,0.06779661,0.88061744,-0.42996594,-0.53173935,-2.1556914
