DATE,ESS_MEAN,ESS_TOTAL,NUM_EVENTS,NUM_POSITIVE_ESS,NUM_NEGATIVE_ESS,NUM_NEUTRAL_ESS
2000-01-01,0.0,0.0,2.0,0.0,0.0,2.0
2000-01-03,18.0,18.0,1.0,1.0,0.0,0.0
2000-01-04,6.857143,48.0,7.0,4.0,2.0,1.0
2000-01-05,-6.0,-12.0,2.0,0.0,1.0,1.0
2000-01-06,-26.5,-53.0,2.0,0.0,2.0,0.0
2000-01-07,-15.0,-60.0,4.0,0.0,4.0,0.0
2000-01-10,1.5,6.0,4.0,2.0,2.0,0.0
2000-01-11,1.1,11.0,10.0,5.0,5.0,0.0
2000-01-12,-0.25,-1.0,4.0,2.0,2.0,0.0
2000-01-13,8.0,56.0,7.0,4.0,1.0,2.0
2000-01-14,16.8,84.0,5.0,5.0,0.0,0.0
2000-01-17,-14.666667,-44.0,3.0,1.0,2.0,0.0
2000-01-18,-4.0,-24.0,6.0,2.0,4.0,0.0
2000-01-19,-0.71428573,-5.0,7.0,3.0,3.0,1.0
2000-01-20,-5.6363635,-62.0,11.0,4.0,7.0,0.0
2000-01-21,18.0,18.0,1.0,1.0,0.0,0.0
2000-01-22,12.0,24.0,2.0,2.0,0.0,0.0
2000-01-23,18.0,18.0,1.0,1.0,0.0,0.0
2000-01-24,4.25,34.0,8.0,4.0,3.0,1.0
2000-01-25,13.0,156.0,12.0,9.0,3.0,0.0
2000-01-26,0.3846154,5.0,13.0,7.0,6.0,0.0
2000-01-27,-3.4285715,-24.0,7.0,2.0,5.0,0.0
2000-01-28,-1.1428572,-8.0,7.0,3.0,4.0,0.0
2000-01-30,-15.0,-15.0,1.0,0.0,1.0,0.0
2000-01-31,23.142857,162.0,7.0,7.0,0.0,0.0
2000-02-01,14.8125,237.0,16.0,13.0,1.0,2.0
2000-02-02,2.8125,45.0,16.0,8.0,7.0,1.0
2000-02-03,10.625,85.0,8.0,7.0,1.0,0.0
2000-02-04,9.75,39.0,4.0,3.0,1.0,0.0
2000-02-06,-15.0,-15.0,1.0,0.0,1.0,0.0
2000-02-07,-6.0,-144.0,24.0,7.0,15.0,2.0
2000-02-08,-10.857142,-152.0,14.0,3.0,11.0,0.0
2000-02-09,-15.0,-15.0,1.0,0.0,1.0,0.0
2000-02-10,3.0,27.0,9.0,4.0,3.0,2.0
2000-02-11,9.222222,83.0,9.0,7.0,2.0,0.0
2000-02-13,4.5,9.0,2.0,1.0,1.0,0.0
2000-02-14,12.533334,188.0,15.0,13.0,2.0,0.0
2000-02-15,11.222222,101.0,9.0,7.0,2.0,0.0
2000-02-16,-6.2,-93.0,15.0,5.0,10.0,0.0
2000-02-17,-9.714286,-136.0,14.0,2.0,11.0,1.0
2000-02-18,11.4,57.0,5.0,4.0,1.0,0.0
2000-02-19,7.0,21.0,3.0,2.0,1.0,0.0
2000-02-20,-19.0,-38.0,2.0,1.0,1.0,0.0
2000-02-21,-5.1666665,-31.0,6.0,2.0,4.0,0.0
2000-02-22,1.4545455,16.0,11.0,5.0,6.0,0.0
2000-02-23,1.6,16.0,10.0,6.0,4.0,0.0
2000-02-24,8.642858,121.0,14.0,10.0,4.0,0.0
2000-02-25,-5.5,-44.0,8.0,3.0,5.0,0.0
2000-02-27,-1.6,-8.0,5.0,2.0,3.0,0.0
2000-02-28,-7.125,-114.0,16.0,3.0,10.0,3.0
2000-02-29,13.142858,92.0,7.0,6.0,1.0,0.0
2000-03-01,3.5,28.0,8.0,4.0,2.0,2.0
2000-03-02,19.428572,136.0,7.0,7.0,0.0,0.0
2000-03-03,-4.0,-12.0,3.0,1.0,2.0,0.0
2000-03-06,14.8,74.0,5.0,4.0,1.0,0.0
2000-03-07,2.3333333,35.0,15.0,9.0,5.0,1.0
2000-03-08,-3.7857144,-53.0,14.0,6.0,8.0,0.0
2000-03-09,-4.0,-36.0,9.0,3.0,6.0,0.0
2000-03-10,-15.0,-30.0,2.0,0.0,2.0,0.0
2000-03-13,-6.75,-27.0,4.0,1.0,3.0,0.0
2000-03-14,9.428572,66.0,7.0,5.0,2.0,0.0
2000-03-15,-9.111111,-82.0,9.0,2.0,7.0,0.0
2000-03-16,1.5,6.0,4.0,2.0,2.0,0.0
2000-03-17,1.5,6.0,4.0,2.0,2.0,0.0
2000-03-20,-12.555555,-113.0,9.0,2.0,7.0,0.0
2000-03-21,-2.2222223,-20.0,9.0,4.0,5.0,0.0
2000-03-22,-11.625,-93.0,8.0,1.0,6.0,1.0
2000-03-23,3.0,24.0,8.0,3.0,4.0,1.0
2000-03-24,0.8888889,8.0,9.0,5.0,4.0,0.0
2000-03-25,18.0,18.0,1.0,1.0,0.0,0.0
2000-03-26,-15.0,-15.0,1.0,0.0,1.0,0.0
2000-03-27,-1.3,-13.0,10.0,4.0,6.0,0.0
2000-03-28,-5.8,-58.0,10.0,3.0,7.0,0.0
2000-03-29,1.3333334,12.0,9.0,3.0,6.0,0.0
2000-03-30,1.5,3.0,2.0,1.0,1.0,0.0
2000-03-31,4.0,16.0,4.0,2.0,2.0,0.0
2000-04-01,0.0,0.0,1.0,0.0,0.0,1.0
2000-04-03,9.0,27.0,3.0,2.0,1.0,0.0
2000-04-04,-16.333334,-98.0,6.0,0.0,5.0,1.0
2000-04-05,0.33333334,2.0,6.0,3.0,3.0,0.0
2000-04-06,-5.0,-20.0,4.0,2.0,2.0,0.0
2000-04-07,-15.0,-60.0,4.0,0.0,4.0,0.0
2000-04-10,-13.4,-67.0,5.0,1.0,4.0,0.0
2000-04-11,-17.333334,-52.0,3.0,0.0,3.0,0.0
2000-04-12,5.8333335,35.0,6.0,4.0,2.0,0.0
2000-04-13,-8.333333,-25.0,3.0,1.0,2.0,0.0
2000-04-14,0.0,0.0,1.0,0.0,0.0,1.0
2000-04-17,-23.0,-46.0,2.0,0.0,2.0,0.0
2000-04-18,5.75,46.0,8.0,5.0,2.0,1.0
2000-04-19,-16.333334,-49.0,3.0,1.0,2.0,0.0
2000-04-20,-10.0,-20.0,2.0,1.0,1.0,0.0
2000-04-21,5.0,5.0,1.0,1.0,0.0,0.0
2000-04-23,0.0,0.0,1.0,0.0,0.0,1.0
2000-04-24,-15.0,-75.0,5.0,2.0,3.0,0.0
2000-04-25,-13.0,-91.0,7.0,1.0,6.0,0.0
2000-04-26,-6.4444447,-58.0,9.0,2.0,6.0,1.0
2000-04-27,18.0,54.0,3.0,3.0,0.0,0.0
2000-04-28,1.3333334,4.0,3.0,2.0,1.0,0.0
2000-04-30,0.0,0.0,1.0,0.0,0.0,1.0
2000-05-01,-2.5,-5.0,2.0,0.0,1.0,1.0
2000-05-02,-1.3,-13.0,10.0,5.0,3.0,2.0
2000-05-03,11.3,113.0,10.0,8.0,2.0,0.0
2000-05-04,1.5555556,14.0,9.0,4.0,3.0,2.0
2000-05-05,7.25,58.0,8.0,5.0,2.0,1.0
2000-05-08,1.5,15.0,10.0,5.0,5.0,0.0
2000-05-09,-2.5,-25.0,10.0,4.0,6.0,0.0
2000-05-10,-11.285714,-79.0,7.0,1.0,6.0,0.0
2000-05-11,-6.0,-60.0,10.0,5.0,5.0,0.0
2000-05-12,7.9411764,135.0,17.0,12.0,4.0,1.0
2000-05-13,18.0,18.0,1.0,1.0,0.0,0.0
2000-05-14,1.5,3.0,2.0,1.0,1.0,0.0
2000-05-15,-2.4,-36.0,15.0,6.0,9.0,0.0
2000-05-16,9.666667,116.0,12.0,9.0,3.0,0.0
2000-05-17,-7.0,-91.0,13.0,4.0,9.0,0.0
2000-05-18,7.2222223,65.0,9.0,7.0,2.0,0.0
2000-05-19,-0.3,-3.0,10.0,4.0,5.0,1.0
2000-05-22,-12.0,-192.0,16.0,2.0,14.0,0.0
2000-05-23,13.090909,144.0,11.0,9.0,2.0,0.0
2000-05-24,-3.2,-16.0,5.0,2.0,3.0,0.0
2000-05-25,12.571428,88.0,7.0,5.0,1.0,1.0
