DATE,WESS_MEAN,WESS_TOTAL,NUM_EVENTS,NUM_POSITIVE_WESS,NUM_NEGATIVE_WESS,NUM_NEUTRAL_WESS
2000-01-01,0.0,0.0,2.0,0.0,0.0,2.0
2000-01-03,18.0,18.0,1.0,1.0,0.0,0.0
2000-01-04,4.975714,34.83,7.0,4.0,2.0,1.0
2000-01-05,-6.0,-12.0,2.0,0.0,1.0,1.0
2000-01-06,-26.5,-53.0,2.0,0.0,2.0,0.0
2000-01-07,-10.7625,-43.05,4.0,0.0,4.0,0.0
2000-01-10,0.375,1.5,4.0,2.0,2.0,0.0
2000-01-11,-4.429,-44.29,10.0,5.0,5.0,0.0
2000-01-12,-5.71,-22.84,4.0,2.0,2.0,0.0
2000-01-13,7.357143,51.5,7.0,4.0,1.0,2.0
2000-01-14,8.232,41.16,5.0,5.0,0.0,0.0
2000-01-17,-12.083333,-36.25,3.0,1.0,2.0,0.0
2000-01-18,-1.575,-9.45,6.0,2.0,4.0,0.0
2000-01-19,-3.682857,-25.78,7.0,3.0,3.0,1.0
2000-01-20,-5.0554547,-55.61,11.0,4.0,7.0,0.0
2000-01-21,7.56,7.56,1.0,1.0,0.0,0.0
2000-01-22,10.5,21.0,2.0,2.0,0.0,0.0
2000-01-23,18.0,18.0,1.0,1.0,0.0,0.0
2000-01-24,4.98125,39.85,8.0,4.0,3.0,1.0
2000-01-25,11.07,132.84,12.0,9.0,3.0,0.0
2000-01-26,-3.2592309,-42.37,13.0,7.0,6.0,0.0
2000-01-27,0.75,5.25,7.0,2.0,5.0,0.0
2000-01-28,0.42571428,2.98,7.0,3.0,4.0,0.0
2000-01-30,-15.0,-15.0,1.0,0.0,1.0,0.0
2000-01-31,18.12857,126.9,7.0,7.0,0.0,0.0
2000-02-01,5.91375,94.62,16.0,6.0,1.0,9.0
2000-02-02,-0.0375,-0.6,16.0,6.0,7.0,3.0
2000-02-03,2.3,18.4,8.0,7.0,1.0,0.0
2000-02-04,2.1,8.4,4.0,3.0,1.0,0.0
2000-02-06,-15.0,-15.0,1.0,0.0,1.0,0.0
2000-02-07,-1.0083333,-24.2,24.0,7.0,9.0,8.0
2000-02-08,-3.3964286,-47.55,14.0,3.0,4.0,7.0
2000-02-09,-1.95,-1.95,1.0,0.0,0.0,1.0
2000-02-10,2.0266666,18.24,9.0,4.0,3.0,2.0
2000-02-11,0.15555556,1.4,9.0,4.0,2.0,3.0
2000-02-13,4.5,9.0,2.0,1.0,1.0,0.0
2000-02-14,6.7733335,101.6,15.0,13.0,2.0,0.0
2000-02-15,4.598889,41.39,9.0,7.0,2.0,0.0
2000-02-16,-5.31,-79.65,15.0,5.0,10.0,0.0
2000-02-17,-4.0078573,-56.11,14.0,2.0,7.0,5.0
2000-02-18,3.942,19.71,5.0,4.0,1.0,0.0
2000-02-19,0.28,0.84,3.0,2.0,1.0,0.0
2000-02-20,-19.0,-38.0,2.0,1.0,1.0,0.0
2000-02-21,-4.1916666,-25.15,6.0,2.0,4.0,0.0
2000-02-22,3.4481819,37.93,11.0,5.0,6.0,0.0
2000-02-23,-0.86,-8.6,10.0,6.0,4.0,0.0
2000-02-24,2.2892857,32.05,14.0,9.0,4.0,1.0
2000-02-25,-4.4425,-35.54,8.0,3.0,5.0,0.0
2000-02-27,-1.6,-8.0,5.0,2.0,3.0,0.0
2000-02-28,-3.58125,-57.3,16.0,3.0,9.0,4.0
2000-02-29,8.1285715,56.9,7.0,6.0,1.0,0.0
2000-03-01,-0.325,-2.6,8.0,4.0,2.0,2.0
2000-03-02,10.017143,70.12,7.0,7.0,0.0,0.0
2000-03-03,-4.0,-12.0,3.0,1.0,2.0,0.0
2000-03-06,13.9,69.5,5.0,4.0,1.0,0.0
2000-03-07,-3.1746666,-47.62,15.0,8.0,5.0,2.0
2000-03-08,-8.732857,-122.26,14.0,1.0,8.0,5.0
2000-03-09,-0.83666664,-7.53,9.0,3.0,6.0,0.0
2000-03-10,-4.2,-8.4,2.0,0.0,2.0,0.0
2000-03-13,-4.1625,-16.65,4.0,1.0,3.0,0.0
2000-03-14,9.428572,66.0,7.0,5.0,2.0,0.0
2000-03-15,-4.1277776,-37.15,9.0,2.0,7.0,0.0
2000-03-16,7.8375,31.35,4.0,2.0,0.0,2.0
2000-03-17,0.1875,0.75,4.0,2.0,2.0,0.0
2000-03-20,-9.805555,-88.25,9.0,2.0,7.0,0.0
2000-03-21,0.12222222,1.1,9.0,4.0,5.0,0.0
2000-03-22,-7.60875,-60.87,8.0,1.0,6.0,1.0
2000-03-23,5.60625,44.85,8.0,3.0,4.0,1.0
2000-03-24,1.1711111,10.54,9.0,5.0,4.0,0.0
2000-03-25,13.5,13.5,1.0,1.0,0.0,0.0
2000-03-26,-15.0,-15.0,1.0,0.0,1.0,0.0
2000-03-27,2.765,27.65,10.0,4.0,6.0,0.0
2000-03-28,1.7,17.0,10.0,3.0,5.0,2.0
2000-03-29,8.233334,74.1,9.0,3.0,2.0,4.0
2000-03-30,7.2,14.4,2.0,1.0,1.0,0.0
2000-03-31,5.875,23.5,4.0,2.0,2.0,0.0
2000-04-01,0.0,0.0,1.0,0.0,0.0,1.0
2000-04-03,9.0,27.0,3.0,2.0,1.0,0.0
2000-04-04,-14.608334,-87.65,6.0,0.0,5.0,1.0
2000-04-05,2.7333333,16.4,6.0,3.0,3.0,0.0
2000-04-06,-8.105,-32.42,4.0,2.0,2.0,0.0
2000-04-07,-10.2375,-40.95,4.0,0.0,4.0,0.0
2000-04-10,-13.4,-67.0,5.0,1.0,4.0,0.0
2000-04-11,-16.083334,-48.25,3.0,0.0,3.0,0.0
2000-04-12,2.0233333,12.14,6.0,4.0,2.0,0.0
2000-04-13,-5.8333335,-17.5,3.0,1.0,2.0,0.0
2000-04-14,0.0,0.0,1.0,0.0,0.0,1.0
2000-04-17,-23.0,-46.0,2.0,0.0,2.0,0.0
2000-04-18,1.3625,10.9,8.0,5.0,2.0,1.0
2000-04-19,-20.893333,-62.68,3.0,1.0,2.0,0.0
2000-04-20,-10.0,-20.0,2.0,1.0,1.0,0.0
2000-04-21,5.0,5.0,1.0,1.0,0.0,0.0
2000-04-23,0.0,0.0,1.0,0.0,0.0,1.0
2000-04-24,-15.0,-75.0,5.0,2.0,3.0,0.0
2000-04-25,-11.535714,-80.75,7.0,1.0,6.0,0.0
2000-04-26,-4.561111,-41.05,9.0,2.0,6.0,1.0
2000-04-27,13.86,41.58,3.0,3.0,0.0,0.0
2000-04-28,1.3333334,4.0,3.0,2.0,1.0,0.0
2000-04-30,0.0,0.0,1.0,0.0,0.0,1.0
2000-05-01,-2.5,-5.0,2.0,0.0,1.0,1.0
2000-05-02,-2.411,-24.11,10.0,5.0,3.0,2.0
2000-05-03,4.028,40.28,10.0,8.0,2.0,0.0
2000-05-04,0.38555557,3.47,9.0,4.0,3.0,2.0
2000-05-05,6.7625,54.1,8.0,5.0,2.0,1.0
2000-05-08,1.119,11.19,10.0,5.0,5.0,0.0
2000-05-09,-1.549,-15.49,10.0,4.0,6.0,0.0
2000-05-10,-5.457143,-38.2,7.0,1.0,6.0,0.0
2000-05-11,-4.134,-41.34,10.0,5.0,5.0,0.0
2000-05-12,0.38470587,6.54,17.0,8.0,4.0,5.0
2000-05-13,1.08,1.08,1.0,0.0,0.0,1.0
2000-05-14,1.5,3.0,2.0,1.0,1.0,0.0
2000-05-15,0.426,6.39,15.0,6.0,7.0,2.0
2000-05-16,5.8841667,70.61,12.0,9.0,2.0,1.0
2000-05-17,-2.5823076,-33.57,13.0,4.0,7.0,2.0
2000-05-18,2.4622223,22.16,9.0,7.0,2.0,0.0
2000-05-19,-3.687,-36.87,10.0,4.0,5.0,1.0
2000-05-22,-4.3875,-70.2,16.0,2.0,8.0,6.0
2000-05-23,11.82,130.02,11.0,9.0,0.0,2.0
2000-05-24,-7.346,-36.73,5.0,2.0,3.0,0.0
2000-05-25,9.665714,67.66,7.0,5.0,1.0,1.0
