DATE,ESS_MEAN,ESS_TOTAL,WESS_MEAN,WESS_TOTAL,NUM_EVENTS,NUM_POSITIVE_ESS,NUM_NEGATIVE_ESS,NUM_NEUTRAL_ESS,NUM_POSITIVE_WESS,NUM_NEGATIVE_WESS,NUM_NEUTRAL_WESS
2000-01-01,0.0,0,0.0,0.0,2,0,0,2,0,0,2
2000-01-03,18.0,18,18.0,18.0,1,1,0,0,1,0,0
2000-01-04,6.857142857142857,48,4.975714285714285,34.83,7,4,2,1,4,2,1
2000-01-05,-6.0,-12,-6.0,-12.0,2,1,1,0,1,1,0
2000-01-06,-26.5,-53,-26.5,-53.0,2,0,2,0,0,2,0
2000-01-07,-15.0,-60,-10.7625,-43.05,4,0,4,0,0,4,0
2000-01-10,1.5,6,0.375,1.5,4,2,2,0,2,2,0
2000-01-11,1.1,11,-4.429,-44.29,10,5,5,0,5,5,0
2000-01-12,-0.25,-1,-5.709999999999999,-22.839999999999996,4,2,2,0,2,2,0
2000-01-13,8.0,56,7.357142857142857,51.5,7,4,1,2,4,1,2
2000-01-14,16.8,84,8.232,41.16,5,5,0,0,5,0,0
2000-01-17,-14.666666666666666,-44,-12.083333333333334,-36.25,3,1,2,0,1,2,0
2000-01-18,-4.0,-24,-1.575,-9.45,6,2,4,0,2,4,0
2000-01-19,-0.7142857142857143,-5,-3.682857142857143,-25.78,7,3,3,1,3,3,1
2000-01-20,-5.636363636363637,-62,-5.055454545454546,-55.61,11,4,7,0,4,7,0
2000-01-21,18.0,18,7.56,7.56,1,1,0,0,1,0,0
2000-01-22,12.0,24,10.5,21.0,2,2,0,0,2,0,0
2000-01-23,18.0,18,18.0,18.0,1,1,0,0,1,0,0
2000-01-24,4.25,34,4.98125,39.85,8,4,3,1,4,3,1
2000-01-25,13.0,156,11.07,132.84,12,9,3,0,9,3,0
2000-01-26,0.38461538461538464,5,-3.259230769230769,-42.37,13,7,6,0,7,6,0
2000-01-27,-3.4285714285714284,-24,0.7500000000000006,5.2500000000000036,7,2,5,0,2,5,0
2000-01-28,-1.1428571428571428,-8,0.42571428571428555,2.9799999999999986,7,3,4,0,3,4,0
2000-01-30,-15.0,-15,-15.0,-15.0,1,0,1,0,0,1,0
2000-01-31,23.142857142857142,162,18.12857142857143,126.9,7,7,0,0,7,0,0
2000-02-01,14.8125,237,5.913749999999999,94.61999999999999,16,13,1,2,7,1,8
2000-02-02,2.8125,45,-0.03749999999999998,-0.5999999999999996,16,8,7,1,6,7,3
2000-02-03,10.625,85,2.3,18.4,8,7,1,0,7,1,0
2000-02-04,9.75,39,2.0999999999999996,8.399999999999999,4,3,1,0,3,1,0
2000-02-06,-15.0,-15,-15.0,-15.0,1,0,1,0,0,1,0
2000-02-07,-6.0,-144,-1.0083333333333333,-24.2,24,7,15,2,7,10,7
2000-02-08,-10.857142857142858,-152,-3.3964285714285714,-47.55,14,3,11,0,3,4,7
2000-02-09,-15.0,-15,-1.95,-1.95,1,0,1,0,0,0,1
2000-02-10,3.0,27,2.026666666666667,18.240000000000002,9,4,3,2,4,3,2
2000-02-11,9.222222222222221,83,0.15555555555555553,1.3999999999999997,9,7,2,0,6,2,1
2000-02-13,4.5,9,4.5,9.0,2,1,1,0,1,1,0
2000-02-14,12.533333333333333,188,6.7733333333333325,101.6,15,13,2,0,13,2,0
2000-02-15,11.222222222222221,101,4.598888888888889,41.39,9,7,2,0,7,2,0
2000-02-16,-6.2,-93,-5.3100000000000005,-79.65,15,5,10,0,5,10,0
2000-02-17,-9.714285714285714,-136,-4.007857142857143,-56.11,14,2,11,1,2,8,4
2000-02-18,11.4,57,3.9419999999999993,19.709999999999997,5,4,1,0,4,1,0
2000-02-19,7.0,21,0.27999999999999997,0.8399999999999999,3,2,1,0,2,1,0
2000-02-20,-19.0,-38,-19.0,-38.0,2,1,1,0,1,1,0
2000-02-21,-5.166666666666667,-31,-4.191666666666666,-25.15,6,2,4,0,2,4,0
2000-02-22,1.4545454545454546,16,3.4481818181818187,37.93000000000001,11,5,6,0,5,6,0
2000-02-23,1.6,16,-0.8599999999999994,-8.599999999999994,10,6,4,0,6,4,0
2000-02-24,8.642857142857142,121,2.289285714285714,32.05,14,10,4,0,10,4,0
2000-02-25,-5.5,-44,-4.4425,-35.54,8,3,5,0,3,5,0
2000-02-27,-1.6,-8,-1.6,-8.0,5,2,3,0,2,3,0
2000-02-28,-7.125,-114,-3.58125,-57.3,16,3,10,3,3,10,3
2000-02-29,13.142857142857142,92,8.128571428571428,56.9,7,6,1,0,6,1,0
2000-03-01,3.5,28,-0.32499999999999996,-2.5999999999999996,8,4,2,2,4,2,2
2000-03-02,19.428571428571427,136,10.017142857142858,70.12,7,7,0,0,7,0,0
2000-03-03,-4.0,-12,-4.0,-12.0,3,1,2,0,1,2,0
2000-03-06,14.8,74,13.9,69.5,5,4,1,0,4,1,0
2000-03-07,2.3333333333333335,35,-3.174666666666667,-47.620000000000005,15,9,5,1,9,5,1
2000-03-08,-3.7857142857142856,-53,-8.732857142857142,-122.25999999999999,14,6,8,0,2,8,4
2000-03-09,-4.0,-36,-0.836666666666666,-7.529999999999994,9,3,6,0,3,6,0
2000-03-10,-15.0,-30,-4.2,-8.4,2,0,2,0,0,2,0
2000-03-13,-6.75,-27,-4.1625,-16.65,4,1,3,0,1,3,0
