title,news_url,image_url,text,sentiment,type,source_name,date,topics
"5G: Where It's Available, Who's First, What's Next",http://feeds.benzinga.com/~r/benzinga/~3/T-PYs4EzaYQ/5g-where-its-available-whos-first-whats-next,https://cdn.snapi.dev/images/v1/a/c/accessibility-3570138-1920-5-0.jpg,"You might have heard that 5G is here. Now you can get on your phone and download an entire movie in a couple of seconds, right?",Neutral,Article,Benzinga,"Mon, 08 Apr 2019 16:21:06 -0400",
"Uber Freight, Convoy Rise As Traditional Load Boards Lose Market Share",http://feeds.benzinga.com/~r/benzinga/~3/P0LAHkf0tAc/uber-freight-convoy-rise-as-traditional-load-boards-lose-market-share,https://cdn.snapi.dev/images/v1/a/p/app-2941689-1920-1-9.jpg,"Upstarts Uber Freight and Convoy continued to gain market share among freight-matching rivals, as more traditional load boards saw their market share ebb in the face of more heavily digitized competition, according to a report from investment bank UBS.",Positive,Article,Benzinga,"Mon, 08 Apr 2019 16:01:29 -0400",
"SES Sees Third Generation Satellites As Disruptive Technology",http://feeds.benzinga.com/~r/benzinga/~3/6NwLt-hJ5ZU/ses-sees-third-generation-satellites-as-disruptive-technology,https://cdn.snapi.dev/images/v1/s/e/ses-0.jpg,"Luxembourg-based satellite operator SES believes the next generation of units, currently under construction for launch in 2021, will prove to be a disruptive technology in the satellite communications field, improving services, expanding the number of users and reducing overall costs for communications.",Positive,Article,Benzinga,"Mon, 08 Apr 2019 14:34:17 -0400",
"2019: A Record Year For IPOs?",http://feeds.benzinga.com/~r/benzinga/~3/Y6lwVvhDmMM/2019-a-record-year-for-ipos,https://cdn.snapi.dev/images/v1/s/t/stock-exchange-738671-1280-12-0.jpg,"Renaissance Capital's early 2019 research portended good things for the IPO market. In January, the financial firm cited a “large backlog” of U.S.",Neutral,Article,Benzinga,"Mon, 08 Apr 2019 14:19:18 -0400",
"Tech spending will near $4 trillion this year. Here's where all the money is going and why",https://www.cnbc.com/2019/04/08/4-trillion-in-tech-spending-in-2019-heres-where-the-money-is-going.html,https://cdn.snapi.dev/images/v1/1/0/105835700-1554474431561scanpayframe6600x400.jpg,"Spending on technology will near $4 trillion in 2019 as the cloud computing boom, threat of hacking and rapidly evolving consumer preferences in mobile demand the full attention of corporate executives to keep their companies from being disrupted.",Neutral,Article,CNBC,"Mon, 08 Apr 2019 13:45:40 -0400",
"Morgan Stanley: Wall Street is wrong, there will be an earnings recession this year",https://www.cnbc.com/2019/04/08/morgan-stanley-wall-street-is-wrong-there-will-be-an-earnings-recession-this-year.html,https://cdn.snapi.dev/images/v1/1/0/105812297-1553515965019rts2eeq1530x298.jpg,"Morgan Stanley is calling for a full-blown earnings recession, while many other analysts see one negative quarter and a return to positive profit growth by the second quarter.",Negative,Article,CNBC,"Mon, 08 Apr 2019 13:13:00 -0400",
"A Foolish Take: Have Stock Buybacks Maxed Out?",https://www.fool.com/investing/2019/04/08/a-foolish-take-have-stock-buybacks-maxed-out.aspx?source=iedfolrf0000001,https://cdn.snapi.dev/images/v1/e/t/etf44.jpg,"Record stock repurchases in 2018 look unlikely to repeat.",Neutral,Article,"The Motley Fool","Mon, 08 Apr 2019 12:03:00 -0400",
"CEO of $3 billion real estate start-up: This is the No. 1 thing to do when you buy your first home",https://www.cnbc.com/2019/04/08/opendoor-ceo-the-no-1-thing-to-do-when-you-buy-your-first-home.html,https://cdn.snapi.dev/images/v1/1/0/105271442-webpnet-resizeimage-261910x1000.jpg,"""Home shopping is an emotional roller-coaster.""",Neutral,Article,CNBC,"Mon, 08 Apr 2019 10:46:00 -0400",CEO
"Grab, the ride-hailing company Uber has a 27% stake in, wants to raise $2 billion",https://www.cnbc.com/2019/04/08/grab-plans-to-raise-another-2-billion-in-funding-this-year-ceo-says.html,https://cdn.snapi.dev/images/v1/g/r/grb6.jpg,"Grab expects to raise another $2 billion from strategic investors this year, the CEO of Southeast Asia's biggest ride-hailing firm said, just weeks after it announced funding of over $4.5 billion in the region's largest private financing round.",Positive,Article,CNBC,"Mon, 08 Apr 2019 10:08:18 -0400",
"No Real Earnings Growth in 2018 -- Just Lower Taxes",https://www.forbes.com/sites/greatspeculations/2019/04/08/no-real-earnings-growth-in-2018-just-lower-taxes/,https://cdn.snapi.dev/images/v1/0/x/0x600-46.jpg,"The disconnect between real economic earnings and rising equity markets puts those who chase misleading earnings to danger.",Negative,Article,Forbes,"Mon, 08 Apr 2019 09:38:00 -0400",
"JPMorgan CEO Jamie Dimon Calls Student Loans ""Significant Issue""",https://www.forbes.com/sites/zackfriedman/2019/04/08/student-loans-jpmorgan-jamie-dimon/,https://cdn.snapi.dev/images/v1/d/i/dim8.jpg,"JPMorgan CEO Jamie Dimon shares his views on ""irrational student lending.""",Neutral,Article,Forbes,"Mon, 08 Apr 2019 09:10:00 -0400",CEO
"At Apple, Steve Jobs divided people into 2 groups—'insanely great' and 'crappy'",https://www.cnbc.com/2019/04/05/apple-steve-jobs-divided-people-into-2-groups-insanely-great-and-crappy-people-says-ex-employee-guy-kawasaki.html,https://cdn.snapi.dev/images/v1/1/0/105833822-stevejobs-lessons-site-thumb-2940x528.jpg,"Only excellence matters.",Neutral,Article,CNBC,"Mon, 08 Apr 2019 09:00:00 -0400",
"Zoom Video sets IPO terms, to raise up to $348.1 million",http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/-df6fvdnMfQ/story.aspx,https://cdn.snapi.dev/images/v1/z/o/zoom9.jpg,"Zoom Video Communications set terms of its initial public offering, with 20.9 million shares to be sold at an expected pricing of $28 to $32 a share. The San Jose, Calif.",Positive,Article,"Market Watch","Mon, 08 Apr 2019 07:26:05 -0400",
"Palomar Holdings set terms of IPO to raise up to $95.6 million",http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/Co8JKjhAYl4/story.aspx,https://cdn.snapi.dev/images/v1/e/t/etf38-4.jpg,"Palomar Holdings Inc. set term of its initial public offering, which is expected to price between $15 to $17 a share, to value the specialty insurance company at up to $384.6 million.",Positive,Article,"Market Watch","Mon, 08 Apr 2019 06:52:23 -0400",
"These 11 Things Are Holding Back U.S. Economic Growth",https://www.fool.com/investing/2019/04/08/these-11-things-are-holding-back-us-economic-growt.aspx?source=iedfolrf0000001,https://cdn.snapi.dev/images/v1/u/r/urlhttps3a2f2fgfoolcdncom2feditorial2fimages2f5183192fflags-on-houses.jpg,"According to JPMorgan Chase CEO Jamie Dimon, here are 11 things preventing the U.S. economy from realizing its full potential.",Negative,Article,"The Motley Fool","Mon, 08 Apr 2019 06:11:00 -0400",
