sample_id	val_mse	val_acc	val_mape	test_mse	test_acc	test_mape	config
1	0.7481878399848938	0.5005400552679936	238.65370750427246	1.0079959630966187	0.5428571428571428	169.40791606903076	{'nn.hidden_size': 64, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.lstm_drop_prob': 0.5, 'nn.fc_drop_prob': 0.25, 'train.epoch': 60, 'train.batch_size': 32, 'train.lr': 0.00030000000000000003}
2	0.7310768365859985	0.5236291714009174	127.53679752349854	0.9175195693969727	0.6285714285714286	101.88232660293579	{'nn.hidden_size': 64, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.lstm_drop_prob': 0.25, 'nn.fc_drop_prob': 0.0, 'train.epoch': 11, 'train.batch_size': 32, 'train.lr': 0.0001}
3	0.49095475673675537	0.499950904066546	211.26508712768555	0.9630064964294434	0.5714285714285714	117.98679828643799	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.lstm_drop_prob': 0.5, 'nn.fc_drop_prob': 0.5, 'train.epoch': 12, 'train.batch_size': 128, 'train.lr': 0.001}
4	1.0464693307876587	0.488448428228759	322.5313663482666	0.8963162302970886	0.5428571428571428	118.03532838821411	{'nn.hidden_size': 128, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.lstm_drop_prob': 0.5, 'nn.fc_drop_prob': 0.5, 'train.epoch': 175, 'train.batch_size': 32, 'train.lr': 0.003}
5	1.704716444015503	0.507090855531709	651.0814666748047	3.8084590435028076	0.45714285714285713	480.63106536865234	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.lstm_drop_prob': 0.25, 'nn.fc_drop_prob': 0.0, 'train.epoch': 85, 'train.batch_size': 32, 'train.lr': 0.1}
6	1.2128689289093018	0.49316163784034	546.7438220977783	2.3324615955352783	0.2571428571428571	344.19493675231934	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.lstm_drop_prob': 0.25, 'nn.fc_drop_prob': 0.0, 'train.epoch': 70, 'train.batch_size': 32, 'train.lr': 0.1}
7	1.269704818725586	0.4979449844997124	343.8917636871338	1.0605541467666626	0.5428571428571428	185.3184938430786	{'nn.hidden_size': 128, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.lstm_drop_prob': 0.0, 'nn.fc_drop_prob': 0.0, 'train.epoch': 110, 'train.batch_size': 512, 'train.lr': 0.003}
8	0.8912049531936646	0.5019568236333797	419.5061206817627	1.7708176374435425	0.42857142857142855	350.49939155578613	{'nn.hidden_size': 128, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.lstm_drop_prob': 0.25, 'nn.fc_drop_prob': 0.0, 'train.epoch': 110, 'train.batch_size': 128, 'train.lr': 0.001}
9	0.5437260866165161	0.49745402516517273	153.39471101760864	0.9515007138252258	0.42857142857142855	115.28899669647217	{'nn.hidden_size': 1024, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.lstm_drop_prob': 0.25, 'nn.fc_drop_prob': 0.5, 'train.epoch': 14, 'train.batch_size': 32, 'train.lr': 3.0000000000000004e-05}
10	0.8484517931938171	0.4956164345130385	239.91198539733887	0.9364476799964905	0.5428571428571428	137.0749831199646	{'nn.hidden_size': 64, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.lstm_drop_prob': 0.25, 'nn.fc_drop_prob': 0.25, 'train.epoch': 10, 'train.batch_size': 32, 'train.lr': 0.01}
11	0.7900806665420532	0.5076098696853653	351.3432025909424	1.0340582132339478	0.5142857142857142	189.68387842178345	{'nn.hidden_size': 64, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.lstm_drop_prob': 0.0, 'nn.fc_drop_prob': 0.5, 'train.epoch': 35, 'train.batch_size': 512, 'train.lr': 0.01}
12	0.7591388821601868	0.5566637209106594	301.3140916824341	1.440050482749939	0.42857142857142855	224.92873668670654	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.lstm_drop_prob': 0.5, 'nn.fc_drop_prob': 0.5, 'train.epoch': 40, 'train.batch_size': 128, 'train.lr': 0.1}
13	6.558079719543457	0.5002875618959447	1885.4393005371094	6.533250331878662	0.42857142857142855	737.1700763702393	{'nn.hidden_size': 1024, 'nn.output_size': 1, 'nn.num_layer': 3, 'nn.lstm_drop_prob': 0.25, 'nn.fc_drop_prob': 0.25, 'train.epoch': 145, 'train.batch_size': 128, 'train.lr': 0.30000000000000004}
14	0.680368959903717	0.5064736495111448	254.63035106658936	1.2990684509277344	0.42857142857142855	157.41727352142334	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.lstm_drop_prob': 0.25, 'nn.fc_drop_prob': 0.0, 'train.epoch': 135, 'train.batch_size': 512, 'train.lr': 0.1}
