sample_id	val_mse	val_acc	val_mape	test_mse	test_acc	test_mape	config
1	6.768429756164551	0.49727336747254136	376.2599468231201	6.218732833862305	0.47058823529411764	408.07533264160156	{'nn.hidden_size': 1024, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.drop_prob': 0.5, 'train.epoch': 100, 'train.batch_size': 512, 'train.lr': 0.00030000000000000003}
2	7.694789886474609	0.498695615294786	476.1779308319092	5.9555487632751465	0.45989304812834225	385.7002019882202	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.drop_prob': 0.0, 'train.epoch': 100, 'train.batch_size': 512, 'train.lr': 0.003}
3	6.064080238342285	0.49897769773387196	213.87827396392822	4.464591026306152	0.49732620320855614	143.7290906906128	{'nn.hidden_size': 32, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.drop_prob': 0.25, 'train.epoch': 70, 'train.batch_size': 32, 'train.lr': 0.00030000000000000003}
4	5.1843109130859375	0.5003161098661785	154.6043872833252	4.163601398468018	0.49732620320855614	123.98520708084106	{'nn.hidden_size': 128, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.drop_prob': 0.5, 'train.epoch': 150, 'train.batch_size': 128, 'train.lr': 0.01}
5	5.784234523773193	0.49674421632369653	283.2771062850952	4.706413745880127	0.44919786096256686	196.38574123382568	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.drop_prob': 0.25, 'train.epoch': 150, 'train.batch_size': 32, 'train.lr': 0.001}
6	6.9889397621154785	0.4950822970584522	413.313627243042	7.723280429840088	0.44385026737967914	349.48718547821045	{'nn.hidden_size': 64, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.drop_prob': 0.5, 'train.epoch': 40, 'train.batch_size': 128, 'train.lr': 0.003}
7	4.956871509552002	0.49312399397172074	107.39086866378784	4.043975830078125	0.5401069518716578	100.27447938919067	{'nn.hidden_size': 32, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.drop_prob': 0.5, 'train.epoch': 90, 'train.batch_size': 32, 'train.lr': 1e-05}
8	7.254566192626953	0.5224719101123596	629.8121452331543	6.931488990783691	0.5401069518716578	495.8165168762207	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 3, 'nn.drop_prob': 0.0, 'train.epoch': 200, 'train.batch_size': 32, 'train.lr': 0.30000000000000004}
9	5.6748576164245605	0.49492202294533516	277.18095779418945	4.771457195281982	0.44919786096256686	277.8824806213379	{'nn.hidden_size': 128, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.drop_prob': 0.5, 'train.epoch': 30, 'train.batch_size': 128, 'train.lr': 0.30000000000000004}
10	4.8282294273376465	0.4943386251735892	151.76619291305542	4.146361827850342	0.46524064171123	138.6821746826172	{'nn.hidden_size': 32, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.drop_prob': 0.0, 'train.epoch': 30, 'train.batch_size': 32, 'train.lr': 0.00030000000000000003}
11	4.47479772567749	0.49889336889281655	99.16326999664307	4.041149139404297	0.5026737967914439	99.42156672477722	{'nn.hidden_size': 64, 'nn.output_size': 1, 'nn.num_layer': 3, 'nn.drop_prob': 0.0, 'train.epoch': 40, 'train.batch_size': 512, 'train.lr': 1e-05}
12	5.963900089263916	0.49553550293523546	417.2722816467285	5.1878557205200195	0.46524064171123	276.29120349884033	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.drop_prob': 0.25, 'train.epoch': 50, 'train.batch_size': 32, 'train.lr': 0.001}
13	5.599607944488525	0.49638027079914154	204.74064350128174	4.237606048583984	0.5080213903743316	142.44807958602905	{'nn.hidden_size': 128, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.drop_prob': 0.0, 'train.epoch': 60, 'train.batch_size': 32, 'train.lr': 0.0001}
14	4.744080543518066	0.5316011235955056	109.5201849937439	4.0451340675354	0.5401069518716578	102.66183614730835	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 3, 'nn.drop_prob': 0.5, 'train.epoch': 150, 'train.batch_size': 128, 'train.lr': 0.01}
15	4.730735778808594	0.5105337078651685	131.3169240951538	4.050368785858154	0.5401069518716578	106.14866018295288	{'nn.hidden_size': 128, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.drop_prob': 0.0, 'train.epoch': 40, 'train.batch_size': 128, 'train.lr': 0.03}
16	5.747372150421143	0.4721724687539452	245.473051071167	4.729456901550293	0.5026737967914439	222.54269123077393	{'nn.hidden_size': 128, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.drop_prob': 0.0, 'train.epoch': 60, 'train.batch_size': 128, 'train.lr': 0.1}
17	14.777665138244629	0.5005178086731473	840.1707649230957	13.424242973327637	0.49732620320855614	833.574390411377	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.drop_prob': 0.0, 'train.epoch': 80, 'train.batch_size': 32, 'train.lr': 0.30000000000000004}
18	4.4824066162109375	0.499665643542482	114.27747011184692	4.083889007568359	0.4385026737967914	100.70962905883789	{'nn.hidden_size': 512, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.drop_prob': 0.0, 'train.epoch': 80, 'train.batch_size': 512, 'train.lr': 1e-05}
19	4.536504745483398	0.4973557237091276	133.53853225708008	4.309938430786133	0.44385026737967914	141.48789644241333	{'nn.hidden_size': 64, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.drop_prob': 0.25, 'train.epoch': 150, 'train.batch_size': 128, 'train.lr': 3.0000000000000004e-05}
20	5.574970245361328	0.49693753156167153	395.40717601776123	4.978229522705078	0.5133689839572193	241.90924167633057	{'nn.hidden_size': 1024, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.drop_prob': 0.25, 'train.epoch': 20, 'train.batch_size': 128, 'train.lr': 0.1}
21	6.727659702301025	0.4962155583259689	439.11590576171875	7.054344177246094	0.48663101604278075	319.4545269012451	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.drop_prob': 0.5, 'train.epoch': 40, 'train.batch_size': 512, 'train.lr': 0.003}
22	4.944519996643066	0.4986758892500947	112.82036304473877	4.050330638885498	0.47058823529411764	103.46189737319946	{'nn.hidden_size': 64, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.drop_prob': 0.5, 'train.epoch': 60, 'train.batch_size': 32, 'train.lr': 3.0000000000000004e-05}
23	4.790465831756592	0.5012673983714178	102.92624235153198	4.045801639556885	0.5080213903743316	100.48094987869263	{'nn.hidden_size': 64, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.drop_prob': 0.5, 'train.epoch': 100, 'train.batch_size': 32, 'train.lr': 1e-05}
24	5.140634536743164	0.5015810424820099	176.38148069381714	4.207017421722412	0.5133689839572193	131.52097463607788	{'nn.hidden_size': 128, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.drop_prob': 0.25, 'train.epoch': 90, 'train.batch_size': 128, 'train.lr': 0.0001}
25	5.5038604736328125	0.4966184627887893	301.9927501678467	4.925299644470215	0.49732620320855614	319.03162002563477	{'nn.hidden_size': 1024, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.drop_prob': 0.0, 'train.epoch': 300, 'train.batch_size': 32, 'train.lr': 0.01}
