,mean_test_dir_acc,mean_test_mape,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_neg_mse,split1_test_neg_mse,split2_test_neg_mse,split3_test_neg_mse,split4_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_train_neg_mse,split1_train_neg_mse,split2_train_neg_mse,split3_train_neg_mse,split4_train_neg_mse,mean_train_neg_mse,std_train_neg_mse,split0_test_dir_acc,split1_test_dir_acc,split2_test_dir_acc,split3_test_dir_acc,split4_test_dir_acc,std_test_dir_acc,rank_test_dir_acc,split0_train_dir_acc,split1_train_dir_acc,split2_train_dir_acc,split3_train_dir_acc,split4_train_dir_acc,mean_train_dir_acc,std_train_dir_acc,split0_test_mape,split1_test_mape,split2_test_mape,split3_test_mape,split4_test_mape,mean_test_mape,std_test_mape,rank_test_mape,split0_train_mape,split1_train_mape,split2_train_mape,split3_train_mape,split4_train_mape,mean_train_mape,std_train_mape
446,0.5195971382618823,134.1054013297508,165.85703315734864,3.6146974566401715,0.019003915786743163,0.001268307590159916,98,5,4,,14,False,"{'n_estimators': 98, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 14, 'bootstrap': False}",-6.453775859163656,-4.0018118120500485,-8.14791848988285,-3.936508489347635,-6.076083045783037,-5.723219539245445,1.5932966535529742,346,-3.2593246720828883,-3.9007848627640733,-3.027885241121089,-4.393932413003094,-3.72368832180617,-3.661123102155463,0.4818285627334925,0.511578947368421,0.5258166491043204,0.5131717597471022,0.5110642781875658,0.5363540569020021,0.009978609249197473,1,0.5574288724973656,0.5480642612588886,0.5722939162496707,0.5388464577297867,0.5506979194100605,0.5534662854291544,0.011142413168589833,116.68053967493195,114.719812956892,157.90721721839938,140.80364502989008,140.41579176864073,134.1054013297508,16.313434806970037,403,112.55680977368321,110.2195544434877,108.40535081034474,103.68702384274178,113.65315899034205,109.7043795721199,3.518257176343224
100,0.5195971382618823,134.10397437184034,303.7845126152039,6.327983253570608,0.03285665512084961,0.002177828214084928,179,5,4,auto,14,False,"{'n_estimators': 179, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 14, 'bootstrap': False}",-6.451392729335856,-3.99312802550078,-8.155746911340064,-3.9407331147465383,-6.0737030456649626,-5.72294076531764,1.5962918536350301,345,-3.2593246720828883,-3.9007848627640733,-3.0278852411210884,-4.393932413003094,-3.7236883218061694,-3.661123102155463,0.48182856273349256,0.511578947368421,0.5258166491043204,0.5131717597471022,0.5110642781875658,0.5363540569020021,0.009978609249197473,1,0.5574288724973656,0.5480642612588886,0.5722939162496707,0.5388464577297867,0.5506979194100605,0.5534662854291544,0.011142413168589833,116.53323706905229,114.52189715212029,158.09458009696786,140.84284552389747,140.52731201716375,134.10397437184034,16.458489429902396,404,112.55680977368318,110.21955444348768,108.40535081034474,103.68702384274178,113.65315899034209,109.70437957211989,3.5182571763432287
241,0.5195971382618823,134.1296489007989,71.25476169586182,2.4846310186478084,0.010011816024780273,0.000980616127114194,41,5,4,,14,False,"{'n_estimators': 41, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 14, 'bootstrap': False}",-6.4435131433829405,-3.993338938708133,-8.151987343882162,-3.940700674339568,-6.052505413423174,-5.716409102747194,1.5934737900303484,344,-3.259324672082889,-3.9007848627640733,-3.0278852411210884,-4.393932413003095,-3.72368832180617,-3.661123102155463,0.4818285627334928,0.511578947368421,0.5258166491043204,0.5131717597471022,0.5110642781875658,0.5363540569020021,0.009978609249197473,1,0.5574288724973656,0.5480642612588886,0.5722939162496707,0.5388464577297867,0.5506979194100605,0.5534662854291544,0.011142413168589833,116.61391559990581,114.58986683943415,158.01028326968805,140.8826665993946,140.55151219557195,134.1296489007989,16.405683589223074,402,112.55680977368321,110.2195544434877,108.40535081034474,103.6870238427418,113.65315899034208,109.7043795721199,3.5182571763432255
489,0.5193863901059286,133.86630640921757,292.27150721549987,5.902437488794906,0.031522512435913086,0.002022257938425824,173,10,4,,14,False,"{'n_estimators': 173, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 14, 'bootstrap': False}",-6.3879477042062796,-3.9627826134506092,-8.120269752321157,-3.877612266872753,-6.039169946078604,-5.677556456585881,1.5989069206694693,343,-3.3819208172213546,-3.9382703068289904,-3.04915322071343,-4.404659186097395,-3.756323337938629,-3.7060653737599596,0.4649906620341886,0.511578947368421,0.5247629083245522,0.5131717597471022,0.5110642781875658,0.5363540569020021,0.009855394502868257,4,0.5576923076923077,0.5470107979984198,0.5722939162496707,0.5388464577297867,0.5506979194100605,0.5533082798160491,0.01127200645809526,115.60385841843599,115.3306024283341,157.29243365617623,140.7378987039367,140.36673883920474,133.86630640921757,16.219415334193233,408,114.84772653947137,113.2300087328844,109.27807356708368,103.84489489307427,113.98019947691631,111.03618064188599,4.069730751064483
142,0.5168578559148134,124.1665439199569,121.5812488079071,2.2764944859250478,0.017039060592651367,0.0012702065425425938,99,10,4,auto,10,False,"{'n_estimators': 99, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}",-5.979427642614141,-3.916813327546786,-7.995983832336944,-3.6485478251691887,-5.461177740562336,-5.4003900736458785,1.571371237613548,333,-3.7687368745170216,-4.232749997305625,-3.2687394339039435,-4.635834522255514,-4.17014044331736,-4.015240254259893,0.4635664339392239,0.5094736842105263,0.5268703898840885,0.5015806111696522,0.5152792413066386,0.5310853530031612,0.010891140736653107,5,0.541622760800843,0.5327890439820911,0.5572820647879905,0.528575190940216,0.5414801158809587,0.5403498352784198,0.009852980098515597,105.6378703996976,113.9467575412858,151.12313395582572,120.6852363421328,129.43972136084258,124.1665439199569,15.584219102556359,478,111.46991414325282,109.18847908992151,112.22228335118332,102.02728473963789,112.27812056199267,109.43721637719764,3.8711277931963894
299,0.5168578559148134,124.19697968162669,108.0255573272705,2.1509265455153783,0.01576056480407715,0.0015294648413230662,88,10,4,auto,10,False,"{'n_estimators': 88, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}",-5.979427642614141,-3.9168133275467865,-7.997663134324802,-3.6463509785514003,-5.461177740562338,-5.400286564719893,1.5724159789044132,332,-3.7687368745170216,-4.232749997305625,-3.2687394339039435,-4.635834522255514,-4.170140443317359,-4.015240254259893,0.46356643393922387,0.5094736842105263,0.5268703898840885,0.5015806111696522,0.5152792413066386,0.5310853530031612,0.010891140736653107,5,0.541622760800843,0.5327890439820911,0.5572820647879905,0.528575190940216,0.5414801158809587,0.5403498352784198,0.009852980098515597,105.63787039969763,113.9467575412858,151.22791102256926,120.73263808373812,129.43972136084255,124.19697968162669,15.618366389898267,476,111.46991414325285,109.18847908992151,112.22228335118332,102.02728473963789,112.27812056199267,109.43721637719764,3.8711277931963926
236,0.5168578559148134,124.5349922499618,202.36751399040222,3.487098774492366,0.02657346725463867,0.0026071468218563337,165,2,4,auto,10,False,"{'n_estimators': 165, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}",-6.038454384336139,-3.9503572686663055,-8.035383853294688,-3.708886258952982,-5.488919212633329,-5.444400195576689,1.5692196486336858,335,-3.672744880369864,-4.225084564978298,-3.2497490850222976,-4.625107749161215,-4.1375054271849,-3.9820383413433147,0.4751188787658704,0.5094736842105263,0.5268703898840885,0.5015806111696522,0.5152792413066386,0.5310853530031612,0.010891140736653107,5,0.5413593256059009,0.5338425072425599,0.5572820647879905,0.528575190940216,0.5414801158809587,0.5405078408915251,0.009693912932507173,106.53954277648594,113.88513622244226,151.97784026833435,120.75076312818365,129.52167885436293,124.5349922499618,15.681536760505574,474,110.18580840919331,108.49754148883346,111.39049399374596,101.86941368930536,111.95108007541847,108.77886753129933,3.6519229065006886
292,0.5168578559148134,124.61689231595741,15.99329686164856,0.283868139365724,0.0042933464050292965,0.0002401107153715073,13,5,4,,10,False,"{'n_estimators': 13, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 10, 'bootstrap': False}",-6.145118935594274,-3.9524650182537795,-8.036860417021511,-3.7326397150517705,-5.475069138574591,-5.468430644899186,1.5726350205942519,336,-3.672744880369864,-4.225084564978298,-3.2497490850222976,-4.625107749161216,-4.1375054271849,-3.9820383413433147,0.4751188787658706,0.5094736842105263,0.5268703898840885,0.5015806111696522,0.5152792413066386,0.5310853530031612,0.010891140736653107,5,0.5413593256059009,0.5338425072425599,0.5572820647879905,0.528575190940216,0.5414801158809587,0.5405078408915251,0.009693912932507173,107.34653035603566,113.86958789572883,151.5726715725047,120.80537251941345,129.49029923610448,124.61689231595741,15.353577876340525,473,110.18580840919334,108.49754148883342,111.39049399374596,101.86941368930538,111.95108007541843,108.77886753129931,3.6519229065006784
203,0.5162247240862958,329.3787306463337,6.7441685676574705,0.4958021862069239,0.0033716201782226563,7.731875923265077e-05,3,2,2,auto,67,True,"{'n_estimators': 3, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 67, 'bootstrap': True}",-10.426858026141394,-5.264913929768008,-8.015450565475625,-4.179837070642271,-6.352501700207568,-6.847912258446973,2.1928036411895944,362,-1.6715331271454092,-1.906340168676073,-1.672527425149545,-1.9728394859508567,-1.656842051314193,-1.7760164516472154,0.13531656177410867,0.5136842105263157,0.505795574288725,0.5226554267650158,0.5184404636459431,0.5205479452054794,0.006002916861530743,9,0.8053213909378293,0.7982617856202265,0.8098498814853832,0.784303397419015,0.7974716881748749,0.7990416287274658,0.008678042081134605,380.30227695810714,253.8937064379512,266.4970539786596,444.5842004974112,301.6164153595391,329.3787306463337,72.5097898810033,124,154.61805400652503,172.64927014391856,141.3444730390212,137.6660773674347,156.92427753012123,152.64043041740416,12.44544824991126
314,0.5153815096223171,130.8293623059861,89.03216857910157,0.9088645087461079,0.011530208587646484,0.0007182338449438811,52,10,2,auto,14,False,"{'n_estimators': 52, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 14, 'bootstrap': False}",-6.537461058344197,-3.918320410315203,-7.844828539590494,-3.766401780551742,-5.369068470022428,-5.487216051764813,1.5555028355768596,338,-3.3709860122020725,-4.1494170539034485,-3.1880589981951792,-4.461793917692199,-4.055097150071264,-3.845070626412833,0.4844597006186124,0.5147368421052632,0.5089567966280295,0.523709167544784,0.5152792413066386,0.5142255005268704,0.004741080796132579,10,0.5545310853530031,0.5454306031077166,0.5517513826705294,0.5293652883855675,0.5430603107716618,0.5448277340576957,0.00877116182499378,117.84992647080803,116.69128012820661,138.82751164477835,115.73067986073528,165.04741342540237,130.8293623059861,19.137224193201497,430,114.66379545595613,117.85772691883203,107.62172790115297,101.51258862573363,118.55641555369508,112.04245089107397,6.535157370919018
