,mean_test_dir_acc,mean_test_mape,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_neg_mse,split1_test_neg_mse,split2_test_neg_mse,split3_test_neg_mse,split4_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_train_neg_mse,split1_train_neg_mse,split2_train_neg_mse,split3_train_neg_mse,split4_train_neg_mse,mean_train_neg_mse,std_train_neg_mse,split0_test_dir_acc,split1_test_dir_acc,split2_test_dir_acc,split3_test_dir_acc,split4_test_dir_acc,std_test_dir_acc,rank_test_dir_acc,split0_train_dir_acc,split1_train_dir_acc,split2_train_dir_acc,split3_train_dir_acc,split4_train_dir_acc,mean_train_dir_acc,std_train_dir_acc,split0_test_mape,split1_test_mape,split2_test_mape,split3_test_mape,split4_test_mape,mean_test_mape,std_test_mape,rank_test_mape,split0_train_mape,split1_train_mape,split2_train_mape,split3_train_mape,split4_train_mape,mean_train_mape,std_train_mape
89,0.5646099155716372,172.50559048770523,1.0538753509521483,0.01540103679486596,0.015529727935791016,0.0004577405397213053,116,2,1,log2,38,False,"{'n_estimators': 116, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 38, 'bootstrap': False}",-0.9389554433439162,-0.4820311054662128,-1.0776542066653563,-0.25936431944172156,-0.6034000363631437,-0.6722810222560701,0.2989590239547437,89,-3.1604315119404885e-07,-3.9200708850356167e-07,-1.0281889654565385e-06,-1.4528437514485144e-06,-2.7269028344119985e-06,-1.1831971582029324e-06,8.783737061285476e-07,0.5617977528089888,0.550561797752809,0.6179775280898876,0.5898876404494382,0.5028248587570622,0.038754913392062905,1,0.9957805907172996,0.9957805907172996,0.9971870604781997,0.9943741209563994,0.9971910112359551,0.9960626748210307,0.0010533511483079678,152.07748697037871,123.28680852033335,127.1331357901371,260.63603183397424,199.3944893237028,172.50559048770523,51.74638756367414,269,0.19136197528802806,0.3044504549780517,0.4109856349922265,0.17526251554179273,0.758288151091801,0.36806974637838,0.21286608735891985
122,0.5612962610296451,136.35088019662965,0.4617157459259033,0.016837558763174627,0.011262845993041993,0.0006313293433907849,103,5,4,log2,,True,"{'n_estimators': 103, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",-0.9042414952768295,-0.4756396810565491,-1.076262551192372,-0.25016097117745795,-0.5930057288387133,-0.6598620855083843,0.29643660824998525,8,-0.2444041754451292,-0.2922438326334961,-0.2243681195906378,-0.3101477919866596,-0.2841023295926622,-0.27105324984971696,0.031740753172158874,0.550561797752809,0.5280898876404494,0.5730337078651685,0.601123595505618,0.5536723163841808,0.024494900273890844,2,0.9268635724331927,0.9184247538677919,0.9156118143459916,0.929676511954993,0.9241573033707865,0.922946791194551,0.005221998917411219,109.69710970143807,128.922136301054,110.95985048890739,188.3969430663327,143.77836142541608,136.35088019662965,28.893854864783584,494,82.014645263917,85.38121752533382,73.67973588033827,71.206921253835,78.43533895296473,78.14357177527776,5.205704666945828
457,0.5612835650352314,159.57197588615819,1.8132241249084473,0.09648521182008077,0.0261660099029541,0.0017557046414444564,196,2,1,log2,86,False,"{'n_estimators': 196, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 86, 'bootstrap': False}",-0.936887284976844,-0.48689818347198827,-1.0775451851989841,-0.2611878411491545,-0.6225144230652829,-0.6770065835724507,0.29664287493596275,115,-6.7122969710288875e-12,-3.4704796998782924e-12,-2.9584412714639887e-12,-3.5477915725112065e-12,-2.9067368625648993e-12,-3.919149275489455e-12,1.4204804640388365e-12,0.5337078651685393,0.5898876404494382,0.5674157303370787,0.5730337078651685,0.5423728813559322,0.02055186423890119,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,137.9586503618269,124.87555302301445,128.20710099591238,247.56507698314678,159.25349806689047,159.57197588615819,45.60179874826383,371,0.0011442370496999364,0.0004680255426322085,0.0005632569728342244,0.00045512170602542905,0.0006223427814663824,0.0006505968105316362,0.00025442091402936364
25,0.560179013521234,151.84426244343044,0.7164698123931885,0.009291658247318755,0.015692520141601562,0.0002375588843888181,141,2,2,log2,86,True,"{'n_estimators': 141, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 86, 'bootstrap': True}",-0.9356814394209529,-0.46520843157674635,-1.082226138353567,-0.2566227836692033,-0.5880373160456692,-0.6655552218132278,0.3033006518847883,46,-0.13452633199270006,-0.16316014161895984,-0.13175318795003788,-0.1752187860520427,-0.1689937740483675,-0.15473044433242159,0.018057879076161205,0.550561797752809,0.6067415730337079,0.4887640449438202,0.5955056179775281,0.559322033898305,0.041495454982172914,4,0.9437412095639943,0.9493670886075949,0.9451476793248945,0.9578059071729957,0.9536516853932584,0.9499427140125476,0.005241538611314421,123.72652342778156,118.20075282989878,119.96362468034853,235.17808547234083,162.15232580678253,151.84426244343044,44.6982108849234,426,65.67306880139718,68.86688749737861,59.48873920366883,51.83696497434246,62.33335612041887,61.63980331944119,5.825833984949737
148,0.5590998539960643,159.40771134595917,0.31995410919189454,0.024266894487591624,0.005776119232177734,0.00031685520239501644,44,10,2,log2,81,False,"{'n_estimators': 44, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 81, 'bootstrap': False}",-0.9188659455794186,-0.5028040781897628,-1.053206748960451,-0.26881259463789464,-0.5906540457399632,-0.666868682621498,0.2842302716193125,58,-0.07097957235900881,-0.09143089357233995,-0.0692266929313256,-0.10125939668511222,-0.09838809334183443,-0.08625692977792421,0.01358260402734375,0.5337078651685393,0.550561797752809,0.5674157303370787,0.5449438202247191,0.5988700564971752,0.022666572742538825,5,0.9592123769338959,0.9479606188466948,0.9690576652601969,0.9704641350210971,0.9648876404494382,0.9623164873022645,0.008175144431868668,146.38043335722713,125.19248775606309,136.41073552647305,212.7791207331333,176.27577935689916,159.40771134595917,31.630021980198975,373,54.54546596836417,48.22265077558,41.75681543246449,35.81805054439958,49.89729340433667,46.04805522502899,6.554681143022182
475,0.5579445185044118,170.0972012750752,3.1832247734069825,0.08623519264441194,0.0032118797302246095,4.19496388961028e-05,21,5,4,,19,True,"{'n_estimators': 21, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 19, 'bootstrap': True}",-0.9567871980732899,-0.49420802341559195,-1.0794530254970598,-0.24751691146064184,-0.6599465873950009,-0.6875823491683168,0.30260496767047823,178,-0.1829788572753364,-0.2185525527596759,-0.17401125173066867,-0.25194022506985825,-0.21689718618684953,-0.20887601460447774,0.027923879584351018,0.5168539325842697,0.5730337078651685,0.5617977528089888,0.5674157303370787,0.5706214689265536,0.020887202909992585,6,0.9015471167369902,0.8832630098452883,0.8945147679324894,0.8931082981715893,0.8918539325842697,0.8928574250541255,0.005854575383704636,124.96451011383083,140.77134884629666,122.89579996049214,264.58493603388627,197.26941142087026,170.0972012750752,54.38970259571156,285,108.36751877955078,94.58666222074508,92.35564944244025,84.88411476435078,87.59230855214096,93.55725075184557,8.156609541162647
93,0.5567955310099663,157.04120170502824,0.5755915641784668,0.012925743741277322,0.009860706329345704,0.0003882655571812031,76,2,2,log2,90,False,"{'n_estimators': 76, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 90, 'bootstrap': False}",-0.9487139577242623,-0.5041303568321396,-1.0915269590661476,-0.2584942538170224,-0.6070084807698737,-0.6819748016418891,0.30181687071442,142,-0.020964719730285325,-0.02886504380274129,-0.02051807413834917,-0.028792159310651568,-0.030612521898479503,-0.025950503776101374,0.004305189822480547,0.5898876404494382,0.5280898876404494,0.5168539325842697,0.601123595505618,0.5480225988700564,0.033335790356533036,7,0.9859353023909986,0.980309423347398,0.9831223628691983,0.980309423347398,0.9845505617977528,0.9828454147505491,0.0022536253964368486,139.01523059877036,116.35035302983619,132.3289312297598,228.389171716174,169.1223219506009,157.04120170502824,39.56731834070433,398,16.72493442775817,18.024265389404007,15.847397724824525,15.94589390217968,18.300301336619228,16.968558556157124,1.0247197735209814
128,0.5567955310099663,155.1338723266725,0.5032337665557861,0.012731563195391636,0.010794544219970703,0.0002246528890593383,91,5,1,log2,29,True,"{'n_estimators': 91, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 29, 'bootstrap': True}",-0.9113921405262696,-0.48783871816011726,-1.071360152998495,-0.2553818418900746,-0.6234196351326863,-0.6698784977415286,0.292102976409356,75,-0.11628832391096575,-0.1478669332302981,-0.11534212667359588,-0.15425521884719495,-0.13993313606871355,-0.13473714774615364,0.016105096114707854,0.5617977528089888,0.5393258426966292,0.5898876404494382,0.5449438202247191,0.5480225988700564,0.018125823163179962,7,0.9310829817158931,0.9423347398030942,0.9493670886075949,0.9367088607594937,0.9424157303370787,0.940381880244631,0.0061423897949490205,123.5283738534908,113.77587534173375,138.77406011625467,222.59880754648074,176.99224477540255,155.1338723266725,40.015848945698885,408,73.35912779432124,68.84606587049493,58.99778574837281,58.7803066815627,61.73968983779663,64.34459518650966,5.794139212443293
105,0.555741763473624,131.36352664141256,0.4897777080535889,0.0021967808833227415,0.012038564682006836,0.00010363928114196721,115,10,4,log2,38,True,"{'n_estimators': 115, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 38, 'bootstrap': True}",-0.9015083567078862,-0.47056867192748153,-1.0863903284779879,-0.250710997963916,-0.5662279038423439,-0.6550812517839232,0.30073541508111634,1,-0.2601398972774607,-0.3072706352438081,-0.23895157280714618,-0.3336031280931625,-0.30248992729113033,-0.28849103214254157,0.03418095562871702,0.5280898876404494,0.5112359550561798,0.5561797752808989,0.5730337078651685,0.6101694915254238,0.0346611424971763,9,0.9113924050632911,0.909985935302391,0.9282700421940928,0.9353023909985936,0.922752808988764,0.9215407165094265,0.009722529208439449,111.62754127500281,124.53959000303168,113.0027390823601,179.42823664103864,128.21952620562956,131.36352664141256,24.87285603023823,500,91.38370148628461,82.97835182475274,74.06679320486572,73.21376572406145,79.54946192761695,80.2384148335163,6.627728631032819
460,0.5556973274931759,144.5326204581565,0.8302054882049561,0.013067686203550173,0.018225908279418945,0.0005519146944790724,163,2,2,log2,33,True,"{'n_estimators': 163, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 33, 'bootstrap': True}",-0.9221229072717917,-0.48917854630696633,-1.0653013986035322,-0.2432658449446457,-0.5854261083591388,-0.6610589610972151,0.2971129837551812,14,-0.13509737552472578,-0.16718327913815612,-0.12466723626488592,-0.17486590675288136,-0.1624134438797803,-0.15284544831208588,0.019447499807253518,0.5449438202247191,0.5449438202247191,0.5112359550561798,0.6067415730337079,0.5706214689265536,0.031737468318857334,10,0.9479606188466948,0.9479606188466948,0.960618846694796,0.9521800281293952,0.9536516853932584,0.9524743595821679,0.004659465811688186,126.68577607620458,112.44759395911588,118.12150461390249,218.31661267481124,147.0916149667482,144.5326204581565,38.719844473599636,464,57.767364754523456,60.05565935879338,55.02770134360565,55.647453981523874,59.07173348470393,57.51398258463006,1.9295820610020966
