,mean_test_dir_acc,mean_test_mape,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_neg_mse,split1_test_neg_mse,split2_test_neg_mse,split3_test_neg_mse,split4_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_train_neg_mse,split1_train_neg_mse,split2_train_neg_mse,split3_train_neg_mse,split4_train_neg_mse,mean_train_neg_mse,std_train_neg_mse,split0_test_dir_acc,split1_test_dir_acc,split2_test_dir_acc,split3_test_dir_acc,split4_test_dir_acc,std_test_dir_acc,rank_test_dir_acc,split0_train_dir_acc,split1_train_dir_acc,split2_train_dir_acc,split3_train_dir_acc,split4_train_dir_acc,mean_train_dir_acc,std_train_dir_acc,split0_test_mape,split1_test_mape,split2_test_mape,split3_test_mape,split4_test_mape,mean_test_mape,std_test_mape,rank_test_mape,split0_train_mape,split1_train_mape,split2_train_mape,split3_train_mape,split4_train_mape,mean_train_mape,std_train_mape
292,0.5244917777195351,150.78347647324154,157.96086473464965,1.7145557170727481,0.023593854904174805,0.0010465321693819993,157,2,1,,10,False,"{'n_estimators': 157, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10, 'bootstrap': False}",-8.704128985836904,-4.224938226155848,-9.224521601644538,-5.850240902887968,-6.217628186522255,-6.844291580609503,1.8636708873497294,339,-4.622167230342092,-5.2429835540227465,-4.1305914358941065,-5.461412618289369,-4.904130118310598,-4.872256991371783,0.4686514948143042,0.5323834196891192,0.5518134715025906,0.4915693904020752,0.522697795071336,0.5239948119325551,0.019473581589258146,1,0.5348460291734197,0.5277147487844408,0.5554115359688918,0.5379131561892417,0.5372650680492547,0.5386301076330497,0.009137373780377493,171.62789121112715,104.30045490693539,172.7207436026015,196.57853523745206,108.68975740809145,150.78347647324154,37.27055996562659,219,101.00105579208115,98.9346564669123,105.80913245165407,101.68948997347673,101.32807429760244,101.75248179634534,2.242555901690439
110,0.5244917777195351,140.47925400753638,123.34806294441223,1.7002755893179182,0.018333578109741212,0.0012472818834922093,122,10,1,,10,False,"{'n_estimators': 122, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10, 'bootstrap': False}",-8.73733096688843,-4.212995074423337,-9.166088889648536,-4.24365215792072,-6.299645317764826,-6.53194248132917,2.119915909893563,334,-4.724748613643518,-5.4240228728181545,-4.246866827928246,-5.6634969313745245,-5.010633531108613,-5.013953755374612,0.5024213392603791,0.5323834196891192,0.5518134715025906,0.4915693904020752,0.522697795071336,0.5239948119325551,0.019473581589258146,1,0.5332252836304701,0.526418152350081,0.5541153596889177,0.5356448476992871,0.5356448476992871,0.5370096982136087,0.009195998324021591,171.94773496719648,103.87909730785903,160.99206794105797,157.0213698496995,108.55599997186889,140.47925400753638,28.43711674759595,302,103.35834394366479,100.84775910620567,108.49985034050998,103.36232864424923,102.63052398314348,103.73976120355462,2.5510964857073617
8,0.5239733069897784,150.69984210967974,66.44377059936524,0.6983132226092643,0.01194467544555664,0.0005627932166392816,66,2,1,auto,10,False,"{'n_estimators': 66, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}",-8.75816676767114,-4.215121759141439,-9.233503052426055,-5.834445567746957,-6.250332527298028,-6.858313934856724,1.8791155809816658,341,-4.622167230342092,-5.2429835540227465,-4.1305914358941065,-5.461412618289369,-4.904130118310598,-4.872256991371783,0.4686514948143042,0.5323834196891192,0.5505181347150259,0.4915693904020752,0.522697795071336,0.522697795071336,0.019123940734637742,3,0.5348460291734197,0.5277147487844408,0.5554115359688918,0.5379131561892417,0.5372650680492547,0.5386301076330497,0.009137373780377493,172.04636378822437,104.15227456388429,172.81802832364912,195.8619121973444,108.62063167529638,150.69984210967974,37.207087279127464,222,101.00105579208119,98.9346564669123,105.80913245165407,101.68948997347673,101.32807429760244,101.75248179634534,2.2425559016904364
404,0.5229373735744576,143.76515052647835,83.86151514053344,0.8578523165539601,0.011878347396850586,0.0003048218447909655,60,10,1,,14,False,"{'n_estimators': 60, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 14, 'bootstrap': False}",-8.643013729303012,-4.288077698661398,-9.86144570008826,-4.2984964926704,-6.433040408872035,-6.704814805919021,2.2550290934616535,337,-4.476352174266077,-5.1856844851348685,-3.8668699826691255,-5.458226798909732,-4.764826542158292,-4.750391996627619,0.5561343340176881,0.5297927461139896,0.5466321243523317,0.4915693904020752,0.5214007782101168,0.5252918287937743,0.017890177752485747,4,0.5497568881685575,0.5435980551053484,0.5670771224886585,0.5385612443292288,0.541153596889177,0.5480293813961941,0.010221148714071595,172.39033614787527,115.14131432793981,160.33460955660186,155.67155532454214,115.28793727543271,143.76515052647835,23.94153868443723,268,108.61064868098167,112.30555139909666,111.4993421091093,102.1853434021085,103.41463164155078,107.60310344656939,4.128056681342404
274,0.5226779702022137,154.6047689775767,99.41323943138123,1.0716128059316627,0.013508796691894531,0.0007952308657072529,71,2,1,,14,False,"{'n_estimators': 71, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 14, 'bootstrap': False}",-8.860483805354528,-4.34302415407562,-9.861264118860488,-5.949900402907998,-6.283404596642324,-7.059615415568191,2.0152519019095267,344,-4.360607327947025,-4.923168456799715,-3.6819979483477105,-5.231621375556713,-4.5719058275817845,-4.55386018724659,0.5279327424436195,0.5297927461139896,0.5466321243523317,0.4915693904020752,0.5214007782101168,0.5239948119325551,0.017863541451971,5,0.5517017828200973,0.5455429497568882,0.5709656513285807,0.5414776409591704,0.5437459494491251,0.5506867948627724,0.010693037110793864,176.49645293757405,115.606279672377,173.70659476629206,192.45802832682296,114.75648918481738,154.6047689775767,32.820001185124724,200,105.68809176831672,109.5101890162666,106.48341616848023,100.09895521406413,100.18560868175446,104.39325216977643,3.6979369352255795
314,0.5216410287427001,153.8920974132338,12.626360654830933,0.16770360682137278,0.0035762786865234375,5.654874564538166e-05,9,2,1,auto,14,False,"{'n_estimators': 9, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 14, 'bootstrap': False}",-8.574858869104666,-4.501797545506055,-9.964232646395368,-5.8608105821548895,-6.565959644790211,-7.093531857590238,1.9468062903613603,346,-4.360607327947026,-4.923168456799715,-3.6819979483477105,-5.231621375556713,-4.5719058275817845,-4.55386018724659,0.5279327424436194,0.5297927461139896,0.5440414507772021,0.4889753566796368,0.5214007782101168,0.5239948119325551,0.018115593009228433,6,0.5517017828200973,0.5455429497568882,0.5709656513285807,0.5414776409591704,0.5437459494491251,0.5506867948627724,0.010693037110793864,168.20604633039557,115.83739349197542,171.95157994635116,198.06887261844938,115.39659467899752,153.8920974132338,32.90193225874574,204,105.68809176831672,109.51018901626657,106.48341616848023,100.0989552140641,100.18560868175447,104.39325216977643,3.6979369352255747
431,0.5203500601466369,201.0582027400432,110.84904985427856,6.60124146970276,0.013294124603271484,0.0007275803274204758,60,5,4,,19,False,"{'n_estimators': 60, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 19, 'bootstrap': False}",-11.324509776503888,-4.840852121351291,-10.755037068884548,-6.600176021432535,-7.63094720189542,-8.230304438013537,2.467926915128815,361,-3.6490814131352547,-4.222121687225562,-2.758641640923682,-4.418877292420625,-4.437970771228899,-3.8973385609868045,0.6368723893288041,0.5284974093264249,0.522020725388601,0.503242542153048,0.5214007782101168,0.5265888456549935,0.008965088354023855,7,0.5815235008103727,0.5918962722852512,0.6477640959170448,0.5751782242384964,0.5583279325988334,0.5909380051699997,0.0304320334052745,183.36195520812552,138.11111308252865,211.82587985956198,223.78968667751798,248.20237887248214,201.0582027400432,37.7643478662571,157,105.96399947043575,120.21520977285667,123.82793380767811,110.30215316965328,106.77957143499872,113.4177735311245,7.265096578815286
250,0.5200836004650443,150.87624496034886,47.06064696311951,0.5567394971141033,0.00847487449645996,0.0003880886615108233,47,5,2,auto,10,False,"{'n_estimators': 47, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}",-9.606617821014018,-4.379008045940088,-8.898085989918435,-6.0649223081244035,-6.323634144367082,-7.054453661872806,1.9278900781554928,343,-4.4743114190035955,-5.177683422784883,-4.143277155346604,-5.4944875930202,-4.894412105842392,-4.836834339199536,0.4825858543709831,0.5310880829015544,0.5466321243523317,0.47600518806744485,0.522697795071336,0.5239948119325551,0.023626090588014466,8,0.5393841166936791,0.5432739059967585,0.5612443292287751,0.5385612443292288,0.5408295528191834,0.544658629813525,0.008445866612324346,158.70100299761577,115.24380772515366,172.97977136157493,196.39380052797637,111.06284218942358,150.87624496034886,33.095069741831864,217,102.01359909669705,110.38312510403986,114.03296377614886,101.66791359229583,103.66459536655283,106.35243938714689,4.964508126816153
19,0.5193060623777745,154.35413142752168,151.03756799697877,2.009855351508162,0.019455337524414064,0.0015690310105339804,109,5,2,,14,False,"{'n_estimators': 109, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 14, 'bootstrap': False}",-10.411195259231691,-4.664081663534897,-9.43395406114226,-6.042179628415937,-6.500905961804193,-7.410463314825796,2.1606024160906925,350,-4.064052444231759,-4.569467695943762,-3.7000805487064787,-5.2618840308280594,-4.6710071341980965,-4.4532983707816305,0.5354535771170035,0.5272020725388601,0.5479274611398963,0.4785992217898833,0.522697795071336,0.5201037613488976,0.022586360877863646,9,0.5539708265802269,0.5614262560777958,0.5845755022683085,0.5421257290991575,0.5450421257290992,0.5574280879509176,0.015182189270750704,164.2238030433664,113.69754521546211,180.78844419630917,194.1042072096774,118.95665747279331,154.35413142752168,32.50289525209753,203,105.33719932502099,103.39290442458804,108.1072939725778,102.98870166378373,101.84493871343341,104.3342076198808,2.1970466839580483
168,0.5190469950202617,153.61885279638958,176.06563448905945,2.4793486629884036,0.022609710693359375,0.0011550097349997488,127,2,2,,14,False,"{'n_estimators': 127, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 14, 'bootstrap': False}",-10.155578958263192,-4.665865362406789,-9.459371641550522,-5.9854592910152755,-6.474311257273454,-7.348117302101846,2.1049506010266374,349,-3.9988217394789443,-4.554638635352698,-3.6327220185987983,-5.217110103956038,-4.5969242915776745,-4.400043357792831,0.5440626240061843,0.5272020725388601,0.5466321243523317,0.4785992217898833,0.522697795071336,0.5201037613488976,0.022261680551942855,10,0.5539708265802269,0.5620745542949757,0.5845755022683085,0.5434219053791316,0.5456902138690862,0.5579466004783458,0.014853490982132405,162.0820413589188,113.7727852617354,179.71825388412938,193.5077248771044,119.01345860005988,153.61885279638958,32.02863974356345,206,104.24136682920282,103.18536996431583,106.16057244783323,102.5360746303848,101.03065727128833,103.430808228605,1.7163991790286586
367,0.5177617386746235,133.11167383027228,1.43764271736145,0.07404617291160476,0.016101932525634764,0.00036887601707710457,50,2,2,log2,86,True,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 86, 'bootstrap': True}",-6.9871095623171415,-4.155909363113381,-8.037786325668376,-3.3649941128779384,-5.84481471721896,-5.678122816239159,1.7307190739217362,76,-1.2077529485253893,-1.367951946895994,-1.1523049150196896,-1.444985333474049,-1.301321874225727,-1.2948634036281699,0.1056706154828966,0.5025906735751295,0.5259067357512953,0.5460440985732814,0.5214007782101168,0.49286640726329445,0.018597925743964454,11,0.9403565640194489,0.9293354943273906,0.9309786130913804,0.9374594944912508,0.9280622164614387,0.9332384764781818,0.004808702179780481,122.16659444452995,121.96393422250793,130.37664168901028,156.8475966739957,134.2036021213176,133.11167383027228,12.776021310035706,376,64.28293234513637,65.70347680082229,62.61765211730276,63.4776359896196,62.042971492614654,63.62493374909913,1.2878059533095114
62,0.5174976310961472,281.141007557674,221.70352754592895,8.755170067992932,0.020731687545776367,0.0007982096932573278,81,5,1,,29,False,"{'n_estimators': 81, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 29, 'bootstrap': False}",-12.062269016004059,-4.721816603487239,-12.09070114446423,-7.44222898174388,-11.126379208605323,-9.488678990860945,2.9321282907994246,371,-3.080609185330961,-3.570900149491915,-1.8601016147738414,-3.856405282941728,-3.577888333681356,-3.18918091324396,0.7099621109985007,0.4961139896373057,0.5505181347150259,0.5149156939040207,0.5019455252918288,0.5239948119325551,0.019174783100303648,12,0.6038897893030795,0.6,0.7154893065456902,0.6056383668178872,0.5975372650680493,0.6245109455469413,0.045578140315109976,271.9482299523479,140.55291336295875,326.8155145721804,334.09801119812585,332.29036870275735,281.141007557674,73.96807603357857,134,106.03965750598128,96.78434296048525,96.24485392058014,132.76746762444893,115.45167786785926,109.45759997587099,13.609917942416452
295,0.5172378917091726,281.002071792322,85.26277709007263,3.037584043589192,0.009585714340209961,0.0006238774287577084,31,2,1,,29,False,"{'n_estimators': 31, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 29, 'bootstrap': False}",-12.381555014782117,-4.795606441643288,-12.030757614827127,-7.423371235642741,-11.005065861989193,-9.527271233776894,2.9466354994485573,374,-2.9241768958316205,-3.4311305514169517,-1.7021584748778407,-3.686034033055094,-3.4427179066600817,-3.0372435723683178,0.7121406800339072,0.4961139896373057,0.5518134715025906,0.5123216601815823,0.5019455252918288,0.5239948119325551,0.019724967583107326,13,0.6087520259319287,0.6061588330632091,0.7281270252754375,0.6117952041477641,0.6014257939079715,0.6312517764652622,0.04855688593089161,277.4829021164941,139.81971041723693,324.30972190853896,330.17346892858114,333.2245555907592,281.002071792322,73.43760669800017,135,98.84804571372588,90.45004558968904,81.50020725783016,120.97380198276748,112.06350060719959,100.76712023024243,14.263639147804694
1,0.5169791603663905,280.8624314562233,314.6790795326233,12.529442556719854,0.030121326446533203,0.0014968435251816142,115,5,1,,29,False,"{'n_estimators': 115, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 29, 'bootstrap': False}",-11.97692604582549,-4.738575998687049,-12.040723520304883,-7.5067259453369655,-11.131972040709735,-9.478984710172824,2.8946800565871413,370,-3.080609185330961,-3.570900149491915,-1.8601016147738414,-3.856405282941728,-3.577888333681356,-3.18918091324396,0.7099621109985007,0.4948186528497409,0.5505181347150259,0.5136186770428015,0.5019455252918288,0.5239948119325551,0.019506272285472404,14,0.6038897893030795,0.6,0.7154893065456902,0.6056383668178872,0.5975372650680493,0.6245109455469413,0.045578140315109976,270.68087495865893,140.25272261701545,325.9212706240795,334.64159196379387,332.8156971175686,280.8624314562233,74.15712132693932,136,106.03965750598125,96.78434296048525,96.24485392058013,132.76746762444895,115.45167786785927,109.45759997587098,13.609917942416468
296,0.5164553134009395,194.2942397171889,304.85398001670836,5.647449710889196,0.031525278091430665,0.001914472731762366,163,5,1,,19,False,"{'n_estimators': 163, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 19, 'bootstrap': False}",-11.414964198945958,-4.443388282305884,-10.950269964611413,-6.055393502040572,-7.103895821188323,-7.9935823538184305,2.7422564232721616,358,-3.968527892991186,-4.360534588166548,-3.1056116995247502,-4.8720038194168716,-4.350255751803245,-4.13138675038052,0.5878202917018269,0.5116580310880829,0.5531088082901554,0.4889753566796368,0.5071335927367056,0.5214007782101168,0.021132878293826936,15,0.5620745542949757,0.560129659643436,0.5868438107582631,0.560596241088788,0.5515230071289695,0.5642334545828864,0.011895503236231985,223.41069999225112,111.3394995990466,228.25799724530617,213.74651929307888,194.71648245626173,194.2942397171889,43.03803773890216,158,102.83438956565088,102.78860976054618,112.95342122590846,112.3317294148098,100.20205324066218,106.22204064151549,5.331878791028432
483,0.5161925498813867,150.13303310051631,182.05937566757203,4.674106315147765,0.025707530975341796,0.0011686435390441713,181,5,4,auto,10,False,"{'n_estimators': 181, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}",-10.687701401116085,-4.411506483701866,-9.8746385895841,-6.152477833705891,-6.488038652575454,-7.522872592136679,2.373874758028108,351,-4.444941810733258,-5.292837976258275,-3.8571117531242254,-5.418760017271632,-4.958959426424081,-4.794522196762294,0.5772306057869262,0.5297927461139896,0.5479274611398963,0.4565499351491569,0.5201037613488976,0.5265888456549935,0.0312175974834832,16,0.5455429497568882,0.5452188006482982,0.5372650680492547,0.5434219053791316,0.5405055087491899,0.5423908465165526,0.0031248764833174862,171.04962118780168,115.14727891675851,147.43742354510783,204.2283100629044,112.8025317900091,150.13303310051631,34.60820215389976,224,106.62159536918281,117.57063923599517,111.34633403516587,104.28889967071564,103.20929275952848,108.6073522141176,5.283442895398625
310,0.5149052774473633,166.9371977812447,0.6890541553497315,0.033318422378958684,0.008622074127197265,0.00019666423551865085,20,2,1,log2,110,True,"{'n_estimators': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 110, 'bootstrap': True}",-7.15687824334639,-4.412252168356346,-8.3953610173759,-3.6564391953249364,-6.206480360703492,-5.965482197021412,1.7393112913641762,295,-0.9025672894620325,-0.967821651338347,-0.860802653282655,-1.0632306909564553,-0.9387134448396592,-0.9466271459758298,0.06843293786962586,0.533678756476684,0.5064766839378239,0.522697795071336,0.496757457846952,0.5149156939040207,0.012755794754424031,17,0.9059967585089141,0.9063209076175041,0.9044069993519118,0.906351263771873,0.9050550874918989,0.9056262033484204,0.0007691904150185042,142.5903145111215,142.2079945566291,151.63165793194122,230.75735392991965,167.49866797661198,166.9371977812447,33.20208230455884,180,79.38716459263443,76.33654345802407,79.74757353207441,73.3558600456089,74.42178562437276,76.64978545054291,2.5691081686140573
365,0.5138683359878498,131.4736077201288,1.6553036212921142,0.09978902115019943,0.016657066345214844,0.0004921097716526175,56,10,1,log2,43,True,"{'n_estimators': 56, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 43, 'bootstrap': True}",-6.944056925680365,-4.186207844256828,-8.126047346117073,-3.3663152537760492,-5.754135384660028,-5.675352550898068,1.7418913686920323,70,-1.5652107678602702,-1.838179408938232,-1.4615634224947835,-1.8438857545628726,-1.688778062942774,-1.6795234833597863,0.15023068342825113,0.5038860103626943,0.533678756476684,0.4915693904020752,0.5252918287937743,0.5149156939040207,0.014972880187592283,18,0.9209076175040518,0.9141004862236629,0.9170447180816591,0.9215813350615684,0.9186649384316267,0.9184598190605138,0.0027123402030067856,125.45082381238394,121.1535795707281,127.93531921310625,143.10947416091153,139.71884184351418,131.4736077201288,8.469635956048094,388,74.9999544385668,76.54706784765395,72.29338481968912,70.78443897718746,75.29473938226664,73.98391709307279,2.117304339644009
