,mean_test_dir_acc,mean_test_mape,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tol,param_kernel,param_gamma,param_epsilon,param_C,params,split0_test_neg_mse,split1_test_neg_mse,split2_test_neg_mse,split3_test_neg_mse,split4_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_train_neg_mse,split1_train_neg_mse,split2_train_neg_mse,split3_train_neg_mse,split4_train_neg_mse,mean_train_neg_mse,std_train_neg_mse,split0_test_dir_acc,split1_test_dir_acc,split2_test_dir_acc,split3_test_dir_acc,split4_test_dir_acc,std_test_dir_acc,rank_test_dir_acc,split0_train_dir_acc,split1_train_dir_acc,split2_train_dir_acc,split3_train_dir_acc,split4_train_dir_acc,mean_train_dir_acc,std_train_dir_acc,split0_test_mape,split1_test_mape,split2_test_mape,split3_test_mape,split4_test_mape,mean_test_mape,std_test_mape,rank_test_mape,split0_train_mape,split1_train_mape,split2_train_mape,split3_train_mape,split4_train_mape,mean_train_mape,std_train_mape
409,0.518330652764683,106.88783748328763,2.317047691345215,0.051243034117367685,0.2633784294128418,0.006814421754332929,1e-07,rbf,0.1,1e-06,1,"{'tol': 1e-07, 'kernel': 'rbf', 'gamma': 0.1, 'epsilon': 1e-06, 'C': 1}",-5.742085213004093,-3.404292161047138,-6.764103133158399,-2.682321570616841,-4.683100619287324,-4.655180539422759,1.489066153845046,6,-2.3263386957159873,-2.7664019149371706,-2.118042292284635,-2.8343211728233935,-2.514826722737079,-2.511986159699653,0.26769088798627255,0.5210526315789473,0.5374077976817703,0.5152792413066386,0.5005268703898841,0.5173867228661749,0.011819673508533433,1,0.9944678609062171,0.9931524888069528,0.9915722939162497,0.9915722939162497,0.99341585462207,0.9928361584335479,0.0011218977289941595,99.52719936671241,103.35261634901873,105.81551238899094,121.02893768203829,104.71492162967773,106.88783748328763,7.382668097608005,134,23.221716175630807,24.294237868570256,23.091216859870745,25.620934788708638,23.967933589290386,24.039207856414166,0.9098307528631289
490,0.518330652764683,106.8873945685663,2.0661064624786376,0.05073496497152906,0.25701136589050294,0.013846709574961057,1e-05,rbf,0.1,0.0001,1,"{'tol': 1e-05, 'kernel': 'rbf', 'gamma': 0.1, 'epsilon': 0.0001, 'C': 1}",-5.742085663718627,-3.404291563254297,-6.764102290841382,-2.6823212045853557,-4.683100488120764,-4.655180242104086,1.4890661779865213,5,-2.3263378794082947,-2.766401092188278,-2.118041450438287,-2.834321079335388,-2.5148260476848723,-2.5119855098110238,0.2676910686524992,0.5210526315789473,0.5374077976817703,0.5152792413066386,0.5005268703898841,0.5173867228661749,0.011819673508533433,1,0.9944678609062171,0.9931524888069528,0.9915722939162497,0.9915722939162497,0.99341585462207,0.9928361584335479,0.0011218977289941595,99.52706985233954,103.35209556154669,105.81508664000505,121.02821136558104,104.71450942335909,106.8873945685663,7.382502188716021,135,23.255896780493917,24.326881057606847,23.12386768779445,25.64639084690811,23.999291417000606,24.070465557960787,0.9070749697981056
320,0.5164339193611003,106.33934772183952,1.897343921661377,0.06924312750820473,0.2552166938781738,0.010111488969353022,1e-07,rbf,0.1,0.1,1,"{'tol': 1e-07, 'kernel': 'rbf', 'gamma': 0.1, 'epsilon': 0.1, 'C': 1}",-5.742537507029446,-3.4035201045445485,-6.763401422553862,-2.6817690941420333,-4.682897149635184,-4.654825055581015,1.4892088250017343,4,-2.330327699507516,-2.770448479637333,-2.1220796439299625,-2.8387756421647605,-2.518952588236836,-2.5161168106952814,0.26780001628631167,0.5210526315789473,0.5374077976817703,0.5131717597471022,0.4931506849315068,0.5173867228661749,0.014247067064708085,3,0.9668071654373024,0.9647089807742955,0.9652357124045299,0.9678693705557019,0.9654990782196471,0.9660240614782953,0.0011528188360511913,99.38868973668707,102.8814352650474,105.35403799646818,119.8009986081405,104.27157700285447,106.33934772183952,7.024690179235708,368,48.50029594743109,47.90259921084573,48.21377046562645,46.22227367874733,48.14300331312478,47.79638852315507,0.8098090409525404
377,0.5160128667295214,106.18853995899148,1.6155521392822265,0.015732761994703953,0.2674123764038086,0.009908049969580585,1e-09,rbf,0.01,0.001,0.01,"{'tol': 1e-09, 'kernel': 'rbf', 'gamma': 0.01, 'epsilon': 0.001, 'C': 0.01}",-5.7430879700471635,-3.4026329047413264,-6.773659115747228,-2.677513732285172,-4.68704937730305,-4.656788620024788,1.4934884215396582,158,-4.362559363362205,-4.945256982964517,-4.105591106101436,-5.127788656101271,-4.626032766598913,-4.633445775025669,0.37246907675386026,0.5189473684210526,0.5342465753424658,0.5036880927291886,0.5079030558482613,0.5152792413066386,0.010576263261753137,4,0.5210748155953635,0.5230445088227548,0.5209375823018172,0.5175138267052937,0.5151435343692389,0.5195428535588936,0.0028293011447897464,100.15871748208774,102.30501790301372,106.62075489104153,117.07372549689761,104.78448402191682,106.18853995899148,5.8666165662808005,398,103.51566138267279,101.14108304433822,103.56619298558776,103.1798030023424,102.80532254427996,102.84161259184422,0.892955652052342
179,0.5160126448893573,106.21966170274179,1.556251049041748,0.01804611603386855,0.2576328754425049,0.008288542719687311,1e-07,rbf,0.01,1e-06,0.01,"{'tol': 1e-07, 'kernel': 'rbf', 'gamma': 0.01, 'epsilon': 1e-06, 'C': 0.01}",-5.743091147240526,-3.402646632966764,-6.773600974604668,-2.67758400541393,-4.68702672160757,-4.656789896366692,1.493451378392699,160,-4.3625962647422565,-4.945260479985495,-4.105596100430949,-5.127805216876131,-4.626066398850473,-4.633464892177061,0.3724671415123238,0.52,0.5331928345626976,0.5036880927291886,0.5079030558482613,0.5152792413066386,0.010288399478729872,5,0.5213382507903056,0.523307874637872,0.5204108506715829,0.5175138267052937,0.5148801685541217,0.5194901942718351,0.0029663435524273835,100.17163175605938,102.28875479119498,106.62664716311963,117.2020953107679,104.80917949256707,106.21966170274179,5.912692120651869,396,103.56563343193612,101.12086428468625,103.5771774817917,103.18526777768516,102.82698029779118,102.85518465477807,0.9103437380595378
390,0.5160126448893573,106.21966230500236,1.5850445747375488,0.01264640160999776,0.26085710525512695,0.007764244730589032,1e-10,rbf,0.01,1e-06,0.01,"{'tol': 1e-10, 'kernel': 'rbf', 'gamma': 0.01, 'epsilon': 1e-06, 'C': 0.01}",-5.743091145305638,-3.4026466331555882,-6.773600974434223,-2.6775840070189876,-4.687026724284664,-4.65678989683982,1.4934513776166074,161,-4.362596265897619,-4.94526048016789,-4.105596100708864,-5.1278052175153235,-4.626066398386159,-4.633464892535171,0.37246714146755733,0.52,0.5331928345626976,0.5036880927291886,0.5079030558482613,0.5152792413066386,0.010288399478729872,5,0.5213382507903056,0.523307874637872,0.5204108506715829,0.5175138267052937,0.5148801685541217,0.5194901942718351,0.0029663435524273835,100.17163164146635,102.28875434507366,106.62664744446077,117.20209742556497,104.80918066844609,106.21966230500236,5.9126929368042145,395,103.56563448387577,101.12086493703178,103.57717799772091,103.18526784018938,102.82698139420808,102.85518533060517,0.9103437332654145
435,0.5149591259497532,104.00197018273846,0.8541549205780029,0.027812528696682496,0.12798666954040527,0.005488103480559955,0.01,rbf,0.1,1,0.1,"{'tol': 0.01, 'kernel': 'rbf', 'gamma': 0.1, 'epsilon': 1, 'C': 0.1}",-5.744788856606332,-3.4070642157468694,-6.764567967796798,-2.675417337978367,-4.687599918425393,-4.655887659310752,1.4909773180783041,23,-4.148860437138746,-4.717693835356257,-3.898851129350651,-4.889676648688008,-4.404986214839144,-4.4120136530745615,0.3617283751431146,0.5189473684210526,0.5310853530031612,0.5026343519494204,0.5089567966280295,0.5131717597471022,0.009665236327954178,7,0.7518440463645943,0.7555965235712404,0.7532262312351857,0.7640242296549907,0.7545430603107717,0.7558468182273567,0.0042783676453899055,98.75123779233832,99.54461601793003,102.46128722255872,116.93467376438025,102.31803611648498,104.00197018273846,6.631777388302774,474,97.99872386646587,97.91040945456076,99.35522445767306,101.74003803299824,99.88200070357453,99.3772793030545,1.4064125403622643
487,0.5147485996339636,105.91125868237934,1.6726497650146483,0.014846363221188492,0.26232304573059084,0.012650751931486818,0.001,rbf,0.1,1e-08,0.1,"{'tol': 0.001, 'kernel': 'rbf', 'gamma': 0.1, 'epsilon': 1e-08, 'C': 0.1}",-5.743479676540493,-3.404775376947839,-6.767385572472657,-2.675693984523085,-4.687996881741104,-4.655866298445035,1.491895423001291,20,-4.1069834146672966,-4.6769641865241764,-3.8576595922510535,-4.847183172216399,-4.363770224623243,-4.370512118056434,0.3615629151348663,0.5178947368421053,0.530031612223393,0.5026343519494204,0.512118018967334,0.5110642781875658,0.009063308769622754,8,0.9934141201264489,0.9928891229918356,0.9897287332104293,0.9910455622860153,0.9918356597313669,0.9917826396692192,0.0013153448036792872,99.72361693942977,101.88435832599939,106.20576421398123,116.45269958018565,105.28985435230062,105.91125868237934,5.763639299450186,426,79.0485485515081,79.11314518975145,79.32353686027568,81.2712946429999,79.69164959182291,79.68963496727162,0.8220719516617463
289,0.5147485996339636,105.9119164647245,1.699899387359619,0.015001856690082777,0.2675025939941406,0.012199051979201113,1e-10,rbf,0.1,1e-07,0.1,"{'tol': 1e-10, 'kernel': 'rbf', 'gamma': 0.1, 'epsilon': 1e-07, 'C': 0.1}",-5.743479534315897,-3.4047756057651033,-6.767385575525833,-2.6756951568727647,-4.687996044874784,-4.655866383470876,1.4918950499386265,21,-4.10698332669707,-4.676963586475151,-3.8576596487371044,-4.847183409498536,-4.3637701965067786,-4.370512033582928,0.36156287288643896,0.5178947368421053,0.530031612223393,0.5026343519494204,0.512118018967334,0.5110642781875658,0.009063308769622754,8,0.9934141201264489,0.9928891229918356,0.9897287332104293,0.9910455622860153,0.9918356597313669,0.9917826396692192,0.0013153448036792872,99.72396685381172,101.8846272182412,106.20555981231729,116.45522796959324,105.29020046965907,105.9119164647245,5.764441928666449,425,79.00765608588202,79.08457757466967,79.28129711634459,81.24930214356125,79.65949341796824,79.65646526768515,0.8277558229864399
301,0.5143271033220563,106.56746747550605,1.5925914764404296,0.013192942295907817,0.2636909484863281,0.012874138229413036,1e-07,rbf,0.01,1e-10,1e-05,"{'tol': 1e-07, 'kernel': 'rbf', 'gamma': 0.01, 'epsilon': 1e-10, 'C': 1e-05}",-5.743632063219903,-3.405551435834972,-6.767721377040692,-2.677712119758061,-4.6893698588758514,-4.656797370945895,1.4913527816320598,197,-4.382605600386562,-4.9671066422656125,-4.128803251376796,-5.1519482685105515,-4.647599208774477,-4.6556125942627995,0.37296186407633064,0.5178947368421053,0.530031612223393,0.5026343519494204,0.5089567966280295,0.512118018967334,0.009271464728962814,10,0.5134351949420443,0.5104029496971293,0.5172504608901765,0.5156702659994733,0.5148801685541217,0.514327808016589,0.002317346169539737,99.4846904149158,101.29383935770151,105.86450965906629,120.63241100377478,105.56188694207182,106.56746747550605,7.447212401553027,247,104.5980181273377,103.37943152518581,107.10951919225262,104.9754074623084,105.91604648180734,105.19568455777838,1.255881089034306
