,mean_test_dir_acc,mean_test_mape,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tol,param_kernel,param_gamma,param_epsilon,param_C,params,split0_test_neg_mse,split1_test_neg_mse,split2_test_neg_mse,split3_test_neg_mse,split4_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_train_neg_mse,split1_train_neg_mse,split2_train_neg_mse,split3_train_neg_mse,split4_train_neg_mse,mean_train_neg_mse,std_train_neg_mse,split0_test_dir_acc,split1_test_dir_acc,split2_test_dir_acc,split3_test_dir_acc,split4_test_dir_acc,std_test_dir_acc,rank_test_dir_acc,split0_train_dir_acc,split1_train_dir_acc,split2_train_dir_acc,split3_train_dir_acc,split4_train_dir_acc,mean_train_dir_acc,std_train_dir_acc,split0_test_mape,split1_test_mape,split2_test_mape,split3_test_mape,split4_test_mape,mean_test_mape,std_test_mape,rank_test_mape,split0_train_mape,split1_train_mape,split2_train_mape,split3_train_mape,split4_train_mape,mean_train_mape,std_train_mape
34,0.5263082733547038,108.15205370272095,13.516918563842774,0.016503216450141925,3.210279369354248,0.012904058731121867,0.1,rbf,1e-09,1e-07,1,"{'tol': 0.1, 'kernel': 'rbf', 'gamma': 1e-09, 'epsilon': 1e-07, 'C': 1}",-6.866706039794439,-4.073605616231097,-8.121308081606662,-3.239285831737629,-5.614662997778216,-5.583113713429609,1.7811894398292325,375,-5.246967356781913,-5.945180805935751,-4.942643931568861,-6.158875867974326,-5.560573079310242,-5.570848208314219,0.44396991333961483,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5317769130998703,0.016903620720020152,1,0.5244732576985414,0.5205834683954619,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5261208721144583,0.004118667779954521,100.84083569611062,102.15498950466268,112.08938060924574,119.55040761346551,106.12465509012021,108.15205370272095,6.913089727663322,378,107.12441270616495,106.11472458452408,109.38731093663634,106.08251340648374,106.18958146824224,106.97970862041025,1.2645114263109702
394,0.5263079373399729,108.19064468608015,13.421293497085571,0.14333437985342515,3.241942596435547,0.019407716390675258,0.1,rbf,1e-09,0.01,1,"{'tol': 0.1, 'kernel': 'rbf', 'gamma': 1e-09, 'epsilon': 0.01, 'C': 1}",-6.866521513497299,-4.073474552527737,-8.118731363673064,-3.240334109911813,-5.614808588482467,-5.582774025618476,1.7801754466598962,353,-5.2467477640558045,-5.945249742969569,-4.941305601234825,-6.159293341750369,-5.561446447119471,-5.570808579426009,0.44449917020734936,0.5323834196891192,0.5505181347150259,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.01718837010411935,2,0.5244732576985414,0.5209076175040519,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5261857019361764,0.00403264901931784,100.83176476389788,102.18354877595574,111.13927688914048,120.28869695069639,106.50993605071031,108.19064468608015,7.044436059271856,376,107.04909114283123,106.26316306609131,108.3964177321473,106.47852422218365,106.65193916867676,106.96782706638605,0.7593719682732295
0,0.5260488699824599,108.64070301970523,13.66094765663147,0.055676748725179276,3.2852163314819336,0.042726445092631245,1e-10,rbf,0.0001,0.01,1e-08,"{'tol': 1e-10, 'kernel': 'rbf', 'gamma': 0.0001, 'epsilon': 0.01, 'C': 1e-08}",-6.857139030537908,-4.073187306047975,-8.117973814891554,-3.241127215052182,-5.616350453866472,-5.581155564079218,1.778455524666142,303,-5.257173085028193,-5.953032814440025,-4.949780508208065,-6.166462616745589,-5.570205586443821,-5.5793309221731375,0.44375204755923026,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.5244732576985414,0.520259319286872,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5260560422927405,0.004206924493800373,101.34377565873731,101.87544682705405,111.50428301040279,119.61851566492739,108.86149393740465,108.64070301970523,6.749445158374262,206,107.85536518681118,107.03384633051216,110.2807089833612,107.15584123545693,107.91060422340357,108.04727319190901,1.1717873066642475
313,0.5260488699824599,108.57820579219417,13.748291063308717,0.06882267929452779,3.3241919040679933,0.026862150769299497,1e-09,rbf,1e-10,0.001,0.1,"{'tol': 1e-09, 'kernel': 'rbf', 'gamma': 1e-10, 'epsilon': 0.001, 'C': 0.1}",-6.8572952899606445,-4.073190892505233,-8.11841807649416,-3.239345704407025,-5.616682200223436,-5.5809864327181,1.7790742831765447,263,-5.257122797100081,-5.95291405649421,-4.9500003917537345,-6.165777682094945,-5.570644807662041,-5.5792919470210025,0.44349398955182967,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.5244732576985414,0.520259319286872,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5260560422927405,0.004206924493800373,101.35941117739739,101.8676063257676,111.69975216717427,118.72726468168406,109.23699460894755,108.57820579219417,6.485747323292638,366,107.9058249766029,107.00642733518706,110.46940779735077,106.682931424454,108.24483775076166,108.06188585687127,1.3318780954274654
329,0.5260488699824599,108.58844502194253,13.82263708114624,0.08384749407847512,3.3465858936309814,0.029901521134799255,1e-10,rbf,1e-09,1e-08,0.001,"{'tol': 1e-10, 'kernel': 'rbf', 'gamma': 1e-09, 'epsilon': 1e-08, 'C': 0.001}",-6.8571940039316495,-4.073187282237401,-8.118385020038582,-3.2395299125298993,-5.6166347762931395,-5.5809861990061345,1.7790022526281575,259,-5.257289893574167,-5.953000586835261,-4.950078844666509,-6.165913282751567,-5.570661036960265,-5.579388728957554,0.44349783209829563,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.5244732576985414,0.520259319286872,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5260560422927405,0.004206924493800373,101.38332513664506,101.86474025740799,111.69468485147402,118.80304613305641,109.19642873112925,108.58844502194253,6.503512962245971,236,107.95897415055697,107.01541115087882,110.48055058933055,106.73691571999684,108.20405205151754,108.07918073245614,1.3213554211129246
327,0.5260488699824599,108.58804075468159,13.733501815795899,0.12845560778946896,3.3049005031585694,0.010609368309987566,1e-09,rbf,0.01,1e-06,0.0001,"{'tol': 1e-09, 'kernel': 'rbf', 'gamma': 0.01, 'epsilon': 1e-06, 'C': 0.0001}",-6.857179918137887,-4.073186862753749,-8.118381397848419,-3.23953280453166,-5.616634320988892,-5.580983060852121,1.7789985064248952,188,-5.256973202732339,-5.952664060580915,-4.94976724686993,-6.16556600314765,-5.570335206540108,-5.579061143974188,0.44348499003716374,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.5244732576985414,0.520259319286872,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5260560422927405,0.004206924493800373,101.38314689783535,101.86289448441015,111.6940904858343,118.8025526279322,109.1975192773959,108.58804075468159,6.503742763298502,266,107.93162763160066,106.98898438813735,110.45670407996906,106.71693684368464,108.18027402398857,108.05490539347605,1.3210525394837498
325,0.5260488699824599,109.40979732799644,12.911512613296509,0.11790533532000771,3.165298509597778,0.028671862281629615,1e-09,rbf,1e-07,0.1,0.0001,"{'tol': 1e-09, 'kernel': 'rbf', 'gamma': 1e-07, 'epsilon': 0.1, 'C': 0.0001}",-6.857322183409385,-4.073189479774705,-8.119851547100572,-3.2489536370009717,-5.615774223597221,-5.583018214176571,1.7769573533904193,373,-5.257413198709947,-5.952389130900351,-4.951108170997837,-6.169338853352349,-5.569138086135917,-5.579877488019281,0.4439997819734778,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.5244732576985414,0.520259319286872,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5260560422927405,0.004206924493800373,101.44785596168458,101.59783471227344,112.35627149854919,123.5412750362211,108.10574943125393,109.40979732799644,8.17924426096721,119,108.1262896168224,106.58762030532294,111.17748591375091,109.1340005222338,107.26819636977214,108.45871854558045,1.604778016965756
323,0.5260488699824599,108.90465918916497,13.187098026275635,0.06018371559937545,3.237316703796387,0.04154128131004795,0.1,rbf,1,1e-08,1e-07,"{'tol': 0.1, 'kernel': 'rbf', 'gamma': 1, 'epsilon': 1e-08, 'C': 1e-07}",-6.857142329938048,-4.073192954707424,-8.11890313786479,-3.2425236678751914,-5.616417302836131,-5.581635878644317,1.7783530351883126,331,-5.257183094645092,-5.953237846180769,-4.950481846377454,-6.166953813035852,-5.570315617080241,-5.579634443463882,0.4437157305520901,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.5244732576985414,0.520259319286872,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5260560422927405,0.004206924493800373,101.34700423248589,101.97440881013378,111.93350040871994,120.32660803981203,108.94177445467324,108.90465918916497,6.996894896785066,149,107.86370274504927,107.19075878310431,110.73685522314636,107.51639467274646,107.98078379815597,108.25769904444049,1.2701200091902416
320,0.5260488699824599,106.44250136065753,13.203427934646607,0.05953747773182169,3.144360971450806,0.033381018357757405,1e-07,rbf,0.1,0.1,1,"{'tol': 1e-07, 'kernel': 'rbf', 'gamma': 0.1, 'epsilon': 0.1, 'C': 1}",-6.856606955483401,-4.073775960699213,-8.110468746649314,-3.23950385825303,-5.614276900963178,-5.578926484409626,1.7765584474718867,76,-2.8365552183837774,-3.3671492920513866,-2.583167558682813,-3.461393179706156,-3.0621962035267107,-3.0620922904701686,0.3264159477596612,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.9737439222042139,0.9711507293354943,0.9714841218405703,0.9740764744005185,0.9734283862605314,0.9727767268082657,0.0012136034083016865,100.09698324140355,100.30956694155566,107.5005009713748,118.7877315278107,105.51772412114286,106.44250136065753,6.8155376719636145,418,46.399008598529086,47.05217923650951,46.74513135907013,46.97328074990239,46.6109618054281,46.75611234988784,0.2381302447273436
318,0.5260488699824599,108.6419539991459,13.509660387039185,0.04423905175852795,3.218300724029541,0.03957892261573893,1e-09,rbf,0.1,0.01,0.0001,"{'tol': 1e-09, 'kernel': 'rbf', 'gamma': 0.1, 'epsilon': 0.01, 'C': 0.0001}",-6.857139030537908,-4.0731871733955,-8.117973814891554,-3.2411464685860034,-5.616350453866472,-5.581159388255488,1.7784504805485437,313,-5.256846911569915,-5.9526824829807845,-4.9494603604539265,-6.166112758652784,-5.569870264785148,-5.578994555688512,0.44374003910427096,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.5244732576985414,0.520259319286872,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5260560422927405,0.004206924493800373,101.34377565873731,101.87186810267758,111.50428301040279,119.62834928650723,108.86149393740465,108.6419539991459,6.7533617805844965,195,107.82978441566762,107.00357717497992,110.25601096445202,107.13975751633338,107.88694404047024,108.02321482238062,1.1714539174801217
