p,d,q,sp,sd,sq,s,aic
1,0,0,1,1,2,5,21723.200375312925
1,0,0,0,0,1,5,21731.491958349514
1,0,0,1,0,1,5,21733.449019842625
1,0,0,2,1,0,5,23113.959239168224
1,0,0,2,1,1,5,21721.69632451126
1,0,0,1,0,2,5,21714.27143220164
1,0,0,0,1,2,5,21721.34326850565
1,0,0,2,0,2,5,21716.271143307225
1,0,0,1,0,0,5,21731.449071511408
1,0,0,2,0,0,5,21715.102591093815
1,0,0,0,0,0,5,21758.252017494895
1,0,0,0,1,1,5,21743.527960230167
1,0,0,1,1,1,5,21745.497902273433
1,0,0,2,1,2,5,21723.47502084111
1,0,0,0,1,0,5,25347.146064876208
1,0,0,0,0,2,5,21712.271259955174
1,0,0,2,0,1,5,21714.374431566495
1,0,0,1,1,0,5,23837.47172066236
1,1,3,1,1,2,5,21723.584867161477
1,1,3,0,0,1,5,21733.130779074447
1,1,3,1,0,1,5,21734.637302519768
1,1,3,2,1,0,5,23119.731867030805
1,1,3,2,1,1,5,21734.303417559226
1,1,3,1,0,2,5,21712.83226375939
1,1,3,0,1,2,5,21721.15479617851
1,1,3,2,0,2,5,21715.71283427526
1,1,3,1,0,0,5,21746.594182845398
1,1,3,2,0,0,5,21722.846923141486
1,1,3,0,0,0,5,21751.9692128651
1,1,3,0,1,1,5,21749.869112511315
1,1,3,1,1,1,5,21751.070751754647
1,1,3,2,1,2,5,21725.89722784433
1,1,3,0,1,0,5,25252.0880542076
1,1,3,0,0,2,5,21710.83271735232
1,1,3,2,0,1,5,21724.769307358612
1,1,3,1,1,0,5,23846.256072251606
2,0,4,1,1,2,5,21699.374437586746
2,0,4,0,0,1,5,21732.071149605243
2,0,4,1,0,1,5,21732.032021791023
2,0,4,2,1,0,5,22874.53640275029
2,0,4,2,1,1,5,21713.483058805192
2,0,4,1,0,2,5,21691.107965942087
2,0,4,0,1,2,5,21698.02069484407
2,0,4,2,0,2,5,21693.68649256417
2,0,4,1,0,0,5,21732.17282919166
2,0,4,2,0,0,5,21715.76286084222
2,0,4,0,0,0,5,21737.799224966315
2,0,4,0,1,1,5,21725.595631212258
2,0,4,1,1,1,5,21731.96120828623
2,0,4,2,1,2,5,21699.50691653714
2,0,4,0,1,0,5,23466.320600025552
2,0,4,0,0,2,5,21697.464840810157
2,0,4,2,0,1,5,21714.95111117346
2,0,4,1,1,0,5,23397.053410471704
1,1,2,1,1,2,5,21725.68904937969
1,1,2,0,0,1,5,21729.37015449366
1,1,2,1,0,1,5,21731.361218888436
1,1,2,2,1,0,5,23120.708898668057
1,1,2,2,1,1,5,21732.742941328517
1,1,2,1,0,2,5,21714.837567106617
1,1,2,0,1,2,5,21724.294096176767
1,1,2,2,0,2,5,21716.837334831755
1,1,2,1,0,0,5,21739.617227226285
1,1,2,2,0,0,5,21720.57699483251
1,1,2,0,0,0,5,21752.993993614906
1,1,2,0,1,1,5,21751.274847137523
1,1,2,1,1,1,5,21753.239925939306
1,1,2,2,1,2,5,21726.447545902505
1,1,2,0,1,0,5,25257.14942952401
1,1,2,0,0,2,5,21712.837527215634
1,1,2,2,0,1,5,21722.46618010973
1,1,2,1,1,0,5,23862.596137616987
1,0,3,1,1,2,5,21700.160698455507
1,0,3,0,0,1,5,21717.682698021672
1,0,3,1,0,1,5,21719.621872059994
1,0,3,2,1,0,5,22900.896131846435
1,0,3,2,1,1,5,21724.88157792124
1,0,3,1,0,2,5,21707.491867010292
1,0,3,0,1,2,5,21699.997658959808
1,0,3,2,0,2,5,21709.49181405535
1,0,3,1,0,0,5,21735.714226086762
1,0,3,2,0,0,5,21719.3051107661
1,0,3,0,0,0,5,21745.573751754226
1,0,3,0,1,1,5,21736.256558143148
1,0,3,1,1,1,5,21735.802510998557
1,0,3,2,1,2,5,21701.679144928523
1,0,3,0,1,0,5,24733.118392411052
1,0,3,0,0,2,5,21705.491865386404
1,0,3,2,0,1,5,21718.397793139287
1,0,3,1,1,0,5,23504.42372926607
4,0,0,1,1,2,5,21725.61886696441
4,0,0,0,0,1,5,21734.868906217096
4,0,0,1,0,1,5,21719.362550517057
4,0,0,2,1,0,5,23092.885594993015
4,0,0,2,1,1,5,21701.49535732986
4,0,0,1,0,2,5,21720.137590239945
4,0,0,0,1,2,5,21724.437532919866
4,0,0,2,0,2,5,21709.0530875096
4,0,0,1,0,0,5,21717.615753464845
4,0,0,2,0,0,5,21707.720808539296
4,0,0,0,0,0,5,21746.62844298572
4,0,0,0,1,1,5,21748.30285485755
4,0,0,1,1,1,5,21736.656084947143
4,0,0,2,1,2,5,21701.163711068028
4,0,0,0,1,0,5,25327.14710806174
4,0,0,0,0,2,5,21718.141872478598
4,0,0,2,0,1,5,21707.161878188923
4,0,0,1,1,0,5,23826.297268276292
0,1,2,1,1,2,5,21723.35740312985
0,1,2,0,0,1,5,21727.648043692636
0,1,2,1,0,1,5,21729.601766934924
0,1,2,2,1,0,5,23130.943642321658
0,1,2,2,1,1,5,21742.079577856202
0,1,2,1,0,2,5,21713.099173323855
0,1,2,0,1,2,5,21722.335971412947
0,1,2,2,0,2,5,21715.098891731162
0,1,2,1,0,0,5,21744.269731690463
0,1,2,2,0,0,5,21722.637258087234
0,1,2,0,0,0,5,21751.386763356953
0,1,2,0,1,1,5,21750.02282025716
0,1,2,1,1,1,5,21751.99540415027
0,1,2,2,1,2,5,21726.346451147823
0,1,2,0,1,0,5,25343.062759124656
0,1,2,0,0,2,5,21711.099168453053
0,1,2,2,0,1,5,21724.535663396593
0,1,2,1,1,0,5,23855.914141345653
2,1,2,1,1,2,5,21727.119552691925
2,1,2,0,0,1,5,21730.936004346444
2,1,2,1,0,1,5,21732.942960079235
2,1,2,2,1,0,5,23113.849595886277
2,1,2,2,1,1,5,21729.776211096367
2,1,2,1,0,2,5,21716.59656532983
2,1,2,0,1,2,5,21724.900700610207
2,1,2,2,0,2,5,21718.59637773376
2,1,2,1,0,0,5,21736.13250739467
2,1,2,2,0,0,5,21718.814839106537
2,1,2,0,0,0,5,21755.81432116714
2,1,2,0,1,1,5,21754.13610964253
2,1,2,1,1,1,5,21757.771863948325
2,1,2,2,1,2,5,21727.862811610452
2,1,2,0,1,0,5,25253.95967166569
2,1,2,0,0,2,5,21714.601610679398
2,1,2,2,0,1,5,21720.480457627105
2,1,2,1,1,0,5,23833.46919118048
4,1,3,1,1,2,5,21726.739334095582
4,1,3,0,0,1,5,21737.525598051147
4,1,3,1,0,1,5,21739.80316853906
4,1,3,2,1,0,5,22654.203394985918
4,1,3,2,1,1,5,21727.237652468204
4,1,3,1,0,2,5,21709.662635158085
4,1,3,0,1,2,5,21726.819711702872
4,1,3,2,0,2,5,21711.334175965494
4,1,3,1,0,0,5,21737.8039807716
4,1,3,2,0,0,5,21707.765649478453
4,1,3,0,0,0,5,21752.39814156496
4,1,3,0,1,1,5,21750.311282625436
4,1,3,1,1,1,5,21755.08689993385
4,1,3,2,1,2,5,21730.68413561156
4,1,3,0,1,0,5,23910.533829943688
4,1,3,0,0,2,5,21707.490074658126
4,1,3,2,0,1,5,21709.228000570114
4,1,3,1,1,0,5,23080.46780170036
2,0,3,1,1,2,5,21700.656608328212
2,0,3,0,0,1,5,21717.885623694965
2,0,3,1,0,1,5,21718.79452704085
2,0,3,2,1,0,5,22860.327639101153
2,0,3,2,1,1,5,21710.212862012977
2,0,3,1,0,2,5,21704.575122086648
2,0,3,0,1,2,5,21698.74853997308
2,0,3,2,0,2,5,21710.336936352393
2,0,3,1,0,0,5,21730.96184931332
2,0,3,2,0,0,5,21715.964945337753
2,0,3,0,0,0,5,21747.578597292828
2,0,3,0,1,1,5,21731.97963709599
2,0,3,1,1,1,5,21733.105066643373
2,0,3,2,1,2,5,21703.09536342865
2,0,3,0,1,0,5,24226.51518557245
2,0,3,0,0,2,5,21702.54975115912
2,0,3,2,0,1,5,21716.95951579587
2,0,3,1,1,0,5,23142.09917795821
0,0,1,1,1,2,5,21708.182336201127
0,0,1,0,0,1,5,21726.81697149613
0,0,1,1,0,1,5,21728.61039084065
0,0,1,2,1,0,5,23126.441656498653
0,0,1,2,1,1,5,21727.010554175915
0,0,1,1,0,2,5,21711.004192578846
0,0,1,0,1,2,5,21707.607310889834
0,0,1,2,0,2,5,21713.00410358319
0,0,1,1,0,0,5,21738.893107004595
0,0,1,2,0,0,5,21718.75923372765
0,0,1,0,0,0,5,21749.15868966098
0,0,1,0,1,1,5,21739.270258927623
0,0,1,1,1,1,5,21741.03669775596
0,0,1,2,1,2,5,21707.78842702278
0,0,1,0,1,0,5,25339.488939934927
0,0,1,0,0,2,5,21709.00418842615
0,0,1,2,0,1,5,21718.060883007274
0,0,1,1,1,0,5,23850.549899507452
0,0,4,1,1,2,5,21695.827460399967
0,0,4,0,0,1,5,21717.450266713684
0,0,4,1,0,1,5,21719.450247947974
0,0,4,2,1,0,5,23130.03609598025
0,0,4,2,1,1,5,21729.213116458362
0,0,4,1,0,2,5,21698.84952769408
0,0,4,0,1,2,5,21695.429170086776
0,0,4,2,0,2,5,21700.84916353633
0,0,4,1,0,0,5,21742.201431569534
0,0,4,2,0,0,5,21722.27497473883
0,0,4,0,0,0,5,21742.162095077547
0,0,4,0,1,1,5,21732.260270727398
0,0,4,1,1,1,5,21729.071422521112
0,0,4,2,1,2,5,21692.948447016766
0,0,4,0,1,0,5,25015.897415678766
0,0,4,0,0,2,5,21701.427063133728
0,0,4,2,0,1,5,21721.448351178333
0,0,4,1,1,0,5,23851.60563499855
4,0,2,1,1,2,5,21709.366875280022
4,0,2,0,0,1,5,21727.41231067585
4,0,2,1,0,1,5,21722.223488517335
4,0,2,2,1,0,5,22858.473182994876
4,0,2,2,1,1,5,21706.28646167402
4,0,2,1,0,2,5,21713.69102258035
4,0,2,0,1,2,5,21709.031387351348
4,0,2,2,0,2,5,21711.468144804716
4,0,2,1,0,0,5,21721.28135392769
4,0,2,2,0,0,5,21708.97625240405
4,0,2,0,0,0,5,21748.36678204231
4,0,2,0,1,1,5,21741.679406986255
4,0,2,1,1,1,5,21738.6795604433
4,0,2,2,1,2,5,21706.787474869776
4,0,2,0,1,0,5,25063.626362887568
4,0,2,0,0,2,5,21711.73018863902
4,0,2,2,0,1,5,21709.71103121303
4,0,2,1,1,0,5,23445.079079814688
2,1,0,1,1,2,5,23128.207441632432
2,1,0,0,0,1,5,23149.875354553787
2,1,0,1,0,1,5,23148.168128192505
2,1,0,2,1,0,5,24522.10053909575
2,1,0,2,1,1,5,23125.24259955206
2,1,0,1,0,2,5,23137.546978604536
2,1,0,0,1,2,5,23120.604407536797
2,1,0,2,0,2,5,23129.242997070687
2,1,0,1,0,0,5,23146.99202753797
2,1,0,2,0,0,5,23130.680302569024
2,1,0,0,0,0,5,23178.29078730982
2,1,0,0,1,1,5,23158.038810304373
2,1,0,1,1,1,5,23152.153513460107
2,1,0,2,1,2,5,23125.785917454195
2,1,0,0,1,0,5,26786.2382803968
2,1,0,0,0,2,5,23135.710899223537
2,1,0,2,0,1,5,23129.833003380743
2,1,0,1,1,0,5,25241.037323169803
1,0,2,1,1,2,5,21704.34078191974
1,0,2,0,0,1,5,21722.962494577245
1,0,2,1,0,1,5,21724.954719830363
1,0,2,2,1,0,5,22912.093585186733
1,0,2,2,1,1,5,21723.04577306334
1,0,2,1,0,2,5,21710.116862759678
1,0,2,0,1,2,5,21703.815874371343
1,0,2,2,0,2,5,21712.11677728965
1,0,2,1,0,0,5,21733.742472571004
1,0,2,2,0,0,5,21719.02701357774
1,0,2,0,0,0,5,21748.748496202876
1,0,2,0,1,1,5,21739.306104182793
1,0,2,1,1,1,5,21740.023188893778
1,0,2,2,1,2,5,21705.866678344013
1,0,2,0,1,0,5,24772.525555384713
1,0,2,0,0,2,5,21708.116857740548
1,0,2,2,0,1,5,21717.398453195885
1,0,2,1,1,0,5,23524.433883941063
0,0,2,1,1,2,5,21704.347451783346
0,0,2,0,0,1,5,21724.59405360257
0,0,2,1,0,1,5,21726.32553290553
0,0,2,2,1,0,5,23127.667377909544
0,0,2,2,1,1,5,21727.706410633982
0,0,2,1,0,2,5,21708.529205697403
0,0,2,0,1,2,5,21703.798228960008
0,0,2,2,0,2,5,21710.529134923872
0,0,2,1,0,0,5,21740.48570779586
0,0,2,2,0,0,5,21720.412846526066
0,0,2,0,0,0,5,21747.29186135918
0,0,2,0,1,1,5,21737.369873791064
0,0,2,1,1,1,5,21739.033309505438
0,0,2,2,1,2,5,21703.597472582904
0,0,2,0,1,0,5,25336.74868089507
0,0,2,0,0,2,5,21706.529206920015
0,0,2,2,0,1,5,21719.716743319936
0,0,2,1,1,0,5,23851.73150581484
1,1,0,1,1,2,5,23796.627070579925
1,1,0,0,0,1,5,23821.862177451378
1,1,0,1,0,1,5,23823.862155204217
1,1,0,2,1,0,5,25201.25199808151
1,1,0,2,1,1,5,23796.679426027295
1,1,0,1,0,2,5,23805.98469321295
1,1,0,0,1,2,5,23790.851488292734
1,1,0,2,0,2,5,23807.9844696491
1,1,0,1,0,0,5,23823.19373448674
1,1,0,2,0,0,5,23804.974159026053
1,1,0,0,0,0,5,23853.654498167634
1,1,0,0,1,1,5,23827.883966429523
1,1,0,1,1,1,5,23829.7274210994
1,1,0,2,1,2,5,23797.47988740224
1,1,0,0,1,0,5,27412.240833630065
1,1,0,0,0,2,5,23804.933811830946
1,1,0,2,0,1,5,23807.02237910298
1,1,0,1,1,0,5,25902.195631313232
3,1,4,1,1,2,5,21726.3668021396
3,1,4,0,0,1,5,21729.506323572565
3,1,4,1,0,1,5,21731.451498175076
3,1,4,2,1,0,5,22639.745466624292
3,1,4,2,1,1,5,21731.141465509754
3,1,4,1,0,2,5,21711.711855472167
3,1,4,0,1,2,5,21723.55937272255
3,1,4,2,0,2,5,21713.830865569707
3,1,4,1,0,0,5,21736.954632852623
3,1,4,2,0,0,5,21717.70347929083
3,1,4,0,0,0,5,21747.760252480854
3,1,4,0,1,1,5,21747.639120509135
3,1,4,1,1,1,5,21750.58605082225
3,1,4,2,1,2,5,21723.51907118647
3,1,4,0,1,0,5,23987.874701636476
3,1,4,0,0,2,5,21709.582500020275
3,1,4,2,0,1,5,21719.90934491555
3,1,4,1,1,0,5,23118.741637547922
3,0,3,1,1,2,5,21702.57308286942
3,0,3,0,0,1,5,21718.518803249743
3,0,3,1,0,1,5,21719.475196445797
3,0,3,2,1,0,5,22886.91534481414
3,0,3,2,1,1,5,21709.366699826187
3,0,3,1,0,2,5,21706.24460702655
3,0,3,0,1,2,5,21700.993864413605
3,0,3,2,0,2,5,21708.304637051002
3,0,3,1,0,0,5,21725.194627835295
3,0,3,2,0,0,5,21711.118878117733
3,0,3,0,0,0,5,21749.52763419126
3,0,3,0,1,1,5,21735.161636068933
3,0,3,1,1,1,5,21738.993729465157
3,0,3,2,1,2,5,21704.835502717655
3,0,3,0,1,0,5,23558.787005520608
3,0,3,0,0,2,5,21704.24629722002
3,0,3,2,0,1,5,21711.778554652832
3,0,3,1,1,0,5,23488.395040401265
0,1,1,1,1,2,5,21733.64791639531
0,1,1,0,0,1,5,21740.603993253684
0,1,1,1,0,1,5,21742.628247771725
0,1,1,2,1,0,5,23145.714779934708
0,1,1,2,1,1,5,21749.152447805947
0,1,1,1,0,2,5,21723.705045453327
0,1,1,0,1,2,5,21733.106126394538
0,1,1,2,0,2,5,21725.70475203469
0,1,1,1,0,0,5,21751.23698627927
0,1,1,2,0,0,5,21729.766757549198
0,1,1,0,0,0,5,21762.703492839
0,1,1,0,1,1,5,21761.95298297848
0,1,1,1,1,1,5,21763.91909508396
0,1,1,2,1,2,5,21736.22957705283
0,1,1,0,1,0,5,25360.600412576285
0,1,1,0,0,2,5,21721.705027984965
0,1,1,2,0,1,5,21731.6732867922
0,1,1,1,1,0,5,23868.475696511825
3,1,2,1,1,2,5,21729.238948198763
3,1,2,0,0,1,5,21732.272100709026
3,1,2,1,0,1,5,21734.02623099918
3,1,2,2,1,0,5,23109.090778642065
3,1,2,2,1,1,5,21726.315717353747
3,1,2,1,0,2,5,21718.313530469964
3,1,2,0,1,2,5,21725.900313169608
3,1,2,2,0,2,5,21720.30703675113
3,1,2,1,0,0,5,21732.32593728471
3,1,2,2,0,0,5,21720.15233771674
3,1,2,0,0,0,5,21756.86810480054
3,1,2,0,1,1,5,21755.524856663884
3,1,2,1,1,1,5,21759.318689900378
3,1,2,2,1,2,5,21731.272242356863
3,1,2,0,1,0,5,25210.585829139705
3,1,2,0,0,2,5,21716.515428022954
3,1,2,2,0,1,5,21718.424550548047
3,1,2,1,1,0,5,23834.194161805168
