,mean_test_dir_acc,mean_test_mape,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_neg_mse,split1_test_neg_mse,split2_test_neg_mse,split3_test_neg_mse,split4_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_train_neg_mse,split1_train_neg_mse,split2_train_neg_mse,split3_train_neg_mse,split4_train_neg_mse,mean_train_neg_mse,std_train_neg_mse,split0_test_dir_acc,split1_test_dir_acc,split2_test_dir_acc,split3_test_dir_acc,split4_test_dir_acc,std_test_dir_acc,rank_test_dir_acc,split0_train_dir_acc,split1_train_dir_acc,split2_train_dir_acc,split3_train_dir_acc,split4_train_dir_acc,mean_train_dir_acc,std_train_dir_acc,split0_test_mape,split1_test_mape,split2_test_mape,split3_test_mape,split4_test_mape,mean_test_mape,std_test_mape,rank_test_mape,split0_train_mape,split1_train_mape,split2_train_mape,split3_train_mape,split4_train_mape,mean_train_mape,std_train_mape
46,0.5124301480783096,124.71850122264743,18.333667945861816,0.21795118715340922,0.0141998291015625,0.000502321152499832,130,10,1,auto,10,False,"{'n_estimators': 130, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}",-6.164336073404907,-3.53440490371716,-8.998849616656008,-2.674273892978669,-5.251729071771065,-5.324718711705562,2.210864264332249,310,-3.9893340947549225,-4.484407348144716,-3.34805512639183,-4.650050934074217,-4.104451434063721,-4.115259787485881,0.45317735702648326,0.5189473684210526,0.5279241306638567,0.48788198103266595,0.5163329820864068,0.5110642781875658,0.013433152098529405,1,0.5200210748155953,0.5185672899657624,0.5198841190413485,0.5304187516460364,0.5217276797471688,0.5221237830431823,0.004267306449849958,103.17230010497138,118.44931264645679,168.8504786245517,121.3622658811641,111.75814885609326,124.71850122264743,22.93646871923418,448,102.21117879904888,100.67354371117835,125.37112377329194,109.13491427195162,103.85696114079536,108.24954433925322,9.02313463606652
296,0.5117985691309412,125.34712068488379,7.787249517440796,0.10461676443026802,0.006537199020385742,0.000292037476204305,55,5,1,auto,10,False,"{'n_estimators': 55, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}",-6.218728150985116,-3.582271636491829,-9.042632916155629,-2.6703818199772456,-5.340847974689102,-5.370972499659784,2.2223108757555576,314,-3.8459714909181444,-4.338267617082447,-3.269333776897966,-4.55037897891719,-4.02515767443557,-4.0058219076502635,0.4416793741918002,0.5157894736842106,0.5279241306638567,0.48788198103266595,0.5163329820864068,0.5110642781875658,0.013183810710169714,2,0.5223919915700738,0.5196207532262312,0.5206742164867,0.5309454832762708,0.5222544113774032,0.5231773711873359,0.004018147736377693,103.61241242173382,125.62376118994263,164.04083275142418,121.20472950894914,112.25386755236917,125.34712068488379,20.776285081737672,446,99.54900531093202,98.6551485541104,119.90080197898305,107.13132822306599,102.93031843393017,105.63332050020433,7.730783273213545
495,0.5086428927957407,111.17305919043449,2.964243936538696,0.043318666271360745,0.022475242614746094,0.0008045423982895091,174,10,1,log2,14,True,"{'n_estimators': 174, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 14, 'bootstrap': True}",-5.852994133773676,-3.4239739365519157,-6.918812718663155,-2.6817259173356702,-4.75491141504853,-4.726483624274589,1.5462022178292392,7,-3.4031009045285914,-3.7717568417599256,-2.8874298019969395,-3.949624095812354,-3.5577633542048486,-3.513934999660532,0.36414584297349645,0.48947368421052634,0.5321390937829295,0.5047418335089568,0.5100105374077977,0.5068493150684932,0.013710110539462438,3,0.6501580611169653,0.6665788780616276,0.7345272583618646,0.675006584145378,0.6607848301290492,0.677411122362977,0.02968007834495815,111.81922391753744,103.77389488500334,120.23766019256638,108.76911166790622,111.26540528915913,111.17305919043449,5.350133532804361,492,100.84596784605364,100.79438976548593,97.23548010523992,101.05656560290015,100.67376274909599,100.12123321375512,1.4481772404857007
203,0.508640674394099,151.39928999604157,8.565947151184082,0.6892934594125484,0.01003422737121582,0.0004018215262373607,40,5,4,auto,100,True,"{'n_estimators': 40, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}",-6.058756219252267,-3.560133053545475,-7.1072274380085,-2.729630895550232,-4.9676919898586025,-4.8846879192430155,1.5952256472932165,220,-1.482559214596716,-1.6692480400573722,-1.3538382932767397,-1.723575129348507,-1.562477248799137,-1.5583395852156943,0.1320485014197558,0.5,0.5079030558482613,0.5005268703898841,0.5205479452054794,0.5142255005268704,0.007924803235811661,4,0.9178082191780822,0.9057150381880432,0.9062417698182776,0.9049249407426916,0.9104556228601528,0.9090291181574495,0.004789660519423515,131.96676632167328,137.51524520620612,140.1736751604524,177.77601435087428,169.56474894100185,151.39928999604157,18.55866154058478,231,80.54308908393321,82.19555709868364,79.84604821702774,77.86173090404517,77.73920018349149,79.63712509743625,1.683100557936749
187,0.5082185125616994,148.90837623217337,0.9678962707519532,0.08255616557602084,0.008090925216674805,0.0004889577225287409,31,10,2,log2,57,True,"{'n_estimators': 31, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 57, 'bootstrap': True}",-5.984340633291718,-3.4728401450159296,-6.9288990093824605,-2.690380140267036,-4.882921031902084,-4.791876191971845,1.5590554112874777,74,-1.7037081246121035,-1.9728780093481466,-1.6171179576002226,-2.017886801685409,-1.8270669257124939,-1.8277315637916751,0.15294891400645755,0.5031578947368421,0.5100105374077977,0.5047418335089568,0.5184404636459431,0.5047418335089568,0.005612202495607676,5,0.8880400421496312,0.8720042138530418,0.8872794311298393,0.8838556755333158,0.8862259678693706,0.8834810661070398,0.005909395823103213,139.14561358119505,135.8893938418247,150.43266698565589,171.38946265711422,147.68474409507698,148.90837623217337,12.442069135102033,238,99.26695115103654,95.79641955001647,91.6781441108936,87.25447358299564,99.30917945811315,94.66103357061108,4.644644198438555
349,0.5071665465032444,125.52106177120095,3.3345366954803466,0.2224664967336937,0.02652277946472168,0.0006746093631409794,126,10,4,log2,33,True,"{'n_estimators': 126, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 33, 'bootstrap': True}",-5.916993095391755,-3.4499802142088942,-6.918259134028069,-2.6870674260105956,-4.778092016151848,-4.750078377158233,1.5498226954022618,22,-2.1621544886311534,-2.456476027648232,-1.9074802677378373,-2.4216575911783647,-2.2476719340910694,-2.2390880618573314,0.1982651494236337,0.49473684210526314,0.5289778714436248,0.49631190727081137,0.49736564805057953,0.5184404636459431,0.013937097676074565,6,0.8946259220231823,0.8870160653147221,0.9065051356333947,0.9015011851461681,0.8941269423228865,0.8967550500880707,0.0066914561537601185,115.18738614128104,113.2117205085782,131.93790956520044,141.31035934181594,125.95793329912925,125.52106177120095,10.478296087253947,445,83.73482199881029,86.0700863698035,80.49666587435547,79.43791804511837,84.37549836389506,82.82299813039654,2.476119977939721
191,0.5071607786589762,112.179790808695,0.5336960792541504,0.005077914671216553,0.005254077911376953,0.0001446734782299621,41,5,1,log2,10,True,"{'n_estimators': 41, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': True}",-5.827380508331784,-3.4232749008742034,-6.92253824754047,-2.68802283633665,-4.725440012068639,-4.717331301030349,1.5419395242631482,4,-3.603746338964888,-4.032026270512684,-3.279412446785704,-4.220827527960446,-3.819915369393651,-3.7911855907234746,0.3287756230051956,0.5221052631578947,0.5079030558482613,0.49631190727081137,0.49736564805057953,0.512118018967334,0.009613588485799124,7,0.5811380400421496,0.6012641559125625,0.6402422965499078,0.5888859626020543,0.597840400316039,0.6018741710845428,0.020432509229366628,107.51861756422704,107.6095779066943,122.23461116318255,114.29855630853207,109.23759110083905,112.179790808695,5.601044558112036,490,102.30642495938176,102.46059358919648,100.14097083847189,103.40968478374366,102.52697270759627,102.168929375678,1.0848279022764726
189,0.5069564638677834,132.9006088336757,3.467350959777832,0.273045324054577,0.027591466903686523,0.0008158066457004533,100,5,1,log2,57,True,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 57, 'bootstrap': True}",-5.98590308898579,-3.454429203127258,-7.1091263177439545,-2.7282427294610274,-4.788105269682519,-4.813161321800109,1.6025258080819371,89,-0.9551088258201372,-1.0981760272624514,-0.8606477732026042,-1.0980143231661377,-1.006737523596764,-1.003736894609619,0.09017224941742692,0.49157894736842106,0.5268703898840885,0.5142255005268704,0.49736564805057953,0.5047418335089568,0.01251207171245394,8,0.9367755532139094,0.9365288385567553,0.9325783513299973,0.9370555701869897,0.9354753752962865,0.9356827377167877,0.0016416464506896432,120.2781344891316,125.63480802099618,138.98670337420373,143.01593076410762,136.5874675199394,132.9006088336757,8.544845598525564,380,66.50552469415587,67.16582316372299,65.31402961304067,61.981348598029506,63.15981589806636,64.82530839340308,1.9698709200173155
323,0.506537629637846,124.96530155312837,25.32865333557129,0.9878871345413374,0.025014925003051757,0.001560802907121225,132,2,1,,24,True,"{'n_estimators': 132, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 24, 'bootstrap': True}",-5.997904505380787,-3.4567236904145173,-7.266209704059779,-2.68079793470244,-4.772144887476674,-4.83475614440684,1.661764730958555,124,-2.2136044777912463,-2.3276923107694594,-1.4441695128288452,-2.370103698530138,-2.280259210770435,-2.1271658421380244,0.34543389231307675,0.4789473684210526,0.5142255005268704,0.5184404636459431,0.5163329820864068,0.5047418335089568,0.014568302190506439,9,0.7908324552160169,0.7974716881748749,0.8672636291809324,0.834869633921517,0.7932578351329997,0.8167390483252681,0.0299172241739687,119.84039928853925,113.08481728152464,138.29571493351648,126.76041385705568,126.84516240500581,124.96530155312837,8.388882591234394,447,94.22769855452847,93.81517220611858,83.50899079411826,90.97425698535689,93.19304914394944,91.14383353681433,3.9790737176038937
145,0.506530974432921,111.09547213725466,8.807037687301635,0.14221253679837795,0.011777114868164063,0.0004501477235466826,101,2,4,,10,True,"{'n_estimators': 101, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 10, 'bootstrap': True}",-5.8961435315793205,-3.4248995665003763,-7.037293146639806,-2.6725069352277155,-4.838108920897358,-4.773790420168916,1.588845920041777,52,-3.5637164696377126,-4.041133731403111,-3.1037637270258123,-4.2343598362573225,-3.819742957819795,-3.7525433444287506,0.39408575510737825,0.5105263157894737,0.5110642781875658,0.4931506849315068,0.5110642781875658,0.5068493150684932,0.0068731059401270014,10,0.6101159114857745,0.617856202264946,0.687121411640769,0.6128522517777193,0.6189096655254148,0.6293710885389248,0.02905432018488536,108.76089810531803,103.20293682859571,118.36606879253155,112.83917638986114,112.30828056996688,111.09547213725466,5.00230614912283,493,101.21417850261223,100.6670373680661,99.71772933887883,102.19520572544394,102.29801683411053,101.21843355382232,0.9670318437578709
