Date,Calculated,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
2010-12-23,-0.49294138037851826,0.015499061980827443,0.03112689808689692,0.013169862505566635,0.023656677099190542,0.028280805722570367,0.018555801970498123,0.015495684860134045,0.044455090637717465
2010-12-24,,,,,,,,,
2010-12-25,,,,,,,,,
2010-12-26,,,,,,,,,
2010-12-27,-0.2790972519650916,0.014123684396957463,0.02484844170649153,0.014489264346417062,0.01920740757121959,0.01883956198082207,0.019606446060797037,0.00770116104254535,0.04072812986690566
2010-12-28,-0.29409463073706604,0.01812202570194376,0.03270841086116141,0.0068997881896694525,0.02899909089547629,0.013762310579581837,0.01126106577282566,0.010267082619643982,0.040535913737006934
2010-12-29,-0.48007016276990067,0.01621644532384953,0.031539011568908086,0.006358151004823147,0.02192422413627639,0.01608794645558293,0.016376486818979373,0.009427096936544515,0.0456905142535411
2010-12-30,-0.6165339932755568,0.020029624620149743,0.03003237052365433,0.008764281949234756,0.02635356521207961,0.016974412872618267,0.020507454914519867,0.010686447257214087,0.044537061924812764
2010-12-31,-0.4871426159633991,0.013615856581685383,0.034079661027319665,0.005480794657606577,0.022135167582716615,0.015541399334277901,0.01732532560383661,0.010074595109081893,0.051967286819673233
2011-01-01,-0.8354427884716019,0.03127709250803474,0.02668219827414748,0.0078048610266390804,0.036218235587499405,0.019624555253231635,0.022306893823062415,0.008661873923763424,0.043683401262418396
2011-01-02,-0.6949860708414525,0.0202262265909689,0.026743388050185002,0.008758837060586952,0.027869215083735705,0.015442597705258241,0.01895103555775231,0.00788595168511239,0.044805938917909814
2011-01-03,-0.4287173823456305,0.017175838138477846,0.0325861455917044,0.007101619017621544,0.022405704514856812,0.017137658644143332,0.016809616423281645,0.009663668774570058,0.04888139007912772
2011-01-04,-0.5115620274747117,0.01814071043862526,0.03255862573305286,0.006042355929993551,0.023909897608935894,0.017786487898616313,0.019008411693149516,0.010781686554087502,0.0479836037538157
2011-01-05,-0.3921837787840674,0.014537520687657809,0.03216170059420788,0.005510503309855477,0.019792797116926362,0.01773464445528495,0.01466481512588359,0.010257355281321915,0.0462471661527158
2011-01-06,-0.4643603077761231,0.013444643767139365,0.03131478052133535,0.005919172188857419,0.020100204525191113,0.015190603217888433,0.015637198976386952,0.01039255113965584,0.04706529240807662
2011-01-07,-0.4670479056979969,0.015951335531223583,0.03260907238582816,0.007125088262916885,0.02323473429192656,0.018386842658540462,0.015470175013004088,0.011369385872697708,0.04956134905149324
2011-01-08,-1.0,0.027162620145563643,0.04213011833990778,0.009675537529862771,0.028462692371798437,0.022204011333963,0.0246430357242069,0.021387299294405245,0.048308239346630366
2011-01-09,,,,,,,,,
2011-01-10,,,,,,,,,
2011-01-11,,,,,,,,,
2011-01-12,,,,,,,,,
2011-01-13,,,,,,,,,
2011-01-14,,,,,,,,,
2011-01-15,,,,,,,,,
2011-01-16,,,,,,,,,
2011-01-17,,,,,,,,,
2011-01-18,,,,,,,,,
2011-01-19,,,,,,,,,
2011-01-20,,,,,,,,,
2011-01-21,,,,,,,,,
2011-01-22,,,,,,,,,
2011-01-23,,,,,,,,,
2011-01-24,,,,,,,,,
2011-01-25,,,,,,,,,
2011-01-26,,,,,,,,,
2011-01-27,,,,,,,,,
2011-01-28,,,,,,,,,
2011-01-29,,,,,,,,,
2011-01-30,,,,,,,,,
2011-01-31,,,,,,,,,
2011-02-01,,,,,,,,,
2011-02-02,,,,,,,,,
2011-02-03,,,,,,,,,
2011-02-04,,,,,,,,,
